source	target	cor	p
Basal.Ker.ADGRL3	Female_FB_M5	0.76428	0
Basal.Ker.ADGRL3	Female_KC_Channel_M1	0.618783	0
Basal.Ker.ADGRL3	Female_KC_M1	0.873883	0
Basal.Ker.ADGRL3	Female_KC_M4	0.570242	0
Basal.Ker.ADGRL3	Female_MEL_M1	0.649356	0
Basal.Ker.ADGRL3	Female_SGC_M1	0.589041	3e-06
Basal.Ker.ADGRL3	HF-MFCs	0.731775	0
Basal.Ker.ADGRL3	HF-MSCs	0.65059	3.1e-05
Basal.Ker.ADGRL3	HF-PCs	0.6444	2e-06
Basal.Ker.ADGRL3	HFC	0.797004	0
Basal.Ker.ADGRL3	LC	0.685807	0
Basal.Ker.ADGRL3	LC1	0.504935	3.9e-05
Basal.Ker.ADGRL3	Lymphocyte	0.534768	3e-06
Basal.Ker.ADGRL3	Male_KC_M4	0.760575	0
Basal.Ker.ADGRL3	Mel_1	0.698277	0
Basal.Ker.ADGRL3	Mesenchymal.Fb.COCH	0.659743	0
Basal.Ker.ADGRL3	Mesenchymal.Fb.INHBA	0.679277	0
Basal.Ker.ADGRL3	MigLC	0.591514	0
Basal.Ker.ADGRL3	ORS	0.658092	1e-06
Basal.Ker.ADGRL3	Regulatory T cells	0.721735	0
Basal.Ker.ADGRL3	Spinous.Ker.ADGRL3	0.795612	0
Basal.Ker.ADGRL3	helper T cells	0.657756	0
Female_FB_M5	Female_KC_M1	0.809452	0
Female_FB_M5	Female_KC_M4	0.582997	0
Female_FB_M5	Female_MEL_M1	0.831464	0
Female_FB_M5	Female_SGC_M1	0.642333	0
Female_FB_M5	HF-MFCs	0.693737	0
Female_FB_M5	HF-MSCs	0.705719	3e-06
Female_FB_M5	HF-PCs	0.85081	0
Female_FB_M5	HFC	0.887749	0
Female_FB_M5	LC	0.518895	4e-06
Female_FB_M5	Lymphocyte	0.545796	1e-06
Female_FB_M5	Male_KC_M4	0.594449	0
Female_FB_M5	Mel_1	0.67425	0
Female_FB_M5	Mesenchymal.Fb.COCH	0.564995	5e-06
Female_FB_M5	Mesenchymal.Fb.INHBA	0.850854	0
Female_FB_M5	ORS	0.683868	0
Female_FB_M5	Regulatory T cells	0.53087	3e-06
Female_FB_M5	Spinous.Ker.ADGRL3	0.663467	0
Female_FB_M5	helper T cells	0.643489	0
Female_KC_Channel_M1	Female_KC_M1	0.666983	0
Female_KC_Channel_M1	Female_KC_M4	0.800495	0
Female_KC_Channel_M1	HF-MFCs	0.509124	0.000187
Female_KC_Channel_M1	LC	0.667529	0
Female_KC_Channel_M1	LC1	0.522205	3.1e-05
Female_KC_Channel_M1	MigLC	0.606263	0
Female_KC_Channel_M1	Spinous.Ker.ADGRL3	0.642272	0
Female_KC_M1	Female_KC_M4	0.789144	0
Female_KC_M1	Female_MEL_M1	0.764959	0
Female_KC_M1	Female_SGC_M1	0.58525	3e-06
Female_KC_M1	HF-MFCs	0.672472	0
Female_KC_M1	HF-MSCs	0.554796	0.000661
Female_KC_M1	HF-PCs	0.702696	0
Female_KC_M1	HFC	0.78863	0
Female_KC_M1	LC	0.617059	0
Female_KC_M1	Lymphocyte	0.629319	0
Female_KC_M1	Male_KC_M4	0.87948	0
Female_KC_M1	Mel_1	0.658835	0
Female_KC_M1	Mesenchymal.Fb.COCH	0.594767	1e-06
Female_KC_M1	Mesenchymal.Fb.INHBA	0.718139	0
Female_KC_M1	MigLC	0.520174	6e-06
