Gene	C	Z	Pval	FDR	Module
MT2A	0.487917122856536	83.46513997782857	0.0	0.0	Female_Mast_M1
FOS	0.4659048694696018	83.37634229936542	0.0	0.0	Female_Mast_M6
SMYD3	0.4773723278234974	78.1232706582533	0.0	0.0	Female_Mast_M2
SEMA4A	0.3387762771546708	56.61604593128195	0.0	0.0	Female_Mast_M6
TANK	0.3203490261559863	55.03116652303908	0.0	0.0	Female_Mast_M3
PRKX	0.3098911208282078	54.275399290788194	0.0	0.0	Female_Mast_M1
SLC24A3	0.3052633529332956	52.76037348314553	0.0	0.0	Female_Mast_M1
TSC22D3	0.2613539979795086	45.57319338665248	0.0	0.0	Female_Mast_M6
MTRNR2L12	0.2365955838571297	42.20696976837228	0.0	0.0	Female_Mast_M6
MAP3K8	0.232041319633719	41.756765896357805	0.0	0.0	Female_Mast_M1
HIST1H4C	0.2433411868026031	41.16794949732024	0.0	0.0	Female_Mast_M5
JARID2	0.2391890091674489	41.05476510038642	0.0	0.0	Female_Mast_M1
ARL4C	0.2245661369841976	40.20372427476903	0.0	0.0	Female_Mast_M3
NFKB1	0.2237273275799139	40.11369114223896	0.0	0.0	Female_Mast_M3
CTSG	0.232083612707935	39.233903411446896	0.0	0.0	Female_Mast_M6
ABCC4	0.2236858371182581	38.864307401067705	0.0	0.0	Female_Mast_M1
PALLD	0.2137064845084121	38.83948230177031	0.0	0.0	Female_Mast_M1
KRT10	0.2169625128148255	38.77460728645987	0.0	0.0	Female_Mast_M6
LMO4	0.2218771010318215	38.66561366728632	0.0	0.0	Female_Mast_M6
MAN2A1	0.2129485038143892	37.30559278921066	6.659388349511393e-305	3.184924862809796e-304	Female_Mast_M4
GNPTAB	0.2067648655442758	36.58126352305944	2.839963417190747e-293	1.3016498995457592e-292	Female_Mast_M1
FNIP2	0.1988342473286144	33.99644714443035	1.2570420475580556e-253	5.318254816591774e-253	Female_Mast_M1
MAPK6	0.1895349874500407	33.22090911323816	2.6863121035565433e-242	1.0944234495971102e-241	Female_Mast_M1
LEO1	0.1864568917207689	33.19746088683949	5.8566078923966464e-242	2.30081024344154e-241	Female_Mast_M1
CYTH3	0.1934501856213938	32.67337882108746	1.8656998739941453e-234	7.076792625495034e-234	Female_Mast_M4
PLAUR	0.1786053537998297	31.550075024502373	8.944168327885173e-219	3.2795283868912305e-218	Female_Mast_M3
TNFSF10	0.1772953261698601	31.40423448511787	8.85604874401758e-217	3.1424689091675284e-216	Female_Mast_M2
SH3BGRL3	0.1860078464283391	31.03765932662693	8.370522271714051e-212	2.877367030901705e-211	Female_Mast_M2
KRT14	0.1738454238001259	30.69628791131195	3.18970916702894e-207	1.0632363890096465e-206	Female_Mast_M6
PAM	0.1799998606443748	30.35757724656868	9.978760590181421e-203	3.1361818997713035e-202	Female_Mast_M1
VEGFA	0.1717007375533785	29.762059555836448	6.0538831276346384e-195	1.799803091999487e-194	Female_Mast_M1
SYTL3	0.1742707848116514	29.67736668010588	7.523309153592189e-194	2.1778000181451075e-193	Female_Mast_M4
TIAM1	0.1682908619255723	29.518396032545823	8.359420464582009e-192	2.35778525924108e-191	Female_Mast_M1
HDC	0.1699715540965368	29.286714317295235	7.656307364241266e-189	2.105484525166348e-188	Female_Mast_M2
DUSP6	0.163354229424916	29.044785276135265	8.953925438909604e-186	2.4022726787318448e-185	Female_Mast_M1
RUNX1	0.1637421396947097	27.566349061797915	1.4092593060653981e-167	3.690917230171281e-167	Female_Mast_M2
TET2	0.1628433341906121	27.382798433911592	2.197966276095199e-165	5.622704427220277e-165	Female_Mast_M4
FOSL2	0.154454098311738	26.9776004477649	1.3536939903221952e-160	3.3842349758054875e-160	Female_Mast_M3
PTPRC	0.1525149338101405	26.633851555694672	1.376747486638416e-156	3.3653827451161284e-156	Female_Mast_M2
MIDN	0.1547007590452179	26.577064299841425	6.250760920101163e-156	1.4947471765459304e-155	Female_Mast_M3
SPIRE1	0.155128423096815	26.30582507863296	8.224634436696609e-153	1.9249144426311216e-152	Female_Mast_M1
FCER1A	0.1503940610930666	26.235806163029043	5.189619529320119e-152	1.1892878088025271e-151	Female_Mast_M5
VPS37B	0.1560245148257542	26.206647894623178	1.1159986647303872e-151	2.5053031249049508e-151	Female_Mast_M4
TIPARP	0.1486041727457565	26.15715329504565	4.085717237544797e-151	8.988577922598555e-151	Female_Mast_M3
ZFP36L1	0.1529277846335827	26.075890765223388	3.42228799112257e-150	7.381405471048682e-150	Female_Mast_M3
FBXO34	0.1523211822660977	25.76106960261814	1.211386853789479e-146	2.514199130506465e-146	Female_Mast_M4
CDK17	0.1459559356978191	25.269414661353423	3.465116235138584e-141	7.058570108615635e-141	Female_Mast_M4
