Gene_a	Celltype_a	Gene_b	Celltype_b
FB	ADM	FB	RAMP3	
FB	ADM	LEC	RAMP3	
FB	ADM	VEC	CALCRL	
FB	ADM	VEC	GPER1	
FB	ADM	VEC	RAMP3	
FB	AKR1B1	FB	PTGFR	
FB	AKR1B1	Channel	PTGFR	
FB	AKR1C3	FB	PTGFR	
FB	AKR1C3	Channel	PTGFR	
FB	ALCAM	Lymphocyte	CD6	
FB	ALDH1A1	FB	CRABP2	
FB	ALDH1A1	FB	RARA	
FB	ALDH1A1	FB	RARG	
FB	ALDH1A1	FB	RORB	
FB	ALDH1A1	FB	RXRA	
FB	ALDH1A1	FB	RXRB	
FB	ALDH1A1	HFC	CRABP2	
FB	ALDH1A1	HFC	RARA	
FB	ALDH1A1	HFC	RARG	
FB	ALDH1A1	HFC	RXRA	
FB	ALDH1A1	HFC	RXRB	
FB	ALDH1A1	KC	CRABP2	
FB	ALDH1A1	KC	RARG	
FB	ALDH1A1	KC	RXRA	
FB	ALDH1A1	KC	RXRB	
FB	ALDH1A1	Channel	CRABP2	
FB	ALDH1A1	Channel	RARB	
FB	ALDH1A1	Channel	RARG	
FB	ALDH1A1	Channel	RXRA	
FB	ALDH1A1	Channel	RXRB	
FB	ALDH1A1	MEC	CRABP2	
FB	ALDH1A1	MEC	RARA	
FB	ALDH1A1	MEC	RARB	
FB	ALDH1A1	MEC	RARG	
FB	ALDH1A1	MEC	RXRA	
FB	ALDH1A1	MEC	RXRB	
FB	ALDH1A1	SGC	CRABP2	
FB	ALDH1A1	SGC	RARA	
FB	ALDH1A1	SGC	RARB	
FB	ALDH1A1	SGC	RARG	
FB	ALDH1A1	SGC	RXRA	
FB	ALDH1A1	SGC	RXRB	
FB	ALDH1A1	Schwann	RORB	
FB	ALDH1A1	Sebocyte	CRABP2	
FB	ALDH1A1	Sebocyte	RARG	
FB	ALDH1A1	Sebocyte	RXRA	
FB	ALDH1A1	Sebocyte	RXRB	
FB	ALDH1A2	FB	CRABP2	
FB	ALDH1A2	FB	RARA	
FB	ALDH1A2	FB	RARG	
FB	ALDH1A2	FB	RORB	
FB	ALDH1A2	FB	RXRA	
FB	ALDH1A2	FB	RXRB	
FB	ALDH1A2	HFC	CRABP2	
FB	ALDH1A2	HFC	RARA	
FB	ALDH1A2	HFC	RXRA	
FB	ALDH1A2	HFC	RXRB	
FB	ALDH1A2	KC	CRABP2	
FB	ALDH1A2	KC	RARG	
FB	ALDH1A2	KC	RXRA	
FB	ALDH1A2	KC	RXRB	
FB	ALDH1A2	Channel	CRABP2	
FB	ALDH1A2	Channel	RARB	
FB	ALDH1A2	Channel	RARG	
FB	ALDH1A2	Channel	RXRB	
FB	ALDH1A2	MEC	CRABP2	
FB	ALDH1A2	MEC	RARA	
FB	ALDH1A2	MEC	RARB	
FB	ALDH1A2	MEC	RARG	
FB	ALDH1A2	MEC	RXRA	
FB	ALDH1A2	MEC	RXRB	
FB	ALDH1A2	SGC	CRABP2	
FB	ALDH1A2	SGC	RARA	
FB	ALDH1A2	SGC	RARB	
FB	ALDH1A2	SGC	RXRA	
FB	ALDH1A2	SGC	RXRB	
FB	ALDH1A2	Schwann	RORB	
FB	ALDH1A3	FB	CRABP2	
FB	ALDH1A3	FB	RARA	
FB	ALDH1A3	FB	RARG	
FB	ALDH1A3	FB	RORB	
FB	ALDH1A3	FB	RXRA	
FB	ALDH1A3	FB	RXRB	
FB	ALDH1A3	KC	CRABP2	
FB	ALDH1A3	KC	RARG	
FB	ALDH1A3	KC	RXRA	
FB	ALDH1A3	KC	RXRB	
FB	ALDH1A3	Channel	CRABP2	
FB	ALDH1A3	Channel	RARB	
FB	ALDH1A3	Channel	RARG	
FB	ALDH1A3	Channel	RXRB	
FB	ALDH1A3	MEC	CRABP2	
FB	ALDH1A3	MEC	RARA	
