gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	NE_FB	NE_HFC	NE_KC	NE_KC_Channel	NE_LC	NE_LEC	NE_Lymphocyte	NE_MEC	NE_MEL	NE_Mac-DC	NE_Mast	NE_Pc-vSMC	NE_SGC	NE_Schwann	NE_Sebocyte	NE_VEC	NF_FB	NF_HFC	NF_KC	NF_KC_Channel	NF_LC	NF_LEC	NF_Lymphocyte	NF_MEC	NF_MEL	NF_Mac-DC	NF_Mast	NF_Pc-vSMC	NF_SGC	NF_Schwann	NF_Sebocyte	NF_VEC	NP_FB	NP_HFC	NP_KC	NP_KC_Channel	NP_LC	NP_LEC	NP_Lymphocyte	NP_MEC	NP_MEL	NP_Mac-DC	NP_Mast	NP_Pc-vSMC	NP_SGC	NP_Schwann	NP_VEC	NT_FB	NT_HFC	NT_KC	NT_KC_Channel	NT_LC	NT_LEC	NT_Lymphocyte	NT_MEC	NT_MEL	NT_Mac-DC	NT_Mast	NT_Pc-vSMC	NT_SGC	NT_Schwann	NT_Sebocyte	NT_VEC	PS_FB	PS_HFC	PS_KC	PS_KC_Channel	PS_LC	PS_LEC	PS_Lymphocyte	PS_MEC	PS_MEL	PS_Mac-DC	PS_Mast	PS_Pc-vSMC	PS_SGC	PS_Schwann	PS_Sebocyte	PS_VEC
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.417	0.089	0.095	0.114	0.185	0.028	0.176	0.547	0.11	0.927	0.024	0.251	0.009	0.36	0.134	0.148	0.18	0.068	0.107	0.055	0.415	0.029	0.175	0.28	0.114	0.738	0.015	0.075	0.029	0.263	0.258	0.126	0.253	0.016	0.072	0.047	0.621	0.03	0.106	0.552	0.08	0.63	0.006	0.079	0.005	0.302	0.084	0.391	0.094	0.083	0.074	0.209	0.025	0.178	0.319	0.142	0.856	0.057	0.241	0.038	0.302	0.183	0.2	0.329	0.055	0.134	0.083	0.559	0.02	0.142	0.775	0.028	0.624	0.012	0.217	0.005	0.284	0.295	0.156
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.417	0.089	0.095	0.114	0.185	0.028	0.176	0.547	0.11	0.927	0.024	0.251	0.009	0.36	0.134	0.148	0.18	0.068	0.107	0.055	0.415	0.029	0.175	0.28	0.114	0.738	0.015	0.075	0.029	0.263	0.258	0.126	0.253	0.016	0.072	0.047	0.621	0.03	0.106	0.552	0.08	0.63	0.006	0.079	0.005	0.302	0.084	0.391	0.094	0.083	0.074	0.209	0.025	0.178	0.319	0.142	0.856	0.057	0.241	0.038	0.302	0.183	0.2	0.329	0.055	0.134	0.083	0.559	0.02	0.142	0.775	0.028	0.624	0.012	0.217	0.005	0.284	0.295	0.156
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.417	0.089	0.095	0.114	0.185	0.028	0.176	0.547	0.11	0.927	0.024	0.251	0.009	0.36	0.134	0.148	0.18	0.068	0.107	0.055	0.415	0.029	0.175	0.28	0.114	0.738	0.015	0.075	0.029	0.263	0.258	0.126	0.253	0.016	0.072	0.047	0.621	0.03	0.106	0.552	0.08	0.63	0.006	0.079	0.005	0.302	0.084	0.391	0.094	0.083	0.074	0.209	0.025	0.178	0.319	0.142	0.856	0.057	0.241	0.038	0.302	0.183	0.2	0.329	0.055	0.134	0.083	0.559	0.02	0.142	0.775	0.028	0.624	0.012	0.217	0.005	0.284	0.295	0.156
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.05	0.048	0.007	0.042	0.011	0.007	0.021	0.034	0.002	0.091	0.103	0.045	0.072	0.089	0.072	0.005	0.068	0.027	0.005	0.029	0.013	0.002	0.014	0.023	0.002	0.073	0.14	0.06	0.101	0.093	0.065	0.005	0.087	0.01	0.022	0.033	0.017	0.005	0.008	0.031	0.002	0.082	0.123	0.018	0.051	0.026	0.004	0.031	0.033	0.006	0.033	0.009	0.006	0.013	0.035	0.004	0.066	0.04	0.04	0.065	0.03	0.118	0.003	0.027	0.039	0.008	0.019	0.013	0.006	0.012	0.036	0.003	0.191	0.121	0.023	0.085	0.053	0.135	0.002
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.05	0.048	0.007	0.042	0.011	0.007	0.021	0.034	0.002	0.091	0.103	0.045	0.072	0.089	0.072	0.005	0.068	0.027	0.005	0.029	0.013	0.002	0.014	0.023	0.002	0.073	0.14	0.06	0.101	0.093	0.065	0.005	0.087	0.01	0.022	0.033	0.017	0.005	0.008	0.031	0.002	0.082	0.123	0.018	0.051	0.026	0.004	0.031	0.033	0.006	0.033	0.009	0.006	0.013	0.035	0.004	0.066	0.04	0.04	0.065	0.03	0.118	0.003	0.027	0.039	0.008	0.019	0.013	0.006	0.012	0.036	0.003	0.191	0.121	0.023	0.085	0.053	0.135	0.002
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.05	0.048	0.007	0.042	0.011	0.007	0.021	0.034	0.002	0.091	0.103	0.045	0.072	0.089	0.072	0.005	0.068	0.027	0.005	0.029	0.013	0.002	0.014	0.023	0.002	0.073	0.14	0.06	0.101	0.093	0.065	0.005	0.087	0.01	0.022	0.033	0.017	0.005	0.008	0.031	0.002	0.082	0.123	0.018	0.051	0.026	0.004	0.031	0.033	0.006	0.033	0.009	0.006	0.013	0.035	0.004	0.066	0.04	0.04	0.065	0.03	0.118	0.003	0.027	0.039	0.008	0.019	0.013	0.006	0.012	0.036	0.003	0.191	0.121	0.023	0.085	0.053	0.135	0.002
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.051	0.014	0.107	0.04	0.072	0.097	0.019	0.016	0.166	0.061	0.15	0.034	0.033	0.039	0.438	0.074	0.057	0.013	0.105	0.039	0.089	0.105	0.029	0.011	0.121	0.067	0.169	0.038	0.028	0.028	0.335	0.103	0.049	0.01	0.111	0.034	0.022	0.088	0.019	0.017	0.141	0.053	0.22	0.029	0.023	0.035	0.067	0.049	0.009	0.095	0.038	0.069	0.101	0.017	0.038	0.144	0.062	0.096	0.031	0.026	0.029	0.458	0.069	0.05	0.025	0.164	0.043	0.097	0.084	0.018	0.025	0.148	0.052	0.109	0.03	0.025	0.027	0.394	0.054
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.03	0.147	0.287	0.416	0.029	0.047	0.044	0.021	0.056	0.08	0.011	0.027	0.093	0.052	1.714	0.031	0.036	0.149	0.532	0.491	0.054	0.04	0.038	0.049	0.05	0.083	0.022	0.027	0.074	0.043	1.11	0.036	0.031	0.079	0.447	0.397	0.075	0.034	0.036	0.039	0.074	0.046	0.01	0.027	0.12	0.038	0.034	0.03	0.139	0.319	0.492	0.042	0.046	0.041	0.04	0.054	0.078	0.021	0.024	0.116	0.03	1.365	0.031	0.032	0.279	0.393	0.446	0.031	0.048	0.047	0.02	0.059	0.046	0.02	0.028	0.085	0.049	1.571	0.025
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.003	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.001	0.0	0.001	0.001	0.001	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.001	0.007	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.003	0.006	0.001	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	SULT1E1	0.0	0.215	0.096	0.005	0.004	0.0	0.001	0.002	0.001	0.003	0.002	0.0	0.0	0.001	0.021	0.0	0.001	0.391	0.244	0.006	0.003	0.003	0.001	0.003	0.001	0.002	0.005	0.0	0.0	0.004	0.012	0.0	0.0	0.145	0.207	0.001	0.0	0.0	0.002	0.001	0.001	0.0	0.006	0.001	0.0	0.0	0.0	0.0	0.239	0.107	0.006	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.013	0.0	0.0	0.316	0.386	0.005	0.02	0.002	0.004	0.016	0.001	0.003	0.009	0.001	0.001	0.003	0.005	0.0
