cell_type	NE1	NE12	NE13	NE14	NE15	NE16	NE17	NE19	NE2	NE25	NE3	NE4	NE42	NE5	NE6	NE7	NE9	NF12	NF18	NF2	NF35	NF39	NF4	NF46	NF50	NF52	NF53	NF54	NF6	NF61	NF65	NP1	NP13	NP15	NP16	NP2	NP6	NP7	NP8	NP9	NT1	NT10	NT11	NT13	NT16	NT17	NT18	NT2	NT21	NT22	NT23	NT24	NT25	NT27	NT5	NT6	NT8	PS1	PS10	PS11	PS12	PS13	PS2	PS3	PS4	PS5	PS6	PS7	PS8	PS9
FB	3.71	1.43	0.66	3.52	1.28	1.4	1.68	1.18	1.23	1.03	1.74	0.75	1.4	1.15	1.27	1.93	2.1	0.61	1	0.89	1.43	1.25	2.84	0.58	1.33	0.74	0.98	1.53	0.48	1.21	1.71	0.64	2.07	1.14	0.97	3.27	0.36	2.62	0.6	0.96	1.26	1.34	1.97	2.02	0.71	0.53	0.67	1.2	0.69	1.73	0.23	0.54	1.98	1.35	2.1	1.89	0.19	0.28	3.46	3.03	1.54	2.16	0.98	0.3	4.46	1.36	2.25	0.31	0.54	2.25
HFC	0.53	2.04	0.51	2.87	0.81	1.36	0.01	1.79	0.75	0.01	2.71	0.81	2.26	0.2	0.07	1.95	0.09	2.99	8.04	4.31	4.73	6.74	4.24	5.67	3.65	2.26	7.03	6.2	2.75	5.07	5.15	0	0	0.04	0	0.05	0	0	0	0	2.76	0.98	0.97	0.02	0.1	0.01	0.76	0	0.63	1.48	0.67	0	1.35	0.16	0.2	0.18	1.31	0.03	0	0	0.69	0	0.01	0	0.01	0	0	0	0	0
KC	0.84	2.6	1.97	0.74	1.13	1.91	0.78	1.58	1.45	1.18	1.33	0.97	1.44	0.28	1.14	0.73	1.14	1.86	0.96	1.73	0.76	1.68	0.7	2.09	2.19	1.51	2.31	1.39	1.26	1.54	1.46	1.37	0.72	0.23	1.53	0.6	2.82	0.82	1.44	0.83	1.27	1.72	1.06	0.23	2.81	1.83	1.25	1.41	1.29	1.23	2.16	1.6	1.35	1.27	1.06	1.54	2.19	3.89	0.06	1.31	1.05	1.24	2.27	3.08	0.03	0.57	1.12	2.78	3.78	0.57
KC_Channel	0.84	0.72	2.42	1.78	1.21	0.92	3.06	1.03	0.9	0.34	0.48	4.75	1.36	7.46	4.15	2.34	0.65	1.25	1.79	0.17	1.01	1.24	1.35	1.37	0.73	1	0.58	1.76	2.57	0.72	0.53	1.82	4.4	4.83	2.78	6.83	1.42	1.95	3.26	4.03	0.84	0.66	1.04	0.2	0.52	0.58	0.61	1.61	1.9	0.65	0.73	0.21	0.32	2.54	0.48	1.2	0.79	1.45	0.6	0.44	0.69	0.03	0	0	0	0.11	0	0	0	0
LC	0.65	2.65	1.69	0.53	0.22	1.1	0.06	2.14	1.27	1.14	1.24	1.37	1.73	0.31	1.45	0.31	1.69	4.77	2.53	4.82	0.84	4.18	0.96	2.65	7.28	3.14	6.59	2.49	1.73	2.75	3.33	0.41	0.02	0.02	0.45	0.02	0.27	0.24	0.29	0.1	1.04	2.33	1.49	0.2	6.33	2.39	0.92	0.29	0.41	0.94	2	0.08	1.43	0.29	1.04	0.84	3.26	0.33	0.12	0.37	0.45	0.86	0.47	0.98	0.02	0.2	0.04	0.57	0.69	0.18
LEC	1.55	0.97	1.11	2.02	0.38	0.74	1.88	0.79	1.59	0.74	0.85	0.79	0.63	0.45	1.64	0.24	0.78	1.63	0.33	0.62	0.81	2.85	0.4	0.61	1.03	1.6	2.06	1.11	0.84	1.43	0.75	2.58	0.37	0.22	1.31	1.77	0.61	0.58	0.97	1.39	0.31	0.63	1.1	2.24	0.7	1.99	0.08	0.73	0.49	1.35	0.97	0.53	1.2	0.43	0.9	0.69	0.78	2.33	5.65	4.19	1.1	3.58	2.86	4.71	3.94	2.98	3.29	0.84	2.22	4.23
Lymphocyte	1.14	1.71	0.66	0.89	0.36	0.5	1.08	0.75	0.51	1.48	0.79	0.18	1.08	0.38	0.44	0.43	2.38	2.17	4.95	4.02	4.39	1.25	6.46	2.77	1.54	1.44	2.69	1.15	1.69	1.7	2.96	0.25	0.2	0.2	0.55	0.6	0.34	0.45	0.87	0.21	2.45	1.72	1.62	1.74	0.35	1.04	0.62	0.79	0.88	1.58	0.5	0.95	2.4	2.29	2.98	1.6	0.72	0.85	1	1.59	1.36	1.17	1.26	1.65	2.59	0.56	0.6	1.62	0.59	3.34
Mac-DC	1.45	1.56	0.49	1.42	0.73	1.15	0.78	1.2	1.31	1.71	1.47	0.23	1.19	0.44	0.63	0.86	3.91	1.65	1.71	1.17	1.92	0.45	1.67	0.4	1.37	0.41	1.09	0.77	0.26	1.05	1.26	0.24	1.41	0.8	0.29	2.44	0.21	1.42	1.89	0.19	1.19	1.57	1.78	1.6	0.18	1.04	0.64	0.39	0.6	2.08	0.17	0.47	2.33	1.09	3.62	5.05	0.23	1.09	4.35	2.6	0.64	1.71	1.78	0.79	7.53	3.08	3.34	0.34	0.81	3.31
Mast	3.09	0.59	0.73	2.45	0.36	0.55	3.23	1.5	2.5	1.73	2.55	0.32	0.55	0.27	0.41	1.55	2.14	0.5	0.64	0.95	3.82	0.36	1.73	0.05	0.41	0.14	0.32	0.77	0.14	0.18	1.5	0.55	3.91	0.59	0.36	1.86	0.36	1.27	0.82	0.45	1.55	1.45	1.59	5.14	0.77	1.5	0.77	0.41	1.32	1.86	0.09	2.45	3.32	1.91	1.64	1.5	0.05	0.14	1.68	2.64	1.91	2.91	1.14	0.27	10.09	1.77	0.5	0.18	0.59	2.68
MEC	0.09	0.19	1.01	4.04	2.08	1.74	3	0.13	0	0.44	0.22	1.99	1.29	4.13	2.59	9.02	0.03	0.19	11.96	0.22	4.35	0.41	10.86	0.6	0	0.5	0.03	1.48	2.78	0.57	0	0	1.48	10.13	0	14.42	0.06	1.07	0.32	0.47	0.98	0.41	0.35	0.06	0	0	0.06	0	0.6	0	0.44	0	0	1.14	0	0.95	0	0.09	0.32	0	0.44	0.13	0	0	0	0.13	0	0	0	0
