granular_cell_type	NE1	NE12	NE13	NE14	NE15	NE16	NE17	NE19	NE2	NE25	NE3	NE4	NE42	NE5	NE6	NE7	NE9	NF12	NF18	NF2	NF35	NF39	NF4	NF46	NF50	NF52	NF53	NF54	NF6	NF61	NF65	NP1	NP13	NP15	NP16	NP2	NP6	NP7	NP8	NP9	NT1	NT10	NT11	NT13	NT16	NT17	NT18	NT2	NT21	NT22	NT23	NT24	NT25	NT27	NT5	NT6	NT8	PS1	PS10	PS11	PS12	PS13	PS2	PS3	PS4	PS5	PS6	PS7	PS8	PS9
arteriole.ECs	2.62	1	0.68	0.74	1.25	1.03	1.16	0.35	1.25	0.67	0.8	0.55	1.64	0.55	1.89	1.48	1.02	0.67	1.43	1.18	5.75	1.55	3.24	1.31	0.55	1.07	1.88	0.7	1.11	1.16	1.53	0.55	1.54	1.02	1.82	2.5	0.6	2.39	1.52	3.69	2.2	0.62	1.66	7.3	0.78	1.07	0.85	1.82	0.61	1.11	0.14	1.99	1.04	1.98	1.02	1	0.33	1.04	2.93	1.34	0.84	1.03	1.01	0.7	0.85	2.17	2.52	0.3	0.69	1.65
Basal.Ker.ADGRL3	0.24	0.3	0.09	1.24	0.76	2.45	0.2	0.67	0.18	0.13	0.09	0.01	2.19	0.03	0.08	0.68	0.81	3.5	5.95	5.75	4.01	4.37	1.74	3.64	5.99	5.33	7.12	2.4	3.09	5.28	7.64	0.21	0.09	0.01	1.23	0.42	0.49	0.19	0.25	0.13	3.48	1.9	0.43	0.01	0.8	0.85	0.25	0.17	0.25	1.37	1.19	0.09	3.37	0.18	1.04	1.1	0.6	0.18	0	0.01	3.16	0.04	0.2	0.08	0	0.07	0.02	0.04	0.08	0.05
Basal.Ker.COL17A1	1.21	3.66	2.19	0.42	1.77	1.86	1.29	2.26	0.23	1.52	2.12	1.15	1.04	0.19	0.72	1.37	1.9	0.47	0.51	0.93	0.65	0.48	0.66	2.16	0.91	0.84	1.63	1.07	0.54	0.81	0.87	2.93	1.09	0.63	2.78	1.31	6.15	1.46	1.52	1.79	0.69	0.98	1.22	0.01	2.93	2.32	1.17	2.29	1.19	0.89	2.38	1.47	0.92	0.8	1.64	1.72	3.69	1.86	0.05	1.09	0.41	1.16	1.49	2.52	0.01	0.3	0.99	3.04	2.32	1.33
capillary.ECs	2.67	1.91	1.04	1.26	1.14	1.37	0.42	0.78	1.46	0.88	1.55	0.51	2.37	1.54	1.5	1.85	1.02	0.44	1.55	0.7	5.1	0.74	2.9	0.57	0.45	0.71	0.76	0.41	0.97	0.98	1.07	0.39	0.74	1.71	1.83	2.02	1.14	2.33	1.46	1.53	1.68	1.06	1.39	8.13	1.26	1.06	0.39	0.76	2.58	0.72	0.26	3.07	1.11	1.6	1.87	1.46	0.22	1.08	3.13	1.83	2	1.92	1.07	0.59	0.71	1.3	1.05	0.6	0.75	1.57
cDC1	3.43	1.62	0.54	2.35	0.72	0.9	0	2.71	0.72	0.72	0.9	0.18	0.9	0.18	0.36	1.44	1.81	3.25	6.32	3.07	2.17	0.72	0.54	0.54	1.62	0.18	2.71	1.81	0.18	1.99	2.35	0	0	0.54	0.54	0.54	0.18	0.72	0.18	0	1.26	3.43	3.43	2.89	0	0.72	1.44	0.36	0.36	2.53	0.18	0.54	1.44	1.26	5.78	2.89	0.18	0	3.07	1.99	0.9	1.99	0.72	0.36	6.86	0.9	0.72	0.36	0	3.79
cDC2	2.04	1.99	0.72	1.57	0.95	1.21	0.8	1.47	1.86	2.76	1.7	0.31	1.34	0.18	0.9	1.24	5.57	1.03	1.83	0.7	2.78	0.28	1.68	0.59	1.37	0.36	0.75	0.72	0.26	0.88	1.32	0.44	0.46	0.36	0.36	1.44	0.26	0.7	3.95	0.18	1.57	2.4	2.17	2.63	0.34	1.57	0.88	0.57	1.08	2.6	0.23	0.67	3.02	0.8	5	8.05	0.36	0.52	2.55	1.86	0.54	1.42	1.39	0.8	3.25	1.21	0.64	0.18	0.62	1.78
Channel-ATPase_1	0.98	0.62	2.53	2.09	1.65	0.92	1.49	1	0.42	0.11	0.66	2.95	1.46	5	7.63	2.93	0.74	0.45	2.1	0.18	1.73	1.4	2.39	1.62	0.52	0.77	0.42	2.51	2.47	0.74	0.62	1.91	1.52	10.39	2.12	6.52	1.24	1.14	3.65	5.15	1.48	0.39	1.16	0.05	0.24	0.56	0.29	0.98	1.35	0.42	1.04	0.02	0.43	1.35	0.49	1.34	1.08	0.92	0.25	0.42	0.78	0.07	0	0	0	0.12	0	0	0	0
Channel-ATPase_2	0.64	0.37	0.48	2.79	0.02	0.93	5.62	0.84	1.15	0.7	0.18	10.39	1.66	16.68	1.04	4.07	0.05	2.73	0	0.04	0.01	1.61	0.33	0.22	0.99	1.14	0	0.14	3.27	0.2	0.04	0.34	11.53	0.34	1.24	8.84	0.33	0.88	0.48	1.4	0.07	0.62	1.25	0.15	0	0.02	1.35	0.16	2.66	0.15	0.02	0	0.23	5.77	0.14	0.66	0.02	0.1	1.68	0.78	0.43	0.01	0	0	0	0.07	0	0	0	0
Channel-ATPase_3	1.74	0.58	3.09	1.93	0	0.39	3.09	0	0.77	0.39	0.58	1.35	1.55	3.09	0.97	0.58	0.19	0	2.71	0	1.74	0	3.48	2.71	0	0	1.16	0.77	1.74	0.19	0.77	1.74	3.68	4.45	11.03	7.54	3.87	3.48	3.48	10.25	2.51	0.39	0.77	0.39	0.39	1.16	0	0.19	1.93	0.58	0.39	0	0.19	0	0.77	0.39	0.58	2.32	0.77	0.19	0.97	0	0	0	0	0	0	0	0	0
Channel-gap_1	0.69	0.77	3.57	0.77	1.43	0.8	2.18	1.22	1.22	0.21	0.48	3.31	1.1	4.34	2.61	0.73	1.03	1.16	2.95	0.24	1.13	0.8	0.89	1.98	0.8	1.3	1.2	2.51	2.29	1.19	0.77	2.35	2.25	1.92	3.43	5.4	2	3.75	5.16	4.73	0.69	0.77	0.87	0.44	1.07	1.03	0.55	3.72	1.65	1.1	0.7	0.59	0.31	1.96	0.74	1.43	1.2	3.33	0.18	0.2	0.66	0.02	0	0	0.02	0.15	0	0	0	0
Channel-gap_2	1.55	2.58	3.8	0.89	2.58	1.55	8.6	1.27	0.8	0.7	0.8	1.17	0.8	1.22	3.9	0.23	0.89	1.08	0.66	0.47	0.05	0.66	1.41	1.13	0.66	0.52	0.85	0.47	1.6	0.56	0.99	6.01	5.31	0	9.96	2.16	4.37	0.42	2.77	4.13	0.23	2.02	0.61	0.05	1.93	0.89	0	1.55	2.87	2.35	2.07	0.38	0.09	0.05	0.56	1.41	0.38	0.75	0.42	0.38	1.46	0	0	0	0	0	0	0	0	0
Clear.cell.CA2	0.1	0.65	0.69	3.69	1.34	0.19	1.43	0.38	0.94	0.55	0.19	0.84	2.24	2.39	2.45	3.5	0.06	3.46	4.03	0.17	1.64	3.5	1.26	0.84	0.1	0.69	0.04	1.3	1.17	1.07	0	0	4.8	9.19	0	13.61	0.02	13.61	0.52	0.78	0.17	1.05	0.61	1.51	0	0	0.55	0	4.91	0	0.4	0	0	2.45	0	1.64	0	0.84	0.48	0.59	0.94	0.02	0	0	0.02	0.38	0	0	0	0
Clear.cell.WFDC2	0.31	1	1	2.33	0.03	0.2	1.08	0.57	4.01	0.03	0.03	4.81	4.81	6.69	4.1	6.12	0.11	1.76	1.57	0.14	1.48	4.21	1.48	0.4	0.54	0.51	0.09	1.2	4.44	0.77	0.06	0	3.56	4.13	0	6.55	0.11	8.54	0.74	2.99	0.14	1.28	0.14	1.37	0	0	0.77	0	3.53	0	0.71	0	0	1.11	0	2.87	0	2.87	1.2	0.94	0.37	0.09	0	0	0	0.14	0	0	0	0
cytotoxic T cells	1.41	2.73	0.55	1.39	0.35	0.11	2.02	0.48	0.42	3.08	0.53	0.2	0.97	0.44	0.31	0.22	2.11	1.41	2.07	0.68	3.37	0.35	10.59	0.4	0.48	0.46	0.18	0.53	0.62	0.9	0.68	0.42	0.57	0.24	0.4	1.47	0.15	0.22	1.08	0.51	2.99	2.2	1.1	1.41	0.35	0.86	0.4	0.53	0.37	1.83	0.97	0.42	0.73	1.74	0.97	2.02	1.1	1.98	1.61	2.97	1.98	1.36	3.04	4.67	3.76	0.7	0.92	4.47	1.76	5.7
Dark.cell.MUCL1	0.08	0.43	1.6	1.7	3.02	0.53	1.42	0.22	0.6	0.55	0.1	1.9	3.38	9.32	7.06	4.23	0.04	0.43	3.76	0.1	1.49	1.41	1.34	0.55	0.52	0.57	0.01	0.17	1.18	0.81	0.02	0	4.3	12.4	0	7.49	0.05	9.97	0.13	1.22	0.92	1.94	0.37	0.14	0	0	2.23	0	1.33	0	0.38	0	0	1.71	0	2.26	0	2.09	0.88	0.39	0.84	0.01	0.01	0	0	0.44	0	0	0	0
EMT.ECs	1.32	1.84	0.52	2.31	0.28	1.79	0.19	1.55	1.55	0.8	3.82	1.6	8.15	6.55	5.65	5.7	0.38	0.85	0.14	1.74	0.14	0.09	0.85	0.47	0.38	2.4	0.61	1.93	2.87	0.94	1.55	0.14	0.89	0.33	0.57	14.23	0.28	1.18	0.8	0.47	0.33	1.18	1.51	0.8	0.24	0.8	0.38	0.05	2.07	0.57	0.42	0.05	0.42	0.75	5.56	3.34	0.85	0.05	0.24	0.05	0.14	0.19	1.18	0.05	0	0.33	0.19	0.09	0.14	0.19
