ligand,target,weight
NAMPT,FHL2,0.000588592802764282
NAMPT,FOS,0.000730573654635092
NAMPT,FTL,0.000569725441885465
NAMPT,JUN,0.00120605137502987
NAMPT,NAMPT,0.211448160947788
CDH3,CDH3,0.213350404148408
CDH3,CTNNAL1,0.00154137209370573
CDH3,JUN,0.000357172868293819
CDH3,NFIL3,0.000765552680633376
CDH3,PIK3R1,0.000288296428615335
NRG1,JUN,0.000633893621075904
NRG1,NRG1,0.211440333924713
NRG1,PIK3R1,0.0019002661008021
DKK3,DKK3,0.211439110634175
DKK3,FOS,0.000259032509827226
DKK3,HSPD1,0.00117229333646785
DKK3,JUN,0.000497356074944453
DKK3,NFKBIA,0.000199627998811976
DKK3,NPM1,0.000265108643548071
DKK3,PIK3R1,0.000240608397726281
DKK3,REL,0.000202697545931906
FGF14,FGF14,0.211453250181719
FGF14,FOS,0.00147906098370833
FGF14,JUN,0.00149699263803566
FGF14,PIK3R1,0.00161764179931357
CXCL2,CXCL2,0.2114365095684
CXCL2,JUN,0.000334048028548815
CXCL2,PIK3R1,0.000800627918475618
IFNL1,CCND2,0.000306690811220309
IFNL1,FOS,0.000501304046398155
IFNL1,GHR,0.000735461811744233
IFNL1,IRF1,0.00415285847102551
IFNL1,JUN,0.000625385334126999
IFNL1,NFKBIA,0.00038065241032928
IFNL1,PIK3R1,0.000619529299514834
IFNL1,REL,0.00334415025413112
CSHL1,FOS,0.000282891729624287
CSHL1,GHR,0.00965192166320272
CSHL1,HES1,0.00341977558191045
CSHL1,JUN,0.000425540826124125
CSHL1,NFKBIA,0.000229963403780312
CSHL1,PIK3R1,0.000514698788888629
TSLP,CCND2,0.000239246972623501
TSLP,CEBPD,0.00157055628533096
TSLP,FOS,0.000476390465715992
TSLP,GHR,0.000454947114639227
TSLP,IRF1,0.000331547238418523
TSLP,JUN,0.000607305323858735
TSLP,NFKBIA,0.000439572996295734
TSLP,PIK3R1,0.000814824557685906
TSLP,REL,0.000293162987735324
IL37,CCNB1IP1,0.000290978092597118
IL37,FOS,0.000344182499529776
IL37,FTH1,0.00252801131937657
IL37,GHR,0.000557706581863187
IL37,JUN,0.000532542717938738
IL37,NFKBIA,0.000300715851867124
IL37,PIK3R1,0.00037792156318789
IL37,REL,0.000291669151466249
IL37,SQSTM1,0.00021730228251859
IL23A,FHL2,0.00023826890716756
IL23A,FOS,0.000459812282707175
IL23A,GHR,0.000365764355767339
IL23A,IRF1,0.00024766829314299
IL23A,JUN,0.000591007275045693
