ligand,target,weight
EFNB3,ARHGEF28,0.00133766555922468
EFNB3,EFNB3,0.211447448380917
EFNB3,KRAS,0.00244672049215699
EFNB3,PAK1,0.00564808337273862
FBN1,DCX,0.000783423680494869
FBN1,FBN1,0.211437531357629
FBN1,FBN2,0.00442613904473455
EFNB1,ARHGEF28,0.000572022810167399
EFNB1,EFNB1,0.212536704545195
EFNB1,KRAS,0.00148537794029003
EFNB1,PAK1,0.00244820130431035
NEGR1,FBN2,0.00298506989340175
NEGR1,GNAO1,0.00278567570783068
NEGR1,MAB21L1,0.000263202977482211
NEGR1,NEGR1,0.221515296516685
NTM,FBN2,0.000399316074391245
NTM,GNAO1,0.00048692245908717
NTM,LRRN3,0.00164389096043024
NTM,NEGR1,0.0032903430909731
NTM,SPRY1,0.000848976854338458
ANOS1,ANOS1,0.211456933708265
ANOS1,KRAS,0.000555092320142986
ANOS1,SPRY1,0.000331109012484025
ANOS1,SPRY4,0.000327623327975568
HAPLN1,ACAN,0.00770921525717424
HAPLN1,HAPLN1,0.211451194081106
HAPLN1,KRAS,0.00025434835915888
HAPLN1,MRAP2,0.000371454373062787
POSTN,GRIA1,0.00022242265762099
POSTN,POSTN,0.211458578351519
COL11A1,ACAN,0.00161109018302431
COL11A1,BLOC1S1,0.000516404780443799
COL11A1,COL11A1,0.212141789785132
COL11A1,TSPAN11,0.000664808870960161
KIR2DS3,FBN2,0.000885788448584472
KIR2DS3,GNAO1,0.000854762941297441
KIR2DS3,NEGR1,0.0650358838322203
KIR2DS3,STMN1,0.000204646840622015
COL15A1,ACAN,0.00197622876090202
COL15A1,COL15A1,0.21143898084343
GPC3,GPC3,0.211443114888603
MPDZ,MPDZ,0.211439349935271
MPDZ,PPA1,0.000546900435138902
MPDZ,SNRPD2,0.000581798603283284
LSAMP,FBN2,0.000742607403333792
LSAMP,GNAO1,0.000813310179245418
LSAMP,NEGR1,0.0502547475326602
LSAMP,REL,0.000185327306080088
LSAMP,TBX15,0.00614061438795583
OPCML,FBN2,0.000512054392222383
OPCML,GNAO1,0.000519367165650462
OPCML,KRAS,0.000180527108996371
OPCML,LRRN3,0.00022225797893226
OPCML,NEGR1,0.032455726659114
OPCML,REL,0.000199042668332267
OPCML,SPRY1,0.000298073826833733
RSPO4,LGR4,0.0205287617116767
RSPO4,LGR6,0.0216124212528944
RSPO4,REL,0.000275020761031192
RSPO4,SPRY1,0.000234206053805162
EBI3,ERBB4,0.000235637219107376
EBI3,IL27RA,0.0189336134741269
EBI3,KRAS,0.000297091175762677
IL27,IL27RA,0.0148756795250565
IL27,KRAS,0.000256956605843163
CNTN1,FBN2,0.00107021740706716
CNTN1,GNAO1,0.0011421121909534
CNTN1,NEGR1,0.00129691259558279
CNTN1,PPA1,0.000596246092612462
CNTN1,REL,0.000238296797620919
LPA,FMN1,0.000837852444931036
LPA,LMX1B,0.000510129073342551
LPA,MSR1,0.000844295984429434
LPA,PAK1,0.00165031966498042
LPA,SCIN,0.000851661395509574
LPA,VIPR2,0.000514387693642768
RSPO3,GNAO1,0.000234460044967376
RSPO3,LGR4,0.0201349422125317
RSPO3,LGR6,0.0211115473150555
RSPO2,GNAO1,0.000229371929001082
RSPO2,LGR4,0.017474168541577
RSPO2,LGR6,0.01839542256606
RSPO2,SPRY1,0.000390524177528492
RSPO2,ZNF440,0.000269133950875535
EREG,ERBB4,0.00433758986878897
EREG,KRAS,0.00121606624477089
EREG,SPRY1,0.00115150863218167
NRG4,ERBB4,0.00490613495671147
NRG4,KRAS,0.00156136108508766
NRG3,ERBB4,0.00401488449425538
NRG3,KRAS,0.000955448839933327
NTS,CHRM1,0.00183589392572814
NTS,CPE,0.00151615813762155
NTS,CYSLTR1,0.00181980456896414
NTS,F2R,0.00189769395709681
NTS,GNAO1,0.00061823525960974
NTS,GRIA1,0.00130705669717566
VIP,GNAO1,0.000485638591716131
VIP,RXFP1,0.00157923981900554
VIP,VIPR2,0.00427562915894931
AMBN,EEF2K,0.00167169868616996
AMBN,REL,0.00023511026611736
AMBN,SHANK1,0.00162002138591009
BMP3,AK8,0.000326316387845259
BMP3,GNAO1,0.00058412771141623
BMP3,PAK1,0.000262990833806984
BMP3,REL,0.000316530554180325
EDIL3,ACAN,0.000263549861968105
EDIL3,MEF2C,0.00564722360265614
EDIL3,SHANK1,0.00037669673597874
GDF7,AK8,0.000382262819576685
GDF7,GNAO1,0.000663605954165573
GDF7,PAK1,0.000255663633699382
GDF7,REL,0.000341961167841632
INHBB,AK8,0.000314943959939323
INHBB,GNAO1,0.000507843561297853
INHBB,KRAS,0.000222450778086569
INHBB,MAGI2,0.00023585344618931
INHBB,PAK1,0.000291807079014565
INHBB,PEG10,0.000217893693867986
INHBB,REL,0.000309338683863744
PRSS2,ACAN,0.000332309655019361
PRSS2,CHRM1,0.000247691206879257
PRSS2,CYSLTR1,0.000248836615490753
PRSS2,F2R,0.0111429720895367
PRSS2,GNAO1,0.000333445018401003
PRSS2,ST8SIA2,0.00246265315237837
GDF6,AK8,0.000373136627734987
GDF6,GNAO1,0.000675752953578704
GDF6,PAK1,0.000254686565920778
GDF6,REL,0.000338106557508108
BMP7,FBN2,0.000692328876977297
BMP7,MAB21L1,0.000380610940815479
BMP7,PTPN20,0.000385313172780609
ARTN,KRAS,0.00454623476562214
ARTN,PAK1,0.000301244277412446
BDNF,CPE,0.000590733448932727
BDNF,GRIA1,0.00070439025113724
BDNF,KRAS,0.000645421181710476
MMP12,ACAN,0.0115712919920821
MMP12,FBN2,0.000261737809904599
MMP12,HEYL,0.000243471206240354
RLN2,GNAO1,0.00059212631714082
RLN2,RXFP1,0.0082782583624675
RLN2,VIPR2,0.00302747142372126
AGRP,ACAN,0.000228650423635817
AGRP,GNAO1,0.000386985116143661
AGRP,RXFP1,0.000680717985293699
AGRP,TUBB2A,0.00027912103114485
AGRP,VIPR2,0.000609584275424142
NPVF,CHRM1,0.000959886792134466
NPVF,CYSLTR1,0.000950534538269658
NPVF,F2R,0.000993048386097056
NPVF,GNAO1,0.00080594163041583
NPVF,PAK1,0.000260842085191685
NPVF,VIPR2,0.000235232529292539
EDN1,CHRM1,0.000839778671090883
EDN1,CYSLTR1,0.000834193465129128
EDN1,GNAO1,0.000543984395130197
EDN1,KRAS,0.000518132827712378
EDN1,PAK1,0.000441338453552269
MMP2,ACAN,0.00326477997897376
MMP2,F2R,0.00215349086881823
MMP2,KRAS,0.000244315829315463
MMP2,LGR6,0.00140536910835176
MMP2,REL,0.00126697715314259
BMP1,AK8,0.000301150408628375
BMP1,CAT,0.000284548504193566
BMP1,REL,0.00034613670566092
CRH,CAT,0.000621348568580049
CRH,GNAO1,0.00039796560783079
CRH,LGR4,0.00048514908203246
CRH,RXFP1,0.00111502915077254
CRH,VIPR2,0.00097015645714318
STX1A,GRIA1,0.000429755878141613
STX1A,PLPP4,0.000470321861257536
STX1A,SLC6A4,0.00137149891832726
SEMA4A,FARP2,0.000234299343364483
SEMA4A,MAGI2,0.000439049626827859
SEMA4A,PAK1,0.00110373165938643
NRG1,ERBB4,0.00286756759768516
NRG1,KRAS,0.000963371790134669
NRG1,LGR4,0.000571711290790148
NRG2,ERBB4,0.00316684350602555
NRG2,KRAS,0.00116260371620663
BTC,ERBB4,0.00382629939980377
BTC,KRAS,0.0012619364268181
BTC,SPRY1,0.00120427860007427
