ligand,target,weight
LGI3,ADAM22,0.0378165391794817
LGI3,ESR1,0.000309043366490707
LGI3,LGI3,0.211436757977567
LGI3,MYC,0.000628242387571014
LGI3,TPM1,0.000245690485144018
LGI3,UNC13C,0.000231459882649512
S100A9,ESR1,0.000473176786102102
S100A9,GATA3,0.00129935211687237
S100A9,KRT17,0.000535715096580549
S100A9,LY96,0.00384881264650303
S100A9,MYC,0.000968974844336479
S100A9,NUAK1,0.00115754056646861
S100A9,S100A9,0.21143972051707
S100A9,SUMO1,0.000321669892910536
WNT16,ESR1,0.000383735923057295
WNT16,GNB4,0.00170326101628677
WNT16,LRP5,0.00296692865363043
WNT16,MYC,0.000778062609100669
WNT16,PDZRN3,0.000562092991562162
WNT16,SKAP2,0.000557595395951322
WNT16,TMEM98,0.000577876494763414
WNT16,WNT16,0.211438173788676
RARRES2,ABCC4,0.000339589000296367
RARRES2,CMKLR1,0.022132885874648
RARRES2,ESR1,0.000383078671349462
RARRES2,FGFR2,0.000255279087885719
RARRES2,IRF5,0.000227286282276172
RARRES2,IRS1,0.00580776810303552
RARRES2,MYC,0.000509409390379488
RARRES2,RARRES2,0.21144073735043
EDIL3,EDIL3,0.2114381282263
EDIL3,ESR1,0.000377009930470701
EDIL3,FLNA,0.000486084763992154
EDIL3,IRS1,0.000438117063338161
EDIL3,ITGA7,0.00030552993631468
EDIL3,MYC,0.000483361542226985
EDIL3,SHANK2,0.000406451088901302
EDIL3,SUMO1,0.000263959196296482
EDIL3,TPM1,0.000286322830584934
CDH2,CDH11,0.00121613562916328
CDH2,DYSF,0.000604869039723512
CDH2,EFTUD2,0.000380957912546398
CDH2,ESR1,0.000409028501562003
CDH2,GATA3,0.000528468125828434
CDH2,LRP5,0.00147909028889929
CDH2,MYC,0.000915745805067762
CDH2,PTPRO,0.00051317699979979
CDH2,SPAG9,0.00180637561547442
CDH2,ZEB2,0.000361443219555873
LAMA1,ESR1,0.00041681405030517
LAMA1,FLNA,0.00106131451306786
LAMA1,HSPB8,0.000367425098716512
LAMA1,ITGA7,0.00297774007147056
LAMA1,LAMA1,0.211439204007988
LAMA1,MYC,0.00046968851725752
LAMA1,STMN1,0.000380736077749956
LAMA1,STUB1,0.000471560211618467
MYOC,ESR1,0.000391974792536521
MYOC,MYC,0.000458176949129795
