ligand,target,weight
IBSP,ACTG2,0.000459119636488829
IBSP,AR,0.000334178857936703
IBSP,BIN1,0.000225678210859158
IBSP,CD63,0.000313770439321286
IBSP,CDH1,0.000578474180429793
IBSP,CHL1,0.000246043830498127
IBSP,COL13A1,0.00460026624301824
IBSP,CTNNAL1,0.000353174728061682
IBSP,DAB2,0.000216722205986058
IBSP,ELN,0.000745142085915448
IBSP,EPHB2,0.0034982708051125
IBSP,FHL2,0.000557105016126616
IBSP,GPC1,0.00065019404608294
IBSP,ITGA11,0.00530347951645763
IBSP,ITGA4,0.00483381838210841
IBSP,ITGA6,0.00539231244946985
IBSP,ITGA9,0.00555833736801628
IBSP,ITGB3,0.014314869519488
IBSP,ITGB8,0.00546895155075935
IBSP,JUN,0.000404369479245204
IBSP,KDR,0.000562496401644179
IBSP,L1CAM,0.000434209040038835
IBSP,LIMS2,0.000657590931488483
IBSP,NFKB1,0.000397737073042623
IBSP,PDIA3,0.000217999725636225
IBSP,PHEX,0.000599504838387638
IBSP,PIK3R1,0.000778708093199624
IBSP,PTK2,0.00218654257720732
IBSP,RUNX2,0.00344727226640966
IBSP,SDC3,0.000665582438993994
IBSP,SHC3,0.00063704268561654
IBSP,THY1,0.000337416913037444
IBSP,TPM1,0.000254638202862924
IBSP,UBB,0.000259643560066359
IBSP,VAV3,0.000251974253063388
TNN,ACTG2,0.000261849826187434
TNN,AR,0.000301180970678285
TNN,BIN1,0.000262514921184323
TNN,CD63,0.000354345729303426
TNN,CDH1,0.000406840488026293
TNN,CHL1,0.000282948311494458
TNN,COL13A1,0.000874615382835008
TNN,CXCR4,0.000261128254594835
TNN,ELN,0.000968096435166805
TNN,FHL2,0.000671249137891017
TNN,GPC1,0.000979208814400006
TNN,ITGA11,0.00633924712116677
TNN,ITGA4,0.00575838414370175
TNN,ITGA6,0.0064719126555857
TNN,ITGA9,0.00924012808856704
TNN,ITGB3,0.00874258831001349
TNN,ITGB8,0.00657311484049713
TNN,JUN,0.000385612505150379
TNN,KDR,0.000462692691931316
TNN,L1CAM,0.000436978079248049
TNN,LIMS2,0.000778391201267221
TNN,NFKB1,0.000349904897621321
TNN,PDIA3,0.000211987467829985
TNN,PIK3R1,0.000648737545099473
TNN,PRKCB,0.000206367842788544
TNN,PTK2,0.00251985201600467
TNN,SDC3,0.00644269051182798
TNN,SHC3,0.000908217250257597
TNN,THY1,0.000274597627875496
TNN,TIAM1,0.000274578004969977
TNN,TNN,0.211438179038199
TNN,TPM1,0.000282849988225058
TNN,UBB,0.00027860002174603
TNN,VAV3,0.000204314599164634
ITGA9,ACTG2,0.000262456106730759
ITGA9,ALDH1A3,0.000583760424269944
ITGA9,AR,0.000307972191275217
ITGA9,CALML5,0.000578667123921652
ITGA9,CDH1,0.000513199348903862
ITGA9,COL13A1,0.002032534443779
ITGA9,ELN,0.0020001032485035
ITGA9,FHL2,0.000316921033762447
ITGA9,GPC1,0.0018573161844939
ITGA9,ITGA11,0.00201702566839727
ITGA9,ITGA4,0.00195072741552353
ITGA9,ITGA6,0.00207699776543159
ITGA9,ITGA9,0.212511468478123
ITGA9,ITGB3,0.00214947610567118
ITGA9,ITGB8,0.00208995879778837
ITGA9,IVL,0.000659432528758074
ITGA9,JUN,0.000421786580993574
ITGA9,KDR,0.000316402887013562
ITGA9,KLK10,0.000645344269989391
ITGA9,L1CAM,0.0033906942950947
ITGA9,LIMS2,0.00201204469258596
ITGA9,NFKB1,0.000380514915374124
ITGA9,PIK3R1,0.000602742293911259
ITGA9,PTK2,0.00429954996555954
ITGA9,SDC3,0.00195903814071682
ITGA9,SERPINB4,0.00059440440303465
ITGA9,SHC3,0.00184082178250148
ITGA9,SPRR1B,0.000656685924614503
ITGA9,TPM1,0.000253644117833606
ITGA9,UBB,0.000283712607727947
COL2A1,ABCA4,0.00125129334699594
COL2A1,ACTG2,0.000224202815500565
COL2A1,AR,0.000304287818082989
COL2A1,CD36,0.000510059608824109
COL2A1,CDH1,0.000368176944354761
COL2A1,COCH,0.00104854387164095
COL2A1,COL13A1,0.000583787726991962
COL2A1,ELN,0.00158609913256581
COL2A1,FHL2,0.000361187999254691
COL2A1,GPC1,0.00147929085308494
COL2A1,HTRA1,0.000419802819386817
COL2A1,ITGA11,0.00346637510734643
COL2A1,ITGA4,0.00265327787404292
COL2A1,ITGA6,0.00293308869653931
COL2A1,ITGA9,0.00383157441826107
COL2A1,ITGB3,0.00290749251058954
COL2A1,ITGB8,0.00378405872412024
COL2A1,JUN,0.000404360397594044
COL2A1,KDR,0.000291872356290738
COL2A1,LIMS2,0.00154500752471836
COL2A1,LOXL4,0.00180142556945096
COL2A1,MDFI,0.00022321156146805
COL2A1,NFKB1,0.000362847245223308
COL2A1,PIK3R1,0.000532540570541958
COL2A1,PRELP,0.000981031547559327
COL2A1,PRSS8,0.000544087710127398
COL2A1,PTK2,0.00242850899649886
COL2A1,SDC3,0.00284790348770094
COL2A1,SHC3,0.00144230914341577
COL2A1,TPM1,0.000223029908183317
COL2A1,UBB,0.000279686085638638
THBS2,AR,0.000310250924061039
THBS2,BIN1,0.000250882779144752
THBS2,CD36,0.0083131009526127
THBS2,CD63,0.000360158951015832
THBS2,CDH1,0.000412864786635606
THBS2,COL13A1,0.000584305506906906
THBS2,DAB2,0.000223303603413771
THBS2,ELN,0.000679633339513217
THBS2,EPHB2,0.000354371869188582
THBS2,FHL2,0.000484963577516315
THBS2,FOXF2,0.00122255035222977
THBS2,GPC1,0.000669757978010288
THBS2,ITGA11,0.00407800287631129
THBS2,ITGA4,0.00842063796725959
THBS2,ITGA6,0.0084234520985782
THBS2,ITGA9,0.00429328464797949
THBS2,ITGB3,0.00587557379426022
THBS2,ITGB8,0.00424634889434264
THBS2,JUN,0.000369689264608039
THBS2,KDR,0.000392723449445935
THBS2,L1CAM,0.00027305595862048
THBS2,LIMS2,0.00050639327007188
THBS2,NFKB1,0.000441434699574683
THBS2,PDIA3,0.000215481098421465
THBS2,PIK3R1,0.00056115845391513
THBS2,PTK2,0.00189205652014403
THBS2,SDC3,0.00421307812898851
THBS2,SHC3,0.000570905827682394
THBS2,TCTN3,0.00046982261811676
THBS2,TPM1,0.000221156099247505
THBS2,TRAF2,0.000214611659530388
THBS2,UBB,0.000293246907237176
BGN,AR,0.000268540875463304
BGN,CD36,0.000255811748903922
BGN,CDH1,0.000332702652821423
BGN,COL13A1,0.000337708166624915
BGN,ELN,0.00471931447415374
BGN,FHL2,0.000294126456223382
