ligand,target,weight
COL17A1,COL17A1,0.211438464791609
EFEMP1,EFEMP1,0.213585465409784
FGF14,FGF14,0.211453250181719
COL7A1,COL7A1,0.211438222875533
ENPP1,BCKDHB,0.00114936205697092
LAMA3,DST,0.0026198880543298
LAMB3,DST,0.00184834735957919
LAMC2,DST,0.00138100166688955
SLPI,BCKDHB,0.00220873621845353
ENTPD1,BCKDHB,0.00129163091289025
ABCA1,BCKDHB,0.00116012121824509
DUSP18,DST,0.000237555146066204
LIPC,BCKDHB,0.000336246485761219
ACE2,BCKDHB,0.000336131423748601
PLA2G2A,BCKDHB,0.000435240878408145
PTDSS1,BCKDHB,0.000250154656041226
LPL,BCKDHB,0.000247621456028753
