ligand,target,weight
CCN1,ACTB,0.000483502462247278
CCN1,BRCA1,0.000431721219775825
CCN1,BUB1,0.00116100520115351
CCN1,BUB1B,0.00115093663543051
CCN1,BUB3,0.000236939437829761
CCN1,CDC20,0.000246355616271245
CCN1,CKAP5,0.000275330436812204
CCN1,DSN1,0.00116914799046627
CCN1,FANCD2,0.00110296322331682
CCN1,GAPDH,0.000245923731710089
CCN1,HNRNPK,0.000235131346209198
CCN1,HPRT1,0.00179873034282847
CCN1,HSPA8,0.000364698625988192
CCN1,IQGAP3,0.000291692322477166
CCN1,ITGB3BP,0.000263654536648899
CCN1,KNL1,0.000222909613499745
CCN1,LMNB1,0.00104471790970784
CCN1,MYH9,0.000247692255629666
CCN1,NDC80,0.00115096686277159
CCN1,NUF2,0.001155940170665
CCN1,RHOA,0.00262942808837347
CCN1,SMC1A,0.000242509065539747
CCN1,SPC24,0.00113534257944917
CCN1,SPC25,0.00119162286450181
CCN1,TP53,0.00438697109327814
CCN1,TRIM28,0.00108681726737788
CCN1,UBE2I,0.00024690941340822
CCN1,XPO1,0.000434422031911642
CCN1,ZWINT,0.00261846830675363
VCAM1,ACTB,0.000670565234878577
VCAM1,ALYREF,0.000616035795630065
VCAM1,BRCA1,0.000411343535722501
VCAM1,BUB3,0.000417527387297331
VCAM1,CDK1,0.000450015288668651
VCAM1,CSE1L,0.000430894215540744
VCAM1,EEF1G,0.000446126834622455
VCAM1,FUS,0.000542599257273615
VCAM1,GAPDH,0.000469130518915766
VCAM1,HNRNPA1,0.000504681854298691
VCAM1,HNRNPA2B1,0.000402478635769301
VCAM1,HNRNPD,0.000535222989299255
VCAM1,HNRNPK,0.000564429131040067
VCAM1,HNRNPM,0.0004448337430875
VCAM1,HNRNPR,0.000410628223581806
VCAM1,HSPA8,0.000633588080965277
VCAM1,ILF2,0.000574664979253959
VCAM1,KPNB1,0.000575880186953195
VCAM1,LMNB1,0.000400591186973322
VCAM1,MCM3,0.000501705064688618
VCAM1,MCM4,0.00049139503739352
VCAM1,MYH9,0.000586821793025565
VCAM1,NCL,0.000422970397587691
VCAM1,NONO,0.0004277120678238
VCAM1,NUDT21,0.000483710212335483
VCAM1,PRDX2,0.000422801617090536
VCAM1,PRKDC,0.000471841960557685
VCAM1,RPLP0,0.000437102786967528
VCAM1,SNRPD1,0.000512312028262522
VCAM1,TP53,0.000693058002364861
VCAM1,TRIM28,0.000583897057185776
VCAM1,XPO1,0.000769237612808383
VCAM1,YBX1,0.000401479833677934
IGSF3,ACTB,0.000360848428158879
IGSF3,BARD1,0.000275907748911813
IGSF3,BRCA1,0.000435157044630927
IGSF3,CBX5,0.000201995114031012
IGSF3,CENPA,0.000204916580283224
IGSF3,CTCF,0.000206116358217052
IGSF3,DYNLL1,0.000226045755112149
IGSF3,GAPDH,0.0002248256258095
IGSF3,HMGB2,0.000213547314502574
IGSF3,HNRNPK,0.000202277347761203
IGSF3,HNRNPR,0.000204030763167306
IGSF3,HSPA8,0.000355558889425038
IGSF3,NCAPD3,0.000236769692775851
IGSF3,NCAPG2,0.000236204611073978
IGSF3,NSD2,0.000242336428675305
IGSF3,PCNA,0.000216151353141006
IGSF3,PRKDC,0.000213010694620572
IGSF3,RAD21,0.000224973149897223
IGSF3,RAN,0.0033748045116133
IGSF3,RHOA,0.000196199536726528
IGSF3,RPA3,0.000226083689891564
IGSF3,SMC1A,0.000229657980449501
IGSF3,TP53,0.0005319053011103
IGSF3,TRIM28,0.000289068723081694
IGSF3,UBE2I,0.000346497400083829
IGSF3,XPO1,0.000346958733291577
IGSF3,YWHAE,0.000217165731117584
SCUBE2,ACTB,0.000300637500952568
SCUBE2,BIRC5,0.000187336741547099
SCUBE2,BRCA1,0.000195637782684771
SCUBE2,BUB1B,0.000209299948392858
SCUBE2,CCNB1,0.000266438837756857
SCUBE2,CCNB2,0.0218380401160206
SCUBE2,CDC20,0.00020932719163865
SCUBE2,CDC25C,0.000211683626313335
SCUBE2,CDCA5,0.000190460473000337
SCUBE2,CDK1,0.000236437041347965
SCUBE2,CENPA,0.000224689248030589
SCUBE2,CENPE,0.000201315948123908
SCUBE2,CENPK,0.000193643773932889
SCUBE2,CENPM,0.000188135604320743
SCUBE2,CENPU,0.000190302061002394
SCUBE2,CKAP5,0.000240028730144759
SCUBE2,DYNLL1,0.000190157066350968
SCUBE2,GAPDH,0.000212945431388256
SCUBE2,HSPA8,0.000274340963630124
SCUBE2,KIF2C,0.00018814410165569
SCUBE2,NDC80,0.000206274735412309
SCUBE2,NUF2,0.000185859511023586
SCUBE2,PFN1,0.00037076619780941
SCUBE2,PPP1CA,0.000217644885786929
SCUBE2,RAD21,0.000202418882621863
SCUBE2,RHOA,0.00051827992547225
SCUBE2,SMC1A,0.000212097631751693
SCUBE2,TP53,0.000435675023807001
SCUBE2,XPO1,0.000396691083634599
DSC1,ACTB,0.000494131959678861
DSC1,BRCA1,0.000368733224916559
DSC1,CDC20,0.00187175396508334
DSC1,CKAP5,0.000239391302090086
DSC1,CMC2,0.000925688607502465
DSC1,DYNLL1,0.000272076900974406
DSC1,EZH2,0.000232944147310184
DSC1,FABP5,0.00104785771474851
DSC1,FANCD2,0.000225914135466568
DSC1,FUS,0.00023549301628235
DSC1,HNRNPA1,0.000300562671768513
DSC1,HNRNPK,0.000248938962405619
DSC1,HSPA8,0.000412199797818756
DSC1,IPO7,0.00091841193007209
DSC1,KIFC1,0.000735971167238149
DSC1,MYH9,0.000311774228298007
DSC1,NEK2,0.000853039953515254
DSC1,PA2G4,0.000929575551297292
DSC1,PCNA,0.000241044553389651
DSC1,PPA1,0.000251180504561108
DSC1,PRKDC,0.00102272065274819
DSC1,RHOA,0.000247016040110742
DSC1,RPA3,0.000236855809349735
DSC1,SGO2,0.000302100713078905
DSC1,TP53,0.000633235266302565
DSC1,TRIM28,0.000259450027644992
DSC1,UBE2I,0.000239449346645634
DSC1,USP1,0.00175757552936042
DSC1,XPO1,0.000423337335281227
DSC1,YWHAE,0.000230022483716325
PLEKHO2,ACTB,0.000397152618100945
PLEKHO2,BRCA1,0.000614226410191334
PLEKHO2,CCNB1,0.000319592718430846
PLEKHO2,CDC20,0.00562598806934882
PLEKHO2,CDK1,0.000297687339568952
PLEKHO2,CKAP5,0.000359438998167783
PLEKHO2,DYNLL1,0.000251253106479637
PLEKHO2,FANCD2,0.000531461953005749
PLEKHO2,FANCI,0.000521543582532037
PLEKHO2,GAPDH,0.000242366523790844
PLEKHO2,HSPA8,0.00037974797161183
PLEKHO2,NEK2,0.000256858701357419
PLEKHO2,NUDT21,0.000241189694206313
PLEKHO2,PCNA,0.000237096705988698
PLEKHO2,PTTG1,0.000272815830810849
PLEKHO2,RHOA,0.000233477342829508
PLEKHO2,RPA3,0.000283958578643923
PLEKHO2,TACC3,0.00659473912133169
PLEKHO2,TP53,0.000657970306110455
PLEKHO2,UBE2C,0.000259188812200159
PLEKHO2,UBE2I,0.00026534306771989
PLEKHO2,UBE2T,0.000371803847476253
PLEKHO2,XPO1,0.000373526217042046
PLEKHO2,YWHAE,0.00537903619242204
COPA,ACTB,0.000478300654084068
COPA,BRCA1,0.000397534719328928
COPA,BUB1B,0.000329395567543474
COPA,CDC20,0.000356036854067807
COPA,CENPE,0.000925068678436236
COPA,DSN1,0.000373235429800792
COPA,DYNLL1,0.00102112264347503
COPA,GAPDH,0.00034487636833816
COPA,HSPA8,0.000575048390383576
COPA,KIF11,0.000882427048725763
COPA,KIF15,0.000960116521037438
COPA,KIF18A,0.000993208784975525
COPA,KIF18B,0.000444299751272775
COPA,KIF20B,0.000423556705964886
COPA,KIF21A,0.00044561442951569
COPA,KIF23,0.000879542589255545
COPA,KIF2C,0.00094090616972674
COPA,KIF4A,0.000899075712570169
COPA,KIFC1,0.000408988322915553
COPA,RACGAP1,0.000875369509658699
COPA,RPA3,0.000369256480669154
COPA,TP53,0.000578848586045205
COPA,TUBB,0.000320884350929364
COPA,TUBB4B,0.000318434665954769
COPA,XPO1,0.000627625038672673
COPA,YWHAE,0.000355372037422222
SPINK1,ACTB,0.000549071561865596
SPINK1,ALYREF,0.000454833056669348
SPINK1,BRCA1,0.000426513064089274
SPINK1,BUB3,0.000328969640476567
SPINK1,CCNB1,0.000318233698069433
SPINK1,CDK1,0.000334958730706888
SPINK1,CKAP5,0.000333274184087228
SPINK1,EEF1G,0.000343136522076054
SPINK1,FUS,0.000412595149288096
SPINK1,HNRNPD,0.000339522101874419
SPINK1,HNRNPK,0.000364872765972961
SPINK1,HNRNPR,0.000312850768407387
SPINK1,HSPA8,0.000374496770289493
SPINK1,ILF2,0.000283980716680261
SPINK1,KPNB1,0.000323088196830226
SPINK1,MYH9,0.000356750045680332
SPINK1,NOP56,0.000311060677924288
SPINK1,NOP58,0.000399319500574684
SPINK1,NUDT21,0.000304263400101279
SPINK1,PRKDC,0.000328658378756449
SPINK1,RFC1,0.000285877487676609
SPINK1,SNRPD1,0.000337717858105965
SPINK1,SRSF3,0.000323748322031855
SPINK1,TP53,0.000804905635033271
SPINK1,TRIM28,0.000414920358391701
SPINK1,XPO1,0.000562453047780891
HMGB1,ACTB,0.000413875878509228
HMGB1,ARHGAP24,0.000627522754250992
HMGB1,CDK1,0.000655012223882674
HMGB1,CTCF,0.000925234277343636
HMGB1,CUX1,0.000736554228480148
HMGB1,GAPDH,0.000628936248459751
HMGB1,HMGB1,0.211451832203448
HMGB1,HMGB2,0.0016843614826417
HMGB1,HMGB3,0.000534001010831701
HMGB1,HNRNPD,0.000415972877819174
HMGB1,HSPA8,0.00102451149983247
HMGB1,MARCKS,0.000687761009104078
HMGB1,MYH9,0.000612097012140496
HMGB1,PCNA,0.000691947098255419
HMGB1,PTBP3,0.000441796121001843
HMGB1,RHOA,0.0013801204722133
HMGB1,SRSF3,0.000376612472587032
HMGB1,TOP2A,0.000560669037029944
HMGB1,TP53,0.00313065260054012
HMGB1,TXN,0.000448901126716308
HMGB1,XPO1,0.000366659595798702
S100A4,ACTB,0.00053485070154583
S100A4,BRCA1,0.000335653759657141
S100A4,CCNB1,0.0002548927126648
S100A4,CDK1,0.000235150563833448
S100A4,DYNLL1,0.00106871489210704
S100A4,E2F3,0.000589540280071263
S100A4,ESCO2,0.00111960989757382
S100A4,FOXM1,0.000586618409536414
S100A4,GAPDH,0.000274708573741189
S100A4,HNRNPD,0.00025327733626269
S100A4,HNRNPK,0.000254386878239064
