ligand,target,weight
OLFM2,EIF1,0.0090723954478469
GLG1,NFKBIA,0.00338120787267212
GLG1,PABPC1,0.000281590474848131
GLG1,RPS13,0.00335408588982208
MIF,JUNB,0.00116930895521139
MIF,JUND,0.00086041829212846
MIF,MAP1LC3B,0.000783692478684783
MIF,NFKBIA,0.000918500682890051
MIF,PABPC1,0.000489393731488899
C4BPA,NFKBIA,0.00716435164529968
IGSF21,ATF3,0.00782761232249176
IGSF21,NFKBIA,0.00027625429249587
IGSF21,RPS13,0.000228524833204524
IGSF21,RPS27,0.000239378808042729
PRND,JUND,0.000217468492328535
PRND,NFKBIA,0.000286227667616778
PRND,PABPC1,0.000299463444660724
PRND,RPS13,0.000246437187361432
PRND,RPS27,0.000251811857650241
RPS19,PABPC1,0.00138079595558834
RPS19,RPS13,0.0015699562873502
RPS19,RPS27,0.00173903038655773
CNTN2,ATF3,0.000807060010438654
CNTN2,JUNB,0.000879503833539913
CNTN2,JUND,0.000816724248646413
CNTN2,NFKBIA,0.000997558968951491
CP,PABPC1,0.00098245503679955
CP,RPS13,0.00102487067106164
CP,RPS27,0.00103195818339466
IL18BP,NFKBIA,0.00163084127068908
IL23A,NFKBIA,0.00544082124948848
CD40,JUNB,0.000516850744341443
CD40,NFKBIA,0.00203875491333124
TNF,JUND,0.000356414912811781
TNF,NFKBIA,0.000758151837708725
TNFSF12,NFKBIA,0.00224202626098553
TNFSF11,NFKBIA,0.00227006122702506
IL12B,ATF3,0.000888010315674759
IL12B,NFKBIA,0.00330062010407032
SPP1,JUND,0.000729696697457299
SPP1,RPS13,0.000570961075169146
SPP1,TPT1,0.000500820166587953
GPC6,JUND,0.00480707191941092
GPC6,MAP1LC3B,0.000195791936753478
GDNF,ATF3,0.000608898320725456
GDNF,JUNB,0.000641026678243179
GDNF,JUND,0.000627678027311877
GDNF,NFKBIA,0.000662098040258204
S100A12,ATF3,0.000405057503820143
S100A12,NFKBIA,0.000424463265835421
SOST,FTL,0.000978877772816566
SOST,RPS27,0.0011340844076766
NAMPT,FTL,0.000569725441885465
NAMPT,JUND,0.00061157086315567
NAMPT,PNRC1,0.000590795548074194
S100B,JUNB,0.0014652781518624
S100B,NFKBIA,0.000984901764721842
IL37,JUND,0.000223827896572164
IL37,NFKBIA,0.000300715851867124
TGFB1,JUND,0.000367950661548687
TGFB1,NFKBIA,0.000340065800189065
ADIPOQ,JUND,0.000491690905524447
ADIPOQ,NFKBIA,0.000533492753895911
ADIPOQ,PNRC1,0.000450426877857591
ICAM1,NFKBIA,0.000724157525474355
ICAM1,PABPC1,0.000541080634202965
ICAM1,RPS13,0.000507085635529677
GDF9,JUND,0.000573145536659554
GDF9,PNRC1,0.000534639781922611
NGF,NFKBIA,0.00211624839534924
MYOC,FTL,0.00214127010948663
IL1A,ATF3,0.000415293267460234
IL1A,NFKBIA,0.00105385895784201
IL4,JUNB,0.000780246706473957
IL4,NFKBIA,0.000965174712521771
CFC1,ATF3,0.000252175014595005
CFC1,JUNB,0.000282055921530535
CFC1,JUND,0.000325283644869131
IL2,JUNB,0.000629961905012875
IL2,JUND,0.000655655145206843
IL2,NFKBIA,0.000621615319135011
BMP4,PABPC1,0.000366178788209319
HJV,JUNB,0.000262892029601234
HJV,JUND,0.000291165116242786
HJV,NFKBIA,0.000274210313086854
IL1B,ATF3,0.000383074466502146
IL1B,JUND,0.000379717189078331
IL1B,NFKBIA,0.000920985044952717
PTN,FTL,0.00149212261617204
SERPINE1,JUND,0.00073815811457118
SERPINE1,TPT1,0.000938056543147055
IFNG,JUND,0.000509501219764708
IFNG,NFKBIA,0.000708544346496977
ADAM17,NFKBIA,0.00129757135039862
KIR2DS5,ATF3,0.00208273680820588
COL11A2,ATF3,0.00103989288747415
COL11A2,MAP1LC3B,0.00109678269050649
TGFB2,RPS27,0.00120964117907563
CCN1,JUND,0.0018135216080039
CCN1,NFKBIA,0.000263915635602204
ZP3,EIF1,0.00211530493494857
VCAM1,PABPC1,0.000513151246067466
VCAM1,RPS13,0.000451382979723616
VCAM1,RPS27,0.000452302901083133
BMP2,JUNB,0.000441623872536272
BMP2,JUND,0.000487739531131724
BMP2,PNRC1,0.000406663619362298
CD40LG,NFKBIA,0.00163192540004288
FCN2,EIF1,0.000841559260302365
