ligand,target,weight
DSC3,CHD3,0.000249235831189089
DSC3,DSC3,0.213816928446028
DSC3,DSG2,0.0101948921968352
DSC3,DSG3,0.0164499580328571
DSC3,DSP,0.00851564690901807
DSC3,EGFR,0.000598759570459817
DSC3,LGR4,0.00114966138749683
DSC3,NET1,0.00132372350435761
DSC3,PERP,0.00563763774435141
DSC3,PKP1,0.00523258642473488
DSC3,PKP3,0.0144125963332711
DSC2,ANK3,0.000788216746704066
DSC2,DSC2,0.211448813162164
DSC2,DSG2,0.0059953789332278
DSC2,DSG3,0.00390150141496664
DSC2,DSP,0.00352965413520919
DSC2,FZD6,0.000767963049845406
DSC2,GMDS,0.000622536324831087
DSC2,PERP,0.00175767261711812
DSC2,PKP1,0.0016787512618022
DSC2,PKP3,0.00302880609502855
DSC2,PLD3,0.000789395368530879
DSC2,ROR1,0.000787578082099738
DSG2,CBX1,0.000481884182051986
DSG2,DSC3,0.00209908343463077
DSG2,DSG2,0.212134079834516
DSG2,DSP,0.0013729513382348
DSG2,EGFR,0.00100497395926779
DSG2,PERP,0.000837332029353217
DSG2,PKP1,0.000797089014546561
DSG2,PKP3,0.00269612781231115
SHH,BOC,0.00545247487398931
SHH,DLG5,0.000439110091407049
SHH,EGFR,0.000475845497209638
SHH,FZD6,0.000813611675494756
SHH,FZD7,0.000826735742669854
SHH,GAS1,0.0054854185050446
SHH,GLI2,0.0044764501785924
SHH,GLI3,0.00254506009956987
SHH,GPC5,0.00278422345591478
SHH,NEDD4L,0.000566979520780393
SHH,PTCH1,0.00728159122581318
SHH,PTCH2,0.0042505523446932
SHH,SOX9,0.00115442925563538
DSC1,DSC3,0.000852644770548686
DSC1,DSG2,0.00853899812162299
DSC1,DSG3,0.00638738142209905
DSC1,DSP,0.0057653422793303
DSC1,EGFR,0.000513771476877187
DSC1,KRT14,0.00179858494435921
DSC1,KRT17,0.000801570351791766
DSC1,PERP,0.00287506014914617
DSC1,PKP1,0.00648179419622167
DSC1,PKP3,0.00652079807672022
EFNB2,EFNB2,0.211446497353205
EFNB2,EGFR,0.00069991060451522
EFNB2,EPHA4,0.00172901653023902
EFNB2,EPHB6,0.00229125990130472
EFNB2,GRIP1,0.000872035815921774
EFNB2,HOMER1,0.000645646028627923
EFNB2,KALRN,0.00104066220814187
EFNB2,NCK2,0.00194217617793656
EFNB2,NF1,0.000514642992651867
EFNB2,PAK3,0.00155588524645386
EFNB2,TIAM1,0.000628269467843506
EFNB2,VAV3,0.000646936583440278
DSG1,CHD3,0.000644890569582204
DSG1,DSC3,0.00747808005880088
DSG1,DSG2,0.00074232736498966
DSG1,DSG3,0.000929128348105914
DSG1,DSP,0.00357250543338226
DSG1,EGFR,0.000510792151330706
DSG1,KRT17,0.000643024144324312
DSG1,PERP,0.00223038463821151
DSG1,PKP1,0.00508208932746846
DSG1,PKP3,0.00712752823343487
EFNA3,EFNA3,0.21144127279239
EFNA3,EGFR,0.00125742457965884
EFNA3,EPHA4,0.00888499206393269
EFNA3,EPHB6,0.00385128569966876
EFNA3,PTPN14,0.000362226117391325
EFNA3,PTPRF,0.000420128313065052
EFNA3,PTPRK,0.000390011213387458
EFNA3,PTPRZ1,0.000383582453954017
EFNA3,TIAM1,0.00201595022981133
EFNA3,VAV3,0.00206904882702874
BOC,ANK3,0.00025807611067649
BOC,BOC,0.214617710859791
BOC,EGFR,0.000599161446129145
BOC,GLI2,0.00120906569311898
BOC,GLI3,0.000568793930760443
BOC,PTCH1,0.00949182358848177
BOC,PTCH2,0.0022791788955906
BOC,YAP1,0.000268850834613083
EFNA5,CELSR2,0.00052962584016105
EFNA5,EFNA5,0.211442155154738
EFNA5,EGFR,0.00135086994221942
EFNA5,EPHA4,0.00543046998777077
EFNA5,EPHB6,0.00289318516228128
EFNA5,GRIP1,0.00191335956221472
EFNA5,PTPRF,0.000341728842765086
EFNA5,PTPRK,0.000312819425266091
EFNA5,PTPRZ1,0.000309218087003861
EFNA5,RARG,0.000954342796963431
EFNA5,TIAM1,0.00132824581539957
