ligand,target,weight
IGFL3,ABCC3,0
IGFL3,ABCC4,0
IGFL3,ABI2,0
IGFL3,ABI3,0
IGFL3,ADAM28,0
IGFL3,ADGB,0
IGFL3,AIF1,0
IGFL3,ALOX5,0
IGFL3,ANKRD44,0
IGFL3,AP4E1,0
IGFL3,APBB1IP,0
IGFL3,ARHGAP15,0
IGFL3,ARHGAP27,0
IGFL3,ARHGAP9,0
IGFL3,ARID4A,0
IGFL3,ARPC3,0
IGFL3,ARSI,0
IGFL3,ASPH,0
IGFL3,ATAD1,0
IGFL3,ATPAF2,0
IGFL3,BAIAP2,0
IGFL3,BCO2,0
IGFL3,BTD,0
IGFL3,CACNG3,0
IGFL3,CACNG7,0
IGFL3,CARD9,0
IGFL3,CASP8,0
IGFL3,CBR3,0
IGFL3,CC2D2B,0
IGFL3,CCDC138,0
IGFL3,CCDC18,0
IGFL3,CCDC18-AS1,0
IGFL3,CCDC62,0
IGFL3,CCR6,0
IGFL3,CD1A,0
IGFL3,CD207,0
IGFL3,CD52,0
IGFL3,CDCA2,0
IGFL3,CDH1,0
IGFL3,CDH20,0
IGFL3,CDK14,0
IGFL3,CENPF,0
IGFL3,CEP128,0
IGFL3,CEP57,0
IGFL3,CEP85L,0
IGFL3,CFAP73,0
IGFL3,CHAD,0
IGFL3,CHD3,0
IGFL3,CKLF,0
IGFL3,CLASP2,0
IGFL3,CLDN1,0
IGFL3,CLEC16A,0
IGFL3,CLNK,0
IGFL3,CMTM7,0
IGFL3,CNOT11,0
IGFL3,COL21A1,0
IGFL3,COPRS,0
IGFL3,CORO1A,0
IGFL3,CPB2-AS1,0
IGFL3,CPED1,0
IGFL3,CPVL,0
IGFL3,CSF1R,0
IGFL3,CSPP1,0
IGFL3,CTNNBIP1,0
IGFL3,CTNND1,0
IGFL3,CTSH,0
IGFL3,DCLK2,0
IGFL3,DCP2,0
IGFL3,DEF6,0
IGFL3,DGKG,0
IGFL3,DGKI,0
IGFL3,DOCK5,0
IGFL3,DUT,0
IGFL3,DYNC2H1,0
IGFL3,EDEM3,0
IGFL3,EFCAB11,0
IGFL3,ELMO1,0
IGFL3,ENTPD1,0
IGFL3,ENTPD1-AS1,0
IGFL3,EPCAM,0
IGFL3,EPDR1,0
