ligand,target,weight
IGFL3,ABCC3,0
IGFL3,ABCC4,0
IGFL3,ABI3,0
IGFL3,ABL2,0
IGFL3,ABR,0
IGFL3,ACTB,0
IGFL3,ACTR2,0
IGFL3,ACTR3,0
IGFL3,ADAM28,0
IGFL3,ADAM8,0
IGFL3,ADCY3,0
IGFL3,ADCY7,0
IGFL3,ADGB,0
IGFL3,ADK,0
IGFL3,AGAP3,0
IGFL3,AHRR,0
IGFL3,AIF1,0
IGFL3,AKAP13,0
IGFL3,AKIRIN2,0
IGFL3,AKR1A1,0
IGFL3,ALCAM,0
IGFL3,ALDH2,0
IGFL3,ALOX5,0
IGFL3,ALOX5AP,0
IGFL3,AMPD3,0
IGFL3,ANKRD44,0
IGFL3,ANXA5,0
IGFL3,AP1S3,0
IGFL3,AP2S1,0
IGFL3,AP4E1,0
IGFL3,APOBR,0
IGFL3,APOC2,0
IGFL3,ARHGAP10,0
IGFL3,ARHGAP26,0
IGFL3,ARHGAP30,0
IGFL3,ARHGAP31,0
IGFL3,ARHGDIB,0
IGFL3,ARL4C,0
IGFL3,ARL8B,0
IGFL3,ARPC2,0
IGFL3,ARPC3,0
IGFL3,ARPC5,0
IGFL3,ASAP1,0
IGFL3,ATAD2B,0
IGFL3,ATP13A3,0
IGFL3,ATP2B1,0
IGFL3,ATP2C1,0
IGFL3,ATP5F1E,0
IGFL3,ATP6V0B,0
IGFL3,ATP6V0D1,0
IGFL3,ATP6V1A,0
IGFL3,ATP6V1H,0
IGFL3,ATP8B4,0
IGFL3,B3GNT5,0
IGFL3,BASP1,0
IGFL3,BAZ1A,0
IGFL3,BCAT1,0
IGFL3,BCO2,0
IGFL3,BID,0
IGFL3,C15orf48,0
IGFL3,C1orf162,0
IGFL3,CALHM6,0
IGFL3,CALR,0
IGFL3,CAMK1D,0
IGFL3,CAPG,0
IGFL3,CASS4,0
IGFL3,CC2D2B,0
IGFL3,CCDC88A,0
IGFL3,CCL22,0
IGFL3,CCND2,0
IGFL3,CCR7,0
IGFL3,CD1A,0
IGFL3,CD1C,0
IGFL3,CD1E,0
IGFL3,CD207,0
IGFL3,CD4,0
IGFL3,CD40,0
IGFL3,CD52,0
IGFL3,CD53,0
IGFL3,CD58,0
IGFL3,CD74,0
