ligand,target,weight
CD28,AKT3,0.000823795093043408
CD28,BCL2,0.000571811612927489
CD28,CBLB,0.000606328110765442
CD28,CD247,0.0020339589644076
CD28,CD28,0.212114506478626
CD28,CD3D,0.0013608539158706
CD28,CD3E,0.00166854544294096
CD28,CD3G,0.00111268847139906
CD28,CDKN1B,0.000506099528655903
CD28,CXCR4,0.000489793150759145
CD28,CYFIP2,0.000763540167161174
CD28,FYN,0.000707521865654253
CD28,GNG2,0.000762401811276672
CD28,GRAP2,0.00231391314429411
CD28,IL2RA,0.000553374480198965
CD28,INPP5D,0.00101877049323377
CD28,ITK,0.00310736774446376
CD28,LAT,0.001390316584882
CD28,LCK,0.00303452208236292
CD28,LRRFIP1,0.000641619530767557
CD28,NCKAP1L,0.000724335670785891
CD28,PIK3CD,0.00156873877514233
CD28,PIK3CG,0.00198393824927084
CD28,PRKCA,0.000515427024581846
CD28,PRKCQ,0.00251133851652435
CD28,PTPRC,0.000690682819467315
CD28,REL,0.000778552337563864
CD28,SH3KBP1,0.000891254504073533
CD28,SOS1,0.00105639211818015
CD28,TRBC1,0.000517141804281042
CD28,ZAP70,0.00199902337972252
PTPRC,CD2,0.00184030322431492
PTPRC,CD247,0.00379368059402554
PTPRC,CD3D,0.00167262412377891
PTPRC,CD3E,0.0022575264380622
PTPRC,CD3G,0.00162354138240636
PTPRC,CD44,0.00103623621883924
PTPRC,CD7,0.000706369490098434
PTPRC,FYN,0.00413096766069114
PTPRC,GRAP2,0.000444592410438687
PTPRC,ICAM3,0.000642223916233131
PTPRC,INPP5D,0.000872329384259643
PTPRC,ISG20,0.000628864342878906
PTPRC,ITK,0.00046844912771927
PTPRC,LAT,0.000653489475059918
PTPRC,LCK,0.00500396392381439
PTPRC,MBP,0.000592958730058183
PTPRC,PRKCQ,0.000606379395205987
PTPRC,PTPRC,0.212599034614709
PTPRC,SEMA4D,0.0017401325761533
PTPRC,SH3KBP1,0.000381095482430152
PTPRC,SKAP1,0.00264353991299737
PTPRC,SLAMF1,0.00049831288302691
PTPRC,SOS1,0.000527706063693576
PTPRC,SPN,0.000662365717305761
PTPRC,STAT4,0.00136145126299852
PTPRC,TRAC,0.000794163591112513
PTPRC,TRAT1,0.000662413802526245
PTPRC,TRBC1,0.000909139068721152
PTPRC,WAS,0.000770663812846404
PTPRC,ZAP70,0.000574075990963182
HLA-DRA,AKT3,0.000270242688200082
HLA-DRA,ARPC2,0.000276885618450229
HLA-DRA,CARD11,0.000321189429995843
HLA-DRA,CBLB,0.000269337914574861
HLA-DRA,CD247,0.00267201958696104
HLA-DRA,CD28,0.00251177557620293
HLA-DRA,CD37,0.00156428512350753
HLA-DRA,CD3D,0.0027985318276776
HLA-DRA,CD3E,0.00283665456741472
HLA-DRA,CD3G,0.00267070094455861
HLA-DRA,CD53,0.00149521661276636
HLA-DRA,FYB1,0.00282169366689578
HLA-DRA,FYN,0.00121638584449725
HLA-DRA,GRAP2,0.00205481097278642
HLA-DRA,INPP5D,0.000308794343241257
HLA-DRA,ITGB2,0.00025939469969234
HLA-DRA,ITK,0.00307420595414623
HLA-DRA,LAT,0.0027692704072663
HLA-DRA,LCK,0.00285620916684064
HLA-DRA,MBP,0.0012706117260198
HLA-DRA,PAG1,0.00336655471926339
HLA-DRA,PLEKHA2,0.000367386078875037
HLA-DRA,PRKCA,0.0010898012803681
HLA-DRA,PRKCQ,0.0038365671685915
HLA-DRA,RPS27A,0.000301876784614109
HLA-DRA,SH3KBP1,0.000295193232737329
HLA-DRA,SLA2,0.000767219892446005
HLA-DRA,SOS1,0.000422293835389403
HLA-DRA,TMEM131L,0.000637806837120312
HLA-DRA,TRAC,0.00106233916878873
HLA-DRA,TRBC1,0.00123078076570671
HLA-DRA,WAS,0.000309422705589076
HLA-DRA,ZAP70,0.0028458446277344
CD86,AKT3,0.00100324737614363
CD86,BCL2,0.000579715706421433
CD86,CD2,0.000543085427075059
CD86,CD247,0.00185817968167435
CD86,CD28,0.00364159715048858
CD86,CD3D,0.00180478418418646
CD86,CD3E,0.00186166610741686
CD86,CD3G,0.00144508483267626
CD86,CD69,0.000507832260936963
CD86,CYFIP2,0.00101124485145724
CD86,FYN,0.00147504430457676
CD86,GNG2,0.00111475276848001
CD86,GRAP2,0.00195928558561737
CD86,IL2RA,0.000831400477976872
CD86,INPP5D,0.000973512635347534
CD86,ITGB2,0.000564848658025677
CD86,ITK,0.00249491570353876
CD86,LAT,0.00140762580375881
CD86,LCK,0.00258400854542556
CD86,LRRFIP1,0.000853590975363338
CD86,NCKAP1L,0.000956204347044345
CD86,PIK3CD,0.00118195265502365
CD86,PIK3CG,0.000814355902000237
CD86,PRKCA,0.000558013100600577
CD86,PRKCQ,0.00187262418487627
CD86,SH3KBP1,0.00112398704497339
CD86,SOS1,0.00128857055456934
CD86,TRAC,0.0006152933710063
CD86,TRBC1,0.00070812929110934
CD86,ZAP70,0.00188383213171107
CD1D,ARPC2,0.000232074092485994
CD1D,CD247,0.00636155608098641
CD1D,CD28,0.000524977883900981
CD1D,CD3D,0.00660350739480152
CD1D,CD3E,0.00675899997746386
CD1D,CD3G,0.00618565420874826
CD1D,CD44,0.00253185477675454
CD1D,CD69,0.00288184973357512
CD1D,CXCR4,0.000266955060100011
CD1D,ELF1,0.00122301319138045
CD1D,FAS,0.000233939562371938
CD1D,FYB1,0.000372616989150778
CD1D,FYN,0.000610917840384311
CD1D,GNG2,0.000233595661595389
CD1D,GRAP2,0.000792364677965463
CD1D,IL2RA,0.000477943283054302
CD1D,IL2RB,0.000305467096482707
CD1D,IL2RG,0.000311971507610668
CD1D,INPP5D,0.000275548038877557
CD1D,ITGB2,0.000259347101482646
CD1D,ITK,0.000570194967911114
CD1D,KLRK1,0.0029474909602806
CD1D,LAT,0.00120929885076289
CD1D,LCK,0.00143779899418979
CD1D,MBP,0.000316651022891664
CD1D,PAG1,0.000464912085024371
CD1D,PRKCA,0.000310202074318192
CD1D,PRKCQ,0.00116637724945151
CD1D,PTPRC,0.0055054513979537
CD1D,RPS27A,0.000257100482942297
CD1D,SH3KBP1,0.000232360733587242
CD1D,SOS1,0.000310182043537815
CD1D,TRAC,0.00293185560568839
CD1D,TRBC1,0.00341913370635351
CD1D,TRBC2,0.00270568468064248
CD1D,ZAP70,0.00121427257246209
B2M,AKT3,0.000744859940134662
B2M,B2M,0.211449422638015
B2M,BCL2,0.000574012023017775
B2M,CD247,0.00194970712802932
B2M,CD28,0.00144444530092332
B2M,CD3D,0.00156733176687625
B2M,CD3E,0.0014574264147906
B2M,CD3G,0.00191489127426323
B2M,CXCR4,0.000603048410776762
B2M,CYFIP2,0.000733765658981124
B2M,FYN,0.0015168554347137
B2M,GNG2,0.000721311332076479
B2M,GRAP2,0.00156849877015455
B2M,IL2RA,0.00115996960465614
B2M,IL2RB,0.000959685345771088
B2M,IL2RG,0.000967506471696579
B2M,INPP5D,0.000760630926515725
B2M,ITK,0.00106969520875652
B2M,KLRK1,0.000907665050704168
B2M,LAT,0.00202953997915211
B2M,LCK,0.00181545964448573
B2M,LRRFIP1,0.000618417280204682
B2M,NCKAP1L,0.00069786017289674
B2M,PAG1,0.00125516110542505
B2M,PRKCQ,0.00159915107972999
B2M,SH3KBP1,0.000848226441087848
B2M,SOS1,0.00129148237403055
B2M,TRBC1,0.000557125038254738
B2M,ZAP70,0.000760786566295141
HLA-DRB5,ARPC2,0.000360037333833415
HLA-DRB5,CBLB,0.000224013170498416
HLA-DRB5,CD247,0.00480083071692442
HLA-DRB5,CD28,0.000408242238213277
HLA-DRB5,CD3D,0.0050951418984386
HLA-DRB5,CD3E,0.00640180054038604
HLA-DRB5,CD3G,0.00480594349782847
HLA-DRB5,FYB1,0.000445744089057459
HLA-DRB5,FYN,0.00049240205241375
HLA-DRB5,GRAP2,0.00339600045551307
HLA-DRB5,IL2RA,0.000323212815436573
HLA-DRB5,IL2RB,0.000277172622752537
HLA-DRB5,IL2RG,0.000252268179792348
HLA-DRB5,INPP5D,0.000251106805115695
HLA-DRB5,ITK,0.000663733251486756
HLA-DRB5,LAT,0.00472220188794117
HLA-DRB5,LCK,0.004725320212807
HLA-DRB5,MBP,0.00117489371484333
HLA-DRB5,NCK2,0.000246150299250139
HLA-DRB5,PAG1,0.000464082166556784
HLA-DRB5,PRKCA,0.00034672357894855
HLA-DRB5,PRKCQ,0.00478653573224134
HLA-DRB5,RPS27A,0.000328118450865848
HLA-DRB5,SH3KBP1,0.000277032816167079
HLA-DRB5,SOS1,0.000356293923221839
HLA-DRB5,TRAC,0.00194587255513923
HLA-DRB5,TRBC1,0.0022653880153642
HLA-DRB5,WAS,0.000288514524775973
HLA-DRB5,ZAP70,0.00521751414638206
HLA-DRB1,CD226,0.000471097753958845
HLA-DRB1,CD247,0.00151185941052794
HLA-DRB1,CD28,0.00138636857061079
HLA-DRB1,CD37,0.000835044317971101
HLA-DRB1,CD3D,0.00157949124631433
HLA-DRB1,CD3E,0.00155647592471147
HLA-DRB1,CD3G,0.00149443994722153
