ligand,target,weight
RPS19,EIF3E,0.00103411142390021
RPS19,HNRNPA1,0.00053548465989388
RPS19,NPM1,0.000738845952586528
RPS19,PABPC1,0.00138079595558834
RPS19,RACK1,0.000844978370231382
RPS19,RPL10A,0.00157355746782757
RPS19,RPL11,0.00157880840041141
RPS19,RPL13,0.00156342171775093
RPS19,RPL13A,0.00163064441762012
RPS19,RPL14,0.00153334122282301
RPS19,RPL17,0.00156019582017921
RPS19,RPL18,0.00158044561996512
RPS19,RPL18A,0.00155014124595485
RPS19,RPL19,0.0016118597269721
RPS19,RPL21,0.00163098153000182
RPS19,RPL22,0.00164598015944174
RPS19,RPL23,0.00160978624559632
RPS19,RPL24,0.00161427347046239
RPS19,RPL3,0.00137164205961765
RPS19,RPL30,0.00157351368716536
RPS19,RPL31,0.00160207551597089
RPS19,RPL32,0.00146581142690843
RPS19,RPL34,0.001535590417766
RPS19,RPL35A,0.00163234923695457
RPS19,RPL5,0.00139554287379226
RPS19,RPL6,0.00156353394687557
RPS19,RPL7,0.00155020208594979
RPS19,RPL7A,0.00156225929845355
RPS19,RPL8,0.00156464274422869
RPS19,RPL9,0.00159762023777768
RPS19,RPS11,0.00156608354847573
RPS19,RPS13,0.0015699562873502
RPS19,RPS14,0.00179270446255285
RPS19,RPS16,0.0017375282047951
RPS19,RPS17,0.00171325761499825
RPS19,RPS18,0.00178194908678349
RPS19,RPS19,0.211434290548556
RPS19,RPS2,0.00182111987870649
RPS19,RPS20,0.00178579318581354
RPS19,RPS21,0.00181631062431668
RPS19,RPS23,0.00181097899507295
RPS19,RPS24,0.00173104627542996
RPS19,RPS25,0.00180453116187697
RPS19,RPS27A,0.00173046867015998
RPS19,RPS3,0.00169978699726399
RPS19,RPS3A,0.00152164852653338
RPS19,RPS4X,0.00154469322076513
RPS19,RPS5,0.00171314503095365
RPS19,RPS6,0.00178562679304122
RPS19,RPS8,0.00171920742059114
CP,EIF3E,0.000922341581368248
CP,PABPC1,0.00098245503679955
CP,PHGDH,0.0009348255806423
CP,RPL13A,0.00100427587792717
CP,RPS11,0.00101386454226132
CP,RPS13,0.00102487067106164
CP,RPS14,0.00105153828927881
CP,RPS16,0.00102271301308606
CP,RPS17,0.001012215276473
CP,RPS18,0.00104032544611191
CP,RPS2,0.00106481780347913
CP,RPS20,0.00103902386101197
CP,RPS21,0.001060242451338
CP,RPS23,0.00104662081950824
CP,RPS24,0.00101593464440639
CP,RPS25,0.00104479027110231
CP,RPS27A,0.00114098543487728
CP,RPS3,0.00101870580077576
CP,RPS3A,0.00100345243719986
CP,RPS4X,0.00101570423096961
CP,RPS5,0.00100806684716296
CP,RPS6,0.00106593681173905
CP,RPS8,0.00100604419100963
PRND,PABPC1,0.000299463444660724
PRND,RACK1,0.00834510614274263
PRND,RPL10A,0.000217515992397112
PRND,RPL11,0.000221611418078378
PRND,RPL13,0.000222552352729942
PRND,RPL13A,0.000244854073055536
PRND,RPL14,0.000275367282396634
PRND,RPL17,0.000214072325806636
PRND,RPL18A,0.000214494316485165
PRND,RPL19,0.000218956074518858
PRND,RPL21,0.000222834593343378
