ligand,target,weight
CADM2,CADM1,0.0636052166275275
CADM2,CADM2,0.214767887484898
CADM2,CHL1,0.00083677364228862
CADM2,CTNNB1,0.000433330707374838
CADM2,DDIT3,0.000709698607597435
CADM2,DLG1,0.000396929572320391
CADM2,JUN,0.000381843359990896
CADM2,VAMP2,0.000295741048093406
LRIG1,CTNNB1,0.000531790186203523
LRIG1,CYP1B1,0.000693481862812366
LRIG1,EPS15,0.00131508017387026
LRIG1,ERBB4,0.00624616747599991
LRIG1,JUN,0.000362959706545447
LRIG1,LRIG1,0.211443472730143
LRIG1,NDST3,0.000727693764005347
LRIG1,PTPRK,0.00157929157816328
DKK2,ANTXR2,0.000211471498582391
DKK2,CTNNB1,0.00689500034156744
DKK2,DKK2,0.211439329733644
DKK2,FZD1,0.0085636801103725
DKK2,HSP90AA1,0.000195895200799301
DKK2,JUN,0.000362083089597936
DKK2,KREMEN1,0.0175630885154569
DKK2,RB1,0.0001922977523293
DKK2,SMAD1,0.000226778519597455
DKK2,TCF4,0.000349280861063406
DKK2,VAMP2,0.000215139350188217
PGF,CTNNB1,0.000675352753971748
PGF,HSP90AA1,0.000394946211332625
PGF,HSP90AB1,0.000274139285706353
PGF,JUN,0.00043045878331769
PGF,NRP2,0.00898324618532314
PGF,PGF,0.211457831634107
PGF,PLXNA2,0.000262635005943556
PGF,PPP1R12A,0.00220477698276048
PGF,PRKCB,0.000240049230673153
PGF,PTK7,0.00158383920536432
PGF,RB1,0.000221779343230243
PGF,RERG,0.00195729702454569
PGF,VAV3,0.000347842219931018
NRG3,CTNNB1,0.000549264029201631
NRG3,ERBB4,0.00401488449425538
NRG3,FZD1,0.000569898836391801
NRG3,NRG3,0.211439453747063
NRG3,PRKCB,0.00052759343788965
NRG3,VAV3,0.00146852552875347
SFRP1,CTNNB1,0.00326389018112888
SFRP1,DLG1,0.00026774630192859
SFRP1,DLG2,0.000207729251145648
SFRP1,FZD1,0.0070025913495494
SFRP1,HSP90AA1,0.000216069542794127
SFRP1,JUN,0.000387201137470944
SFRP1,PLXNA2,0.00141365416335596
SFRP1,SFRP1,0.211438331929592
SFRP1,SMAD1,0.000215149025282326
SFRP1,SRSF3,0.00112345570848867
SFRP1,TLL1,0.00134618858717361
SFRP1,VAMP2,0.000253522622762551
SLITRK3,BMI1,0.000257687149834853
SLITRK3,CTNNB1,0.000419710457867721
SLITRK3,HSP90AA1,0.000304902130947505
SLITRK3,HSP90AB1,0.000234237162718832
SLITRK3,HSPA1A,0.000483720909358311
SLITRK3,JUN,0.00043037847984099
SLITRK3,MTSS1,0.00114015619180366
SLITRK3,PTPRD,0.0571980371332846
SLITRK3,SLITRK3,0.211450815525803
SLITRK3,VAMP2,0.000227766135350228
EFNB2,CTNNB1,0.000469245664697474
EFNB2,DLG1,0.000385012833540669
EFNB2,DNM3,0.000403441741231401
EFNB2,EFNB2,0.211446497353205
EFNB2,EPHA5,0.00066602806844401
EFNB2,EPHA6,0.00157815612937698
EFNB2,EPS15,0.000479038901662673
EFNB2,GRIN2B,0.00104181790596676
EFNB2,JUN,0.000403007784999825
EFNB2,SCFD1,0.000362283386434726
EFNB2,VAMP2,0.000581191973407325
EFNB2,VAV3,0.000646936583440278
CALM2,AKAP9,0.000686690472884176
CALM2,CALM2,0.211445154457395
CALM2,CTNNB1,0.000493317884905161
CALM2,GRIN2B,0.000372375523794864
CALM2,HSP90AA1,0.000736352122615654
CALM2,HSPA1A,0.000395354032481977
CALM2,JUN,0.000526514545732313
CALM2,MARCKS,0.000580888223178842
CALM2,MYLK,0.00082679482811033
CALM2,RYR2,0.000652938985504654
CALM2,TCF4,0.000620896120998599
CALM2,UNC13B,0.000362671398076111
CALM2,VAMP2,0.000531719760815866
CNTN1,CHL1,0.00458014543083343
CNTN1,CNTN1,0.213472301008878
CNTN1,CTNNB1,0.000806085289001252
CNTN1,DLG1,0.000424583841652385
CNTN1,GRIN2B,0.000231670916779378
CNTN1,HSP90AA1,0.000275573708270303
CNTN1,HSP90AB1,0.000262608943414959
CNTN1,HSPA1A,0.000236894720044057
CNTN1,JUN,0.000462203016245758
