ligand,target,weight
TNN,ITGA8,0.00888197975802104
TNN,ITGB1,0.00966555419971687
TNN,TNN,0.211438179038199
LAMC3,ITGA8,0.00291983164036891
LAMC3,ITGB1,0.0050983578695383
LAMC3,LAMC3,0.211441254687536
SPON1,ITGB1,0.00397963699561703
SPON1,SPON1,0.211448037420186
SEMA5A,ITGB1,0.00149361171383547
SEMA5A,SEMA5A,0.211438230084182
POSTN,ITGB1,0.00502031626217532
POSTN,POSTN,0.211458578351519
MMP16,F2R,0.000300260596529039
MMP16,ITGB1,0.000300997197903648
MMP16,MMP16,0.211438487575676
INHBA,INHBA,0.211437455324766
DKK2,DKK2,0.211439329733644
ITGB1,ITGB1,0.212764488861821
NPNT,ITGA8,0.0518463889654875
NPNT,ITGB1,0.0384361928694845
TNXB,ITGA8,0.00337198213549092
TNXB,ITGB1,0.00381480974116115
TNC,EDNRA,0.00130579650285005
TNC,ITGA8,0.00446012233637907
TNC,ITGB1,0.00537023258648335
HSPG2,AOPEP,0.000813594263556948
HSPG2,EDNRA,0.000726482015557866
HSPG2,ITGA8,0.000924081922798542
HSPG2,ITGB1,0.00338034017435489
LAMC2,ITGA8,0.00172914825481479
LAMC2,ITGB1,0.00311769647660397
LAMC2,NUAK1,0.000355015858152966
COL6A3,ITGA8,0.00385541874389508
COL6A3,ITGB1,0.00583461157929524
COL6A6,ITGA8,0.00547986829103157
COL6A6,ITGB1,0.0117182998739771
THBS2,ITGA8,0.00410156028839558
THBS2,ITGB1,0.00986882604545881
TNR,ITGA8,0.00345550552852049
TNR,ITGB1,0.00382822207527461
COL5A3,ITGA8,0.00347870461218846
COL5A3,ITGB1,0.00477656974713213
COL19A1,FCHSD2,0.00067815865035498
COL19A1,ITGA8,0.00160068110621875
COL19A1,ITGB1,0.00264864309778491
DSPP,ITGB1,0.0107266065334728
DSPP,SLC5A3,0.001778090267639
THBS4,ITGA8,0.00391817367414126
THBS4,ITGB1,0.00603271198360277
LAMA4,ITGA8,0.00293521773292954
LAMA4,ITGB1,0.00652379284404467
COL4A1,ITGA8,0.00229823273908719
COL4A1,ITGB1,0.00401043347478629
LAMB3,ITGA8,0.00230573603145413
LAMB3,ITGB1,0.00413743065402386
LAMC1,ITGA8,0.00239974974397661
LAMC1,ITGB1,0.00433369116040459
COL1A1,ITGA8,0.00165907852545157
COL1A1,ITGB1,0.00336762297171437
COL13A1,ITGA8,0.00237279932575672
COL13A1,ITGB1,0.00747021887378297
LUM,ITGA8,0.00240042210923149
LUM,ITGB1,0.00803397384643114
COL9A1,ITGA8,0.00248968267506115
COL9A1,ITGB1,0.00797433320559334
COL9A3,ITGA8,0.00199646294097743
COL9A3,ITGB1,0.00637597999393954
COL16A1,ITGA8,0.00259094153576428
COL16A1,ITGB1,0.00829812956095606
COL9A2,ITGA8,0.00131492429490662
COL9A2,ITGB1,0.00421464159478759
PCDHA3,ITGB1,0.0126489121509051
PCDHA6,CDH11,0.000284911864472157
PCDHA6,ITGB1,0.0180029513287731
EDN1,EDNRA,0.00192615478467801
PCDHA1,CDH11,0.000331435848417024
PCDHA1,ITGB1,0.0211335416670633
PCDHA11,CDH11,0.000325526172956547
PCDHA11,ITGB1,0.020744139550398
PCDHA8,CDH11,0.000323893053103503
PCDHA8,ITGB1,0.020637688184041
PCDHA5,CDH11,0.000323744553595435
PCDHA5,ITGB1,0.0206265809557884
TGFBI,FCHSD2,0.000880804998122417
TGFBI,ITGB1,0.0027141915685027
TGFBI,KLF10,0.00191691267031465
PCDHA13,CDH11,0.000318304027525998
PCDHA13,ITGB1,0.0208605547131197
PCDHA7,CDH11,0.000293301942021662
PCDHA7,ITGB1,0.0185741914799598
ITGA9,ITGA8,0.00201171409389448
ITGA9,ITGB1,0.00775193216627128
SPP1,ITGA8,0.00262671254965289
SPP1,ITGB1,0.00284800016398611
LAMA3,ITGA8,0.00323731571946772
LAMA3,ITGB1,0.00573207422309604
COL11A1,ITGA8,0.00293197490626387
COL11A1,ITGB1,0.00404320274124463
COL6A1,ITGA8,0.00358250355997414
COL6A1,ITGB1,0.00494448394526893
CHAD,ITGA8,0.00459555463583103
CHAD,ITGB1,0.010947177943447
COL15A1,CASC15,0.000901453207329625
COL15A1,ITGA8,0.00198724979775516
COL15A1,ITGB1,0.00323053927546786
