ligand,target,weight
DSC2,DSC2,0.211448813162164
DSC2,DSG1,0.00604488814300245
DSC2,DSG3,0.00390150141496664
DSC2,DSP,0.00352965413520919
DSC2,F11R,0.000727179914545038
DSC2,GJA1,0.00188881754614423
DSC2,JUP,0.00337205679572785
DSC2,PERP,0.00175767261711812
DSC2,PKP1,0.0016787512618022
DSC3,ACTB,0.000494974765361862
DSC3,CDKN1A,0.000204892695105516
DSC3,CTNND1,0.000266938052174121
DSC3,DSG1,0.0152715533493277
DSC3,DSG3,0.0164499580328571
DSC3,DSP,0.00851564690901807
DSC3,HSPB1,0.000209434789839342
DSC3,JUP,0.0106848837630943
DSC3,PERP,0.00563763774435141
DSC3,PKP1,0.00523258642473488
DSC1,ACTB,0.000494131959678861
DSC1,CDKN1A,0.000234515144551037
DSC1,DSG1,0.010863858455442
DSC1,DSG3,0.00638738142209905
DSC1,DSP,0.0057653422793303
DSC1,DYNLL1,0.000272076900974406
DSC1,EMP1,0.00193066010095984
DSC1,HSPB1,0.0010240607016319
DSC1,JUP,0.00386109171622129
DSC1,KRT17,0.000801570351791766
DSC1,PERP,0.00287506014914617
DSC1,PKP1,0.00648179419622167
DSG1,ACTB,0.00102270623006978
DSG1,CDKN1A,0.000257038911517119
DSG1,DSG1,0.213579917922563
DSG1,DSG3,0.000929128348105914
DSG1,DSP,0.00357250543338226
DSG1,JUP,0.00314883396262378
DSG1,KRT17,0.000643024144324312
DSG1,MYOF,0.00077408577859873
DSG1,PERP,0.00223038463821151
DSG1,PKP1,0.00508208932746846
NECTIN4,ACTB,0.000649294137192047
NECTIN4,CCND1,0.000477368981160646
NECTIN4,CDKN1A,0.000200154048713599
NECTIN4,CTNND1,0.000391293227012065
NECTIN4,F11R,0.000569221518023104
NECTIN4,JUP,0.000252888566834023
NECTIN4,NECTIN4,0.218955835843651
DSG2,ACTB,0.00106530362196726
DSG2,DSG1,0.00046401221514516
DSG2,DSP,0.0013729513382348
DSG2,HSPB1,0.000479786431730798
DSG2,JUP,0.00216099070109674
DSG2,MYL6,0.000456636205205101
DSG2,PERP,0.000837332029353217
DSG2,PKP1,0.000797089014546561
SEMA6A,ACTB,0.000527069553987067
SEMA6A,CDKN1A,0.000232752594211478
SEMA6A,HSPB1,0.000267138059196955
SEMA6A,SEMA6A,0.213673576282296
CD24,ACTB,0.00046360857372481
CD24,CCND1,0.0003205519401227
CD24,CD24,0.211464653035129
CD24,CDKN1A,0.000293561538604897
APOE,ACTB,0.000442441212820642
APOE,APOE,0.211442396087179
F11R,F11R,0.213574908322099
LGALS3,ACTB,0.000403990544344776
LGALS3,DBI,0.000362888309419488
LGALS3,LGALS3,0.211450757237681
LGALS3,MYL6,0.000668402578697718
LGALS3,TMSB10,0.000385017779173106
PROS1,ACTB,0.000792758013081945
PROS1,HSPB1,0.000599249025638516
PROS1,MYL6,0.000400491999797078
PROS1,PROS1,0.211444058389724
MIF,ACTB,0.000398532695997886
MIF,MIF,0.21143959161543
MIF,TXN,0.000855170031145002
CDH5,ACTB,0.00141052953203747
CDH5,CTNND1,0.00413836274094306
CDH5,DSP,0.00288818781459013
CDH5,DYNLL1,0.000300439198119629
CDH5,JUP,0.00301200783540642
SOSTDC1,ACTB,0.000297249087670021
SOSTDC1,SOSTDC1,0.211441167429326
COL17A1,ACTB,0.00195569939293643
COL17A1,CDKN1A,0.000223325017668651
COL17A1,CTNND1,0.00599079590986891
COL17A1,DSP,0.00479769928855988
COL17A1,HSPB1,0.000261335814324834
COL17A1,SFN,0.00145333136460877
CDH1,ACTB,0.0007848466870781
CDH1,CCND1,0.000819176990672245
CDH1,CDKN1A,0.000295166632683113
CDH1,CTNND1,0.0010718066527387
CDH1,DSP,0.000311092365265019
CDH1,F11R,0.000367311748733403
CDH1,FMN1,0.000416907002162292
CDH1,JUP,0.000933489021468337
CDH1,SFN,0.000400825441911514
CDH3,ACTB,0.0015656399784683
CDH3,CDKN1A,0.000257056992205375
CDH3,CTNND1,0.00402701153435249
CDH3,JUP,0.00264705503097387
CLDN1,ACTB,0.000393619077809319
CLDN1,CDKN1A,0.000256585482030677
CLDN1,CLDN4,0.00473977190462992
CLDN1,EMP1,0.0022881400942629
CLDN1,F11R,0.00887741124837542
CLDN1,JUP,0.000281535890233914
CLDN1,LYPD3,0.00130970303380506
CLDN1,TXN,0.00182821793917909
CDH2,ACTB,0.000989025998734722
CDH2,ARHGEF4,0.000379341886334973
CDH2,CDKN1A,0.000510732094690108
CDH2,DSP,0.000629692818435348
CDH2,GJA1,0.00151625536316863
CDH2,GSN,0.00129781109331303
CDH2,JUP,0.00229191759100837
CRTAM,ACTB,0.000317422059163761
CRTAM,DSG1,0.000858361054941761
CRTAM,DSG3,0.000905176629291296
CRTAM,DSP,0.00050710238223684
CRTAM,HSPB1,0.000286867768135609
CRTAM,JUP,0.000646486682293618
CRTAM,NECTIN4,0.000853816894530701
CRTAM,PERP,0.00031252413769211
CRTAM,PKP1,0.000312418370174476
CRTAM,SFN,0.00285010195890924
MMP13,ACTB,0.000442815248739724
MMP13,CCND1,0.000290073103076353
MMP13,CDKN1A,0.000333455461006962
MMP13,DSG1,0.000307303200460071
MMP13,DSG3,0.000314811714658487
MMP13,DSP,0.000250675124161084
MMP13,JUP,0.000281932434312203
MMP13,KRT16,0.00301523299162407
MMP13,MAF,0.000308342094158848
PSEN1,ACTB,0.00068860020154038
PSEN1,CCND1,0.0004596353117489
PSEN1,CTNND1,0.000917125147872813
PSEN1,GSN,0.00045551773041005
PSEN1,NOTCH3,0.00161141937227874
PSEN1,S100A2,0.000456525200381298
PLXNA2,ACTB,0.000400754705757867
PLXNA2,MAF,0.000557286228330055
PLXNA2,SEMA6A,0.0055828539629399
MMP7,ACTB,0.000511268143860014
MMP7,CCND1,0.00141393017342863
MMP7,CDKN1A,0.000290657623691792
MMP7,CTNND1,0.00372888941355608
MMP7,GJA1,0.00114527268892238
MMP7,JUP,0.00358684430210353
CDH6,ACTB,0.00303502417973295
CDH6,CCND1,0.000234028960727468
CDH6,CDKN1A,0.00029330261249062
CDH6,CTNND1,0.000222805556582086
CDH6,DYNLL1,0.00149836711894085
CDH6,JUP,0.00629349198319362
SEMA4C,ACTB,0.000319581905233637
SEMA4C,CDKN1A,0.000267611679198554
SEMA4C,KRT16,0.00504460676298712
SEMA4C,KRT5,0.000303863176263515
SEMA4C,KRT6B,0.000248192140585094
SEMA4C,KRT6C,0.000321185338826569
