ligand,target,weight
ICOSLG,ABI2,0.0005983649485045
ICOSLG,CD247,0.000677989685919113
ICOSLG,CD28,0.012746834628835
ICOSLG,CTLA4,0.0113972887517107
ICOSLG,DAPP1,0.000558609431482727
ICOSLG,ICOS,0.0506846719489905
ICOSLG,LAT,0.000768595123641022
ICOSLG,PIK3R3,0.011917114092559
ICOSLG,SH3KBP1,0.000692652128921723
ICOSLG,STAT3,0.000593488407210852
ICOSLG,VAV3,0.000696263765981963
TNFSF4,CASK,0.000203561643961601
TNFSF4,CD247,0.000322662814769726
TNFSF4,CD27,0.00630254223987524
TNFSF4,CD28,0.00526025887364096
TNFSF4,GAPDH,0.000217761544810391
TNFSF4,LAT,0.000253434448671433
TNFSF4,SH3KBP1,0.000274915836347331
TNFSF4,STAT3,0.000455082502314219
TNFSF4,TNFRSF18,0.000401547298421456
TNFSF4,TNFRSF4,0.0296549127347194
TNFSF4,TNFRSF9,0.00521072091632509
TNFSF4,TRAF3,0.00166365420910471
TNFSF4,WNK1,0.000244993203038769
CD28,ABI2,0.000804134573045734
CD28,CD247,0.0020339589644076
CD28,CD28,0.212114506478626
CD28,DAPP1,0.000706734572943398
CD28,IL2RA,0.000553374480198965
CD28,LAT,0.001390316584882
CD28,NCOA2,0.00048879559669844
CD28,PIK3R3,0.0012162360873155
CD28,SH3KBP1,0.000891254504073533
CD28,STAT3,0.000879909115550567
CD28,VAV3,0.000952921719712509
IL21,BATF,0.00289295180023508
IL21,CD247,0.000234085115488466
IL21,CD28,0.000925728166410316
IL21,FOXO1,0.000241448178473599
IL21,FOXP3,0.00244038966699063
IL21,GAPDH,0.00022150375875601
IL21,IFNAR2,0.000415735396714788
IL21,IL2RA,0.00231870190402082
IL21,JAK1,0.00510783106506125
IL21,LAT,0.000381115235462602
IL21,PIK3R3,0.00028249483532013
IL21,PRDM1,0.0024357058218109
IL21,SH3KBP1,0.000249380362788505
IL21,STAT3,0.0116578587720186
IL21,VAV3,0.000227442809266792
IFNW1,IFNAR2,0.00877484156151729
IFNW1,IL2RA,0.00282152303866452
IFNW1,JAK1,0.00452867392932816
IFNW1,OPRM1,0.00026879493436987
IFNW1,STAT3,0.00213623422437384
IFNA1,CASP1,0.000549499197449839
IFNA1,EPSTI1,0.000495183738210794
IFNA1,GAPDH,0.000641645397493223
IFNA1,IFNAR2,0.00258376505662456
IFNA1,IL2RA,0.000667856227756707
IFNA1,JAK1,0.00317293934105629
IFNA1,SOD1,0.000602341534016233
IFNA1,STAT3,0.00194344432206343
BTLA,ABI2,0.000278794304567649
BTLA,CD247,0.00830653837369606
BTLA,CD28,0.00447540302175994
BTLA,CTLA4,0.00586043247948158
BTLA,DAPP1,0.000396862707505479
BTLA,ICOS,0.00243774666066043
BTLA,IL2RA,0.00437260355804163
BTLA,JAK1,0.000352598805772649
BTLA,LAT,0.000552970694778725
BTLA,PIK3R3,0.000233722794844328
BTLA,RASGRP1,0.000230989294872532
BTLA,SH3KBP1,0.000573245679877313
BTLA,STAT3,0.000551229301293841
BTLA,VAV3,0.000451486091638571
IL7,FOXP3,0.000781908077130613
IL7,IFNAR2,0.000870667443121198
IL7,IL2RA,0.000930797653678649
IL7,IL7,0.211448465020318
IL7,JAK1,0.0033692997023556
IL7,PIK3R3,0.000683877541307425
IL7,STAT3,0.00165359667079565
IL7,ZEB1,0.000532580630647816
CD86,ABI2,0.00104263936140538
CD86,CD247,0.00185817968167435
CD86,CD28,0.00364159715048858
CD86,CTLA4,0.00284789162126059
CD86,DAPP1,0.000918943136253582
CD86,IL2RA,0.000831400477976872
CD86,LAT,0.00140762580375881
CD86,PIK3R3,0.00109929862068248
CD86,SH3KBP1,0.00112398704497339
CD86,TRAC,0.0006152933710063
CD86,VAV3,0.00120384969953712
CD80,ABI2,0.000913619092011967
CD80,CD247,0.00162163480515755
CD80,CD28,0.00371047914714075
CD80,CTLA4,0.00257075864805427
CD80,DAPP1,0.000810664082989976
CD80,LAT,0.00123165124476593
CD80,PIK3R3,0.00096121317505188
CD80,SH3KBP1,0.000987529140643255
CD80,STAT3,0.000470398184959866
CD80,TRAC,0.000547391675273078
CD80,VAV3,0.00105002834281787
CD70,CD27,0.00739568197247332
CD70,CD28,0.00128312400269432
CD70,FOXP3,0.00151183897012734
CD70,GK,0.000520891263285575
CD70,TNFRSF4,0.00139456964330114
CD70,TNFRSF9,0.00131095595328986
CD70,TRAF3,0.000765725607001785
IFNL1,FOXP3,0.000286809392037503
IFNL1,IFNAR2,0.000762125974146591
IFNL1,IL2RA,0.000819031734295816
IFNL1,JAK1,0.0124890125197413
IFNL1,KAT2B,0.000231554327151086
IFNL1,PIK3R3,0.000327996728043753
IFNL1,PRDM1,0.00389656392175365
IFNL1,STAT3,0.0139181835836766
IFNL1,ZEB1,0.00356499520387028
IL2,CD28,0.000795495278180057
IL2,FOXP3,0.00115458785936454
IL2,IL2RA,0.00217719516010552
IL2,JAK1,0.00199775852945688
IL2,LAT,0.000866656766828805
IL2,PIK3R3,0.000691027763194493
IL2,SGMS1,0.00128509946916978
IL2,STAT3,0.00220207096178387
IL2,TNFRSF18,0.000417772199102223
IL2,TNFRSF4,0.00072721299219484
IL2,TNFRSF9,0.000432800957701154
IL10,CD27,0.00140636682404358
IL10,HPGD,0.000779484371690523
IL10,IFNAR2,0.000875966598696274
IL10,IL2RA,0.00140646738136818
IL10,JAK1,0.00349269785412111
IL10,STAT3,0.00455923008749917
IL10,TNFRSF18,0.000519869202636929
CD274,CD247,0.0026712450195281
CD274,CD28,0.000854292706424063
CD274,CTLA4,0.000972521292995275
CD274,ICOS,0.000739371048787354
CD274,LAT,0.0005004388875351
CD274,NF1,0.000529778145830184
CD274,STAT3,0.0008246236252998
CD274,THADA,0.000596409384875926
CD274,TRAC,0.000959891797241574
IL15,CTSC,0.000883625988191013
IL15,CXCR6,0.00100557012833089
IL15,IFNAR2,0.00117698324142241
IL15,IL2RA,0.00426856421719438
IL15,JAK1,0.00303429787087578
IL15,LAT,0.000357234100918504
IL15,SELL,0.000912512187885541
IL15,STAT3,0.00398623963670052
IL15,TRAF3,0.000960981279852316
IFNK,GAPDH,0.00021621967598888
IFNK,IFNAR2,0.0669764770234178
IFNK,IL2RA,0.00124170317605186
IFNK,JAK1,0.00692996709227636
IFNK,SOD1,0.000372737104581238
IFNK,STAT3,0.00420227456507126
IFNK,WNK1,0.000355655165577455
HLA-DQB1,CD247,0.00398203071091111
HLA-DQB1,CD28,0.000325867481566332
HLA-DQB1,CD74,0.00539052520694088
HLA-DQB1,FOXO1,0.000980253847014165
HLA-DQB1,GAPDH,0.000273708762027357
HLA-DQB1,IL2RA,0.000241269864304507
HLA-DQB1,LAT,0.00391365567506635
HLA-DQB1,SH3KBP1,0.000261016733547118
HLA-DQB1,SNX9,0.000271978052164242
