ligand,target,weight
CD59,CD59,0.211441849247087
CD59,CTNNB1,0.00032156352677068
CD59,CTSC,0.000586300268169896
CD59,KRT17,0.000677599195732793
CD59,TPM1,0.000411298519113681
DSC2,DSC2,0.211448813162164
DSC2,EHBP1,0.000774620064779567
DSC2,GJA1,0.00188881754614423
DSC2,KIF2A,0.000668584868948889
DSC2,ROR1,0.000787578082099738
EDIL3,ACTN1,0.000418120726445652
EDIL3,CTNNB1,0.000557973588233306
EDIL3,EDIL3,0.2114381282263
EDIL3,GULP1,0.00631924876108378
EDIL3,TPM1,0.000286322830584934
APOE,APOE,0.211442396087179
APOE,CLCA2,0.000604636192086522
APOE,COX4I1,0.000478254683670239
APOE,CTNNB1,0.000636814694121632
APOE,CTSB,0.000698048613369059
APOE,CYP1B1,0.00052285010154725
LRRC4B,ADGRL3,0.00113903651400249
LRRC4B,ATP5MC1,0.000875221121176613
LRRC4B,CASK,0.000265923764115214
LRRC4B,CTNNB1,0.000744738414054706
LRRC4B,HOMER1,0.000246435249759778
LRRC4B,NTRK2,0.000675303743410257
LRRC4B,PPFIBP2,0.000468606807424038
LRRC4B,PTPRF,0.0301616350361588
LRRC4B,SUCLG1,0.000583944254391671
ENTPD1,ACAA2,0.0013906163034818
ENTPD1,ACADVL,0.00120193924862925
ENTPD1,NDUFA10,0.00181252801713839
ENTPD1,NDUFB5,0.00181591909342531
ENTPD1,NDUFB8,0.00164261652559356
ENTPD1,SUCLG1,0.00125032607079668
GJB2,CTNNB1,0.000330568646482109
GJB2,GJA1,0.000766707981488504
GJB2,GJB2,0.214887434163504
GJB2,IMPA2,0.00081257313293559
LEFTY1,ACAA2,0.00113876289281018
LEFTY1,ACADVL,0.0010651228081976
LEFTY1,ALDH3B2,0.00117162165473643
LEFTY1,NDUFA10,0.00178761581754215
LEFTY1,NDUFB5,0.00179222861327136
LEFTY1,NDUFB8,0.00162483507748082
LEFTY1,SMAD1,0.00232018963071239
SOSTDC1,CASK,0.000245531159580179
SOSTDC1,CHI3L2,0.000251950132824677
SOSTDC1,CTNNB1,0.00116772325605568
SOSTDC1,MAP7,0.000246368769027603
SOSTDC1,SOSTDC1,0.211441167429326
PTN,ASPH,0.00103470436617365
PTN,ATP5F1C,0.0013430669776893
PTN,CTNNB1,0.00248645745593294
PTN,PTN,0.211437674562058
RARRES1,CSTB,0.000636237181585733
RARRES1,CTNNB1,0.000364697350808135
RARRES1,KRT6B,0.00063784783274359
RARRES1,RARRES1,0.211438119874207
RARRES1,SOX4,0.000678255888182959
S100A8,CTNNB1,0.00169894120833787
S100A8,KRT17,0.000513119793192581
S100A8,MAGI1,0.000520164759058404
S100A8,S100A8,0.211440079417934
EPHA4,CTNNB1,0.000684504907102738
EPHA4,EPHA4,0.213050202970448
EPHA4,FOXO1,0.000753208367996385
EPHA4,PTPRF,0.000902699497785918
EPHA4,SUCLG1,0.000719176373434675
IL34,CFLAR,0.00043261706956839
IL34,CTNNB1,0.000905124378143696
IL34,IL34,0.211440234411144
IL34,SUCLG1,0.000536821739209794
IGFL2,CTNNB1,0.000182841690570975
IGFL2,FOXO1,0.000164002050223901
IGFL2,IGFL2,0.339479570527904
S100A9,CTNNB1,0.00048020493297661
S100A9,KRT17,0.000535715096580549
S100A9,MAGI1,0.000551906548719237
S100A9,S100A9,0.21143972051707
MIF,CFLAR,0.00106943430112641
MIF,CTNNB1,0.000477613985065567
MIF,ENO1,0.000407961116433523
MIF,MIF,0.21143959161543
MIF,S100A7,0.000397900578298714
DEFB1,ASPH,0.000666589504860804
DEFB1,CLIC3,0.00136288551435457
