ligand,target,weight
CCL22,CCR4,0.00888000698645232
CCL22,CCR6,0.00607720772586225
CCL22,CD4,0.000352898059782486
CCL22,DPP4,0.0066645728706722
CCL22,GNAQ,0.00251058318060776
CD40LG,CAPZB,0.000532187162860837
CD40LG,CD4,0.00125990276398206
CD40LG,CD40LG,0.212512406723256
CD40LG,IL7R,0.000641146799480344
CD40LG,PIK3CB,0.000726776401054529
HLA-DRB3,CD4,0.00409111146540928
HLA-DRB3,GRAP2,0.00223459215839347
HLA-DRB3,ITK,0.000426913546460074
HLA-DRB3,RAPGEF6,0.000460729517633939
LTB,CD4,0.000262286510294131
LTB,CD40LG,0.000220378245291408
LTB,LTB,0.211472338058516
LTB,PIK3CB,0.000216669984816419
TNFSF8,NDUFV2,0.000658346723546571
TNFSF8,TNFSF8,0.211438077967078
ADAM12,ADAM12,0.212550428872798
ADAM12,CAPZB,0.000787030513486962
CD28,CD4,0.00166111104280781
CD28,CD40LG,0.000787892280900549
CD28,GRAP2,0.00231391314429411
CD28,ITK,0.00310736774446376
CD28,PIK3CB,0.00135115914689364
CD28,SOS1,0.00105639211818015
CCL3L3,CCR4,0.00247135606092475
CCL3L3,CCR6,0.00248575105337072
CCL3L3,CD40LG,0.0012132206513254
CCL3L3,DPP4,0.0012356403968451
CCL3L3,GNAQ,0.00143894683797152
CCL11,CCR4,0.00488655973900005
CCL11,CCR6,0.00363698586137835
CCL11,CD4,0.000322066603442015
CCL11,DPP4,0.00406673775711782
CCL11,GNAQ,0.00203719295076877
CCL11,NR3C1,0.0005130917459708
CCL11,PPARG,0.000549873004415772
IL2,CD4,0.00088553783803694
IL2,CD40LG,0.000741303821600001
IL2,DPP4,0.000740661122276088
IL2,GRAP2,0.000567270415675278
IL2,IL4I1,0.000407644773784534
IL2,IL7R,0.000617055552165797
IL2,ITK,0.00085610033214743
IL2,PIK3CB,0.00121543523112485
IL2,PTPN13,0.000468794213575093
IL2,RPS6KA3,0.000434709818591718
IL2,SOS1,0.00141138912378618
CCL20,CCR4,0.0035120712808136
CCL20,CCR6,0.00469542975164765
CCL20,GNAQ,0.00146966909346057
CCL20,IL7R,0.000421566330845349
CCL20,RBMS1,0.000352524284674882
IL21,BATF,0.00289295180023508
IL21,CD4,0.00379887045793855
IL21,CD40LG,0.000386444244596865
IL21,GRAP2,0.000338083012565123
IL21,IL7R,0.00208466825992138
IL21,ITK,0.00033029424285424
IL21,NR3C1,0.000261657338125581
IL21,PIK3CB,0.00287227966842028
IL21,SOS1,0.00290321803802116
CCL17,CCR4,0.0134363241018534
CCL17,CCR6,0.00543407346073119
CCL17,CD4,0.00353699682138821
CCL17,GNAQ,0.000913068754313649
CCL3L1,CCR4,0.00510802935805729
CCL3L1,CCR6,0.00511668786637492
CCL3L1,CD4,0.00205490162888155
CCL3L1,CD40LG,0.00245734111762484
CCL3L1,GNAQ,0.00287492995805852
CCL3L1,PIK3CB,0.000281608258003687
CCL3,CCR4,0.00671392951323772
CCL3,CCR6,0.00346215139295802
CCL3,CD4,0.00150351898808035
CCL3,CD40LG,0.00167920604652202
CCL3,DPP4,0.00118002710380723
CCL3,GNAQ,0.00203653193150468
NTF4,GRAP2,0.00125926353930186
NTF4,ITK,0.00153140582516125
NTF4,NR3C1,0.000616099341764171
NTF4,NTRK2,0.00462277135673488
NTF4,SOS1,0.00210105892358949
NTF3,CD4,0.000630622071699841
NTF3,GRAP2,0.00111102735772853
NTF3,ITK,0.00135099255398597
NTF3,NTRK2,0.00432541916113905
NTF3,SOS1,0.002386538770452
CD86,CD4,0.00177378341816828
CD86,CD40LG,0.00057842304092375
CD86,GRAP2,0.00195928558561737
CD86,ITK,0.00249491570353876
CD86,PIK3CB,0.0012285696129461
CD86,SOS1,0.00128857055456934
IL15,AHR,0.000757953787785446
IL15,CD4,0.000980573608105596
IL15,CD40LG,0.000458721044693283
IL15,DPP4,0.000922137426221122
IL15,GNAQ,0.000385970454424314
IL15,IL7R,0.00257274452271874
IL15,PIK3CB,0.00150307924518633
IL15,RPS6KA3,0.00102486246743739
IL15,SOS1,0.00222051888902858
CCL1,AHR,0.00327536012529537
CCL1,CCR4,0.00368894786346511
CCL1,CCR6,0.00370343544963435
CCL1,CD4,0.000342327690439095
CCL1,CD40LG,0.0022826436770044
CCL1,GNAQ,0.000880405549731564
CCL1,PIK3CB,0.000303806391266551
CCL1,PPARG,0.00221191618989005
CCL1,SOS1,0.000317429146718731
HLA-DPB1,CD4,0.00566908552564633
HLA-DPB1,GRAP2,0.00307084067542727
HLA-DPB1,ITK,0.000571590184088748
HLA-DPB1,NR3C1,0.000261983492181209
HLA-DPB1,PPARG,0.00116659830629069
HLA-DPB1,SOS1,0.000345932818136158
HLA-DPB1,TNFRSF25,0.00111228909875444
CXCL12,CCR4,0.00202575186374772
CXCL12,CCR6,0.00141913851168304
CXCL12,CD4,0.00151024207212931
CXCL12,DPP4,0.00117618285872872
CXCL12,GNAQ,0.00119846948256132
CXCL12,ITK,0.000581785686179556
CXCL12,PIK3CB,0.0011967586431936
TNFSF4,CD4,0.000368488882752153
TNFSF4,CD40LG,0.00520707939814887
TNFSF4,GRAP2,0.000248825260851003
TNFSF4,IL7R,0.000213630503200523
TNFSF4,ITK,0.000291371534737056
TNFSF4,MAF,0.0061356825705916
TNFSF4,PIK3CB,0.000311464544807102
TNFSF4,RORA,0.000386046753646334
TNFSF4,SOS1,0.000268961972335547
TSLP,CD4,0.000281897250771808
TSLP,CD40LG,0.00621637125296281
TSLP,IL7R,0.0211781883965014
TSLP,ITK,0.000217013842993675
TSLP,NR3C1,0.000398294313886551
TSLP,PIK3CB,0.000479357865131916
TSLP,PPARG,0.000232408267193223
TSLP,SOS1,0.000478434921889645
CCL18,CCR4,0.00446545078297213
CCL18,CCR6,0.00446145750627909
CCL18,CD4,0.000329530996078219
CCL18,CD40LG,0.00215389295243008
CCL18,DPP4,0.00156034134584707
CCL18,GNAQ,0.00251648505537885
CCL18,PIK3CB,0.000258571164113652
CCL15,CCR4,0.00702890287664678
