Mod	NE1	NE12	NE13	NE14	NE15	NE16	NE17	NE19	NE2	NE25	NE3	NE4	NE42	NE5	NE6	NE7	NE9	NF12	NF18	NF2	NF35	NF39	NF4	NF46	NF50	NF52	NF53	NF54	NF6	NF61	NF65	NP1	NP13	NP15	NP16	NP2	NP6	NP7	NP8	NP9	NT1	NT10	NT11	NT13	NT16	NT17	NT18	NT2	NT21	NT22	NT23	NT24	NT25	NT27	NT5	NT6	NT8	PS1	PS10	PS11	PS12	PS13	PS2	PS3	PS4	PS5	PS6	PS7	PS8	PS9
Female_FB_FB_M1	7.49296	7.15697	7.93974	7.40599	7.49361	7.29074	6.2063	7.41535	6.9842	7.03316	7.57767	7.4212	7.89285	6.75737	6.99026	7.23285	7.36462	8.25404	8.49097	8.26455	8.19202	8.37816	8.16948	8.71708	8.34815	8.09914	8.66341	7.93997	8.59093	8.6707	8.40174	6.64227	5.94484	6.16984	6.52076	6.11245	6.70487	6.42163	6.46243	6.27036	7.8091	7.58646	7.52366	6.9166	6.9563	7.17144	7.71855	6.52786	7.48558	7.31446	7.4502	6.78871	7.94948	6.91821	7.49355	7.15147	8.38168	7.06391	6.66353	6.94138	8.31522	7.08721	6.54738	6.31265	6.59218	6.54444	6.34343	6.50801	6.42293	6.75847
Female_FB_FB_M2	9.39545	8.90073	8.11633	9.29967	7.74793	8.82809	8.41657	9.14313	9.395	9.29955	8.86518	8.34704	8.41817	8.4715	8.87522	8.68523	8.95876	7.81708	6.78461	8.00013	6.68024	7.43783	7.68885	6.79759	7.78373	7.45546	7.0633	7.30794	7.26558	7.52815	8.12147	9.26403	8.44692	6.92274	8.43328	8.77134	8.19844	8.60327	8.53879	8.48498	7.54138	8.93164	9.14791	9.65246	7.76485	8.65231	8.74463	8.71081	8.84233	9.287	8.60115	7.83819	8.78655	8.20579	8.91575	8.8254	8.39162	7.43071	8.77165	8.64743	7.63343	7.80308	8.93115	7.62899	8.72442	7.52581	7.81774	7.28668	7.2353	8.28383
Female_FB_FB_M3	6.18218	5.90033	6.35034	6.3592	6.15682	6.15607	6.36038	6.43117	6.40174	6.10912	6.59439	6.48421	7.14662	6.26582	6.54184	6.75289	6.07334	7.18642	8.47142	7.34208	7.70018	7.9097	7.58984	8.41134	7.51687	7.9634	8.13078	7.70286	7.40786	7.73012	7.3261	6.32836	6.16088	6.40981	6.22836	6.54677	5.93404	6.56994	5.93337	6.62143	6.55667	6.59619	6.27717	6.12883	5.90677	5.8204	6.73296	6.12398	6.20011	6.22383	7.36415	5.67957	6.50521	6.47745	6.24276	6.04315	7.71542	6.55857	6.08851	6.36334	7.02672	6.22078	6.39102	6.17832	6.04303	6.28148	6.21934	6.4089	6.23701	6.56361
Female_FB_FB_M4	6.90423	6.96734	6.74611	6.92771	6.79899	6.79761	7.95139	7.19207	7.19106	6.96437	7.05106	7.13206	6.96787	7.68375	7.38218	7.35693	6.84839	6.47502	6.28969	6.27396	6.29104	6.30211	6.78696	6.07862	6.14699	6.50839	6.28591	6.22569	6.38939	6.1363	6.12706	7.83279	8.20799	8.03273	7.46983	8.17961	7.2183	7.99701	7.20432	7.94669	6.76337	7.08285	6.82544	6.80058	5.98861	6.80353	6.78919	7.51759	7.1343	6.96226	6.58025	6.26966	6.7872	7.31364	6.75889	6.78378	6.14073	7.42214	7.06405	7.31418	6.983	7.14857	7.88644	7.54758	7.36038	7.32017	7.39349	7.5029	7.495	7.82146
Female_FB_FB_M5	5.86672	6.07772	6.00075	6.82933	6.45627	6.27184	5.82918	6.78927	6.30365	6.03556	6.70111	6.73016	7.14512	6.0892	6.48706	7.26571	5.78292	7.09416	8.09266	7.54373	7.76019	7.49105	8.03802	7.96868	7.29871	7.68886	7.83751	8.18866	7.15671	7.63331	7.10292	6.06795	5.75833	5.98605	5.77991	5.8855	5.77862	6.01752	5.75879	5.85011	6.82734	6.50875	6.33025	6.19437	5.73732	5.48975	6.6437	5.91566	6.24073	6.18312	6.37348	5.1942	6.7624	6.26628	6.38892	6.03094	6.00247	5.86535	5.72741	5.72291	6.47757	5.75508	5.85063	5.63	5.71533	5.72991	5.63338	5.65572	5.69433	6.19479
Female_FB_FB_M6	8.00793	7.77683	7.68535	7.45763	7.79553	7.7672	6.43669	7.56034	7.66881	7.69591	7.55163	7.24705	7.25354	7.09099	7.38433	7.24263	7.8001	6.3063	6.38821	6.53267	6.27619	6.18433	6.91636	6.39367	6.03545	6.16352	6.16991	6.13554	6.77435	6.24877	6.21029	7.30183	6.45703	6.57868	7.17752	6.57468	7.5382	6.58513	7.17355	6.68204	7.43515	7.5256	7.66187	7.28157	7.59435	7.70778	7.5042	7.11562	7.4199	7.22507	7.50276	8.10507	7.1665	6.55919	7.51909	7.96182	7.48251	7.06127	6.98922	7.26108	7.30332	7.26329	6.9192	6.66523	6.89999	6.97876	6.7791	6.97035	6.81005	6.9577
Female_FB_FB_M7	7.06591	7.08467	7.15017	7.03589	6.82838	7.30701	5.80847	7.44219	6.89187	7.28756	7.3456	6.73214	7.5394	6.73875	7.27537	7.03612	7.18421	8.65659	8.28381	8.33577	8.14309	8.23407	8.62514	7.96152	8.44308	8.36478	8.09562	7.62329	7.92989	8.5182	8.48631	6.38543	5.80235	5.80017	6.03708	5.87258	6.2086	6.20599	6.08293	5.64995	7.42069	7.07927	7.37593	7.30306	7.34647	7.40192	7.54192	5.89301	7.36026	7.17746	7.02759	6.78053	7.30363	7.05169	7.74966	7.20394	7.38066	6.7411	7.09236	7.19753	7.38243	7.48448	6.75	6.27717	6.79406	7.09357	6.51947	6.50573	6.82005	6.866
Female_HFC_HFC_M1	5.3163	5.24937	4.81824	4.36861	4.49661	4.86344	2.70131	4.69513	4.55527	3.82675	4.57677	4.12678	5.03178	4.06076	5.16624	4.5734	5.22184	5.22784	5.82441	5.48125	5.42559	5.16468	5.33865	5.80188	5.33016	5.19035	5.29676	5.57356	5.64301	5.78781	5.35028	0	0	3.67963	0	3.98824	0	0	0	0	4.96666	4.96702	4.20887	3.22959	5.21326	2.57822	6.04956	0	5.03965	4.43461	4.88578	0	4.65825	4.49768	4.75255	5.18105	5.61507	3.51329	0	0	5.73485	0	2.34684	0	2.47271	0	0	0	0	0
Female_HFC_HFC_M2	5.59368	5.57998	5.2293	5.35482	5.2928	5.86044	3.18801	5.61978	5.15962	4.23074	5.69583	4.77922	5.48181	4.34942	5.01792	5.06791	5.67371	4.87349	4.77996	4.88809	4.77991	4.43481	4.93674	4.72335	4.77887	4.64749	4.71059	4.88516	4.95863	4.99132	4.71969	0	0	3.86175	0	4.71546	0	0	0	0	5.33223	5.60986	5.08642	3.6383	4.15675	3.22392	5.63082	0	5.456	5.00397	5.52541	0	5.29158	5.31819	5.37417	5.23814	5.08781	3.58598	0	0	5.28702	0	3.89702	0	2.71982	0	0	0	0	0
Female_HFC_HFC_M3	5.25365	5.23656	5.0233	4.89337	4.9121	4.94784	3.8058	5.15791	5.30632	3.64075	4.89721	4.90502	4.88428	4.94651	4.50014	4.84529	5.87975	5.24125	5.68384	5.3909	5.02298	5.21134	5.35999	5.2217	5.29158	5.25493	5.25583	5.63577	5.47826	5.6126	5.14917	0	0	4.7112	0	4.16526	0	0	0	0	4.77919	4.93297	4.90621	4.21014	4.48837	3.24379	6.14575	0	4.82408	4.95547	4.81822	0	5.28965	4.54109	4.77525	4.82869	5.26601	3.301	0	0	5.60938	0	2.65241	0	2.85288	0	0	0	0	0
Female_HFC_HFC_M4	4.95647	5.05068	5.58238	5.58255	5.75863	5.15708	4.18872	5.71652	6.10855	3.33076	5.64215	5.78925	5.20154	5.39552	4.60647	5.50131	5.02299	5.35815	5.15479	5.36362	4.88543	5.31802	5.07452	4.74207	5.47619	5.36918	5.32531	5.27683	5.32362	5.34928	5.19894	0	0	4.41011	0	4.50985	0	0	0	0	4.90005	5.47115	6.08895	5.59618	4.01887	4.00851	5.61184	0	4.77207	5.59582	5.28708	0	5.4152	4.62807	5.07041	4.21628	5.29113	5.01082	0	0	5.34273	0	3.28065	0	2.54403	0	0	0	0	0
Female_KC_Channel_KC_Channel_M1	6.75124	7.22662	7.30591	6.69268	6.63944	7.37883	5.27028	6.48592	6.2029	7.16291	7.17902	6.18786	7.15243	6.44584	7.20999	6.54353	7.04319	8.016	7.11819	8.51468	7.02229	7.93018	6.94433	9.05739	8.83478	7.86759	8.79831	6.72755	7.19272	8.17153	8.95367	5.56473	5.34725	5.11879	6.11852	5.84783	6.42859	6.41661	5.79567	5.378	6.91924	7.2237	6.62597	6.05202	8.16747	7.63509	6.71307	4.93392	7.23535	7.58815	7.33839	7.48933	6.3656	6.21844	6.86076	6.84807	6.58225	9.20826	5.75632	7.84448	7.58114	7.03671	0	0	4.68212	5.90704	0	0	0	0
Female_KC_Channel_KC_Channel_M2	7.67668	7.54232	7.46381	7.45543	7.49699	7.37858	8.00524	7.05188	7.37388	7.03051	7.51332	7.12384	7.38792	7.10701	7.33348	7.15406	7.66918	6.23978	6.95783	6.44218	6.95475	6.32454	6.65084	6.57955	6.6644	6.07985	6.96701	6.89997	6.50955	6.63513	6.67955	8.37816	7.53234	7.64096	8.56821	8.1913	8.1169	8.3724	8.39459	8.60365	7.23256	7.20504	7.15322	6.5827	7.40398	7.61165	6.91816	8.46903	7.19224	7.4592	7.38584	7.45373	7.47689	6.65765	7.34993	7.30461	7.63699	7.66934	7.421	7.63498	7.95269	7.46995	0	0	5.11689	7.7976	0	0	0	0
Female_KC_KC_M1	6.98774	6.8499	6.80098	7.9251	7.58161	7.82946	6.4911	7.52467	6.96921	6.94852	7.13993	6.66738	8.29158	7.23238	6.88014	7.54906	7.15826	8.9818	9.31528	9.28807	9.07675	8.96334	8.56628	8.91855	9.04836	9.01061	8.74171	8.25872	8.66246	9.00532	9.01831	6.49952	6.34175	6.3664	6.71153	6.78807	6.54818	6.79388	6.46592	6.65736	8.22296	7.85983	7.4387	7.01721	7.56382	7.47014	7.59565	6.42134	7.39003	7.60624	7.58338	6.94654	8.24971	6.78388	7.79018	8.03522	7.2661	7.16864	7.22672	7.67902	8.34298	7.21739	7.49976	7.16335	7.50719	7.05826	7.10231	6.98458	7.31041	7.67605
Female_KC_KC_M2	10.0836	10.296	9.81473	9.62988	10.2959	9.82912	9.73032	10.2995	9.0855	10.4587	10.4101	9.7146	9.46819	9.30773	9.59289	10.3078	10.2391	8.07744	8.47109	8.31507	8.67987	8.22354	9.17625	8.47491	8.29598	8.63382	8.87953	8.90388	8.93411	8.46559	8.47827	10.2047	9.86834	9.98289	9.67511	9.8855	10.2679	9.70612	9.54681	10.1817	9.15485	9.76418	9.95242	9.06216	9.7134	10.0276	9.93984	9.82139	9.74647	9.63498	9.7511	9.70227	9.55999	9.31157	10.0434	10.1881	10.0172	9.02698	9.1031	9.42381	9.01847	9.25911	8.65052	9.30705	9.27909	9.04183	9.30235	9.15137	9.25901	9.36972
Female_KC_KC_M3	8.30678	7.76378	7.84084	8.13708	7.82899	7.8578	10.3012	7.92151	7.51724	7.9136	8.07723	7.93696	7.6083	8.16298	7.99215	8.33769	7.77325	6.97521	7.11842	7.29682	7.2865	7.01017	7.41825	7.14051	7.12901	7.34172	7.37962	7.31837	7.25568	7.07779	7.27775	10.1031	10.2034	10.5689	10.6124	10.6285	9.79363	10.4566	10.3715	10.6603	7.35611	7.68328	7.55568	7.18246	7.75187	7.61124	7.77594	10.3608	7.55066	7.5992	7.55189	7.5553	7.50037	7.37806	7.68925	8.10406	7.5709	7.85643	7.78023	8.0656	7.82845	7.84804	8.14035	8.03763	7.60983	7.71622	8.13475	8.12081	8.03507	8.30754
Female_KC_KC_M4	8.8567	9.4667	9.46441	9.4796	9.5625	9.66202	7.33804	9.57615	9.83326	9.28513	9.41204	9.15837	10.2412	9.51067	9.37555	9.60646	9.39055	10.9191	10.8376	11.1111	10.2745	10.8457	10.1822	11.1714	10.8581	10.5427	10.6704	10.4062	10.362	10.7912	10.4732	7.50908	7.28512	6.95401	7.80381	7.36202	8.31614	7.86125	7.46315	7.19582	10.1856	9.91744	9.50991	9.24221	9.59288	9.86693	10.2015	7.23862	9.74863	9.59765	9.97004	9.32745	9.85935	9.55902	9.84178	9.61282	9.72486	10.6279	9.39914	9.97289	10.0381	10.084	10.657	9.90479	8.0688	9.87069	9.36024	9.69019	9.73203	9.66732
Female_KC_KC_M5	9.40597	9.08082	8.91262	8.29792	9.07666	8.72304	9.12635	8.7638	8.75898	9.21242	8.97881	9.05642	8.39906	8.67437	9.35692	8.15543	8.89709	6.63273	6.98995	6.99309	6.78703	6.70102	7.10371	6.92713	6.82295	6.75852	7.32925	7.86264	7.69308	6.81333	6.72665	9.52456	9.18118	9.42237	9.27381	9.20946	9.23827	9.50456	8.80532	9.31265	7.81551	8.5593	8.29434	7.91623	8.71737	9.08783	8.89148	9.24546	8.51839	8.39984	8.43482	9.69141	8.12865	7.77811	8.5353	8.99016	8.81567	8.61731	8.32751	8.93944	8.82071	8.72412	8.15828	8.63461	7.91058	8.90198	8.4784	8.97807	9.15113	8.1918
