	Female_FB_FB_M1	Female_FB_FB_M2	Female_FB_FB_M3	Female_FB_FB_M4	Female_FB_FB_M5	Female_FB_FB_M6	Female_FB_FB_M7	Female_HFC_HFC_M1	Female_HFC_HFC_M2	Female_HFC_HFC_M3	Female_HFC_HFC_M4	Female_KC_Channel_KC_Channel_M1	Female_KC_Channel_KC_Channel_M2	Female_KC_KC_M1	Female_KC_KC_M2	Female_KC_KC_M3	Female_KC_KC_M4	Female_KC_KC_M5	Female_KC_KC_M6	Female_LC_LC_M1	Female_LC_LC_M2	Female_LC_LC_M3	Female_LC_LC_M4	Female_MEL_MEL_M1	Female_Mac-DC_Mac-DC_M1	Female_Mac-DC_Mac-DC_M2	Female_Mast_Mast_M1	Female_Mast_Mast_M2	Female_Mast_Mast_M3	Female_Mast_Mast_M4	Female_Mast_Mast_M5	Female_Mast_Mast_M6	Female_Pc-vSMC_Pc-vSMC_M1	Female_Pc-vSMC_Pc-vSMC_M2	Female_SGC_SGC_M1	Female_SGC_SGC_M2	Female_Schwann_Schwann_M1	Male_FB_FB_M1	Male_FB_FB_M2	Male_FB_FB_M3	Male_FB_FB_M4	Male_FB_FB_M5	Male_FB_FB_M6	Male_FB_FB_M7	Male_FB_FB_M8	Male_KC_KC_M1	Male_KC_KC_M2	Male_KC_KC_M3	Male_KC_KC_M4	Male_KC_KC_M5	Male_MEL_MEL_M1	Male_MEL_MEL_M2	Male_Mac-DC_Mac-DC_M1	Male_Pc-vSMC_Pc-vSMC_M1	Male_Schwann_Schwann_M1	Male_Schwann_Schwann_M2	Male_Schwann_Schwann_M3	Male_Schwann_Schwann_M4	Male_Schwann_Schwann_M5	FB	HFC	KC	KC_Channel	LC	LEC	Lymphocyte	Mac-DC	Mast	MEC	MEL	Pc-vSMC	Schwann	Sebocyte	SGC	VEC	arteriole.ECs	Basal.Ker.ADGRL3	Basal.Ker.COL17A1	capillary.ECs	cDC1	cDC2	Channel-ATPase_1	Channel-ATPase_2	Channel-ATPase_3	Channel-gap_1	Channel-gap_2	Clear.cell.CA2	Clear.cell.WFDC2	cytotoxic T cells	Dark.cell.MUCL1	EMT.ECs	Granular.Ker	helper T cells	HF-MFCs	HF-MSCs	HF-PCs	Hillock-Club.Epi	ILC3	IRS	KC.Mel	LC1	LC2	LEC1	LEC2	M1	M2	Mel_1	Mel_2	Memory B cells	Merkel	Mesenchymal.Fb	Mesenchymal.Fb.COCH	Mesenchymal.Fb.FGFBP2	Mesenchymal.Fb.INHBA	MigDC	MigLC	Monocytes	NKT cells	ORS	Papillary.Fb	Pc1	Pc2	Pc3	Plasma cells	post-capillary-venule.ECs	Pro-inflammatory.Fb	Progenitor.Mel	Proliferating.Ker	Regulatory T cells	SCs_1	SCs_2	Spinous.Ker	Spinous.Ker.ADGRL3	Sweat_gland_duct_cell	Transitional.Ker	venule.ECs	vSMC1	vSMC2
Female_FB_FB_M1	1.000000	-0.335844	0.761530	-0.838475	0.806597	-0.195675	0.879622	0.751644	0.360915	0.650109	0.451100	0.696851	-0.557938	0.838364	-0.461308	-0.699777	0.746288	-0.712930	0.099856	0.059908	0.548660	0.540448	0.540806	0.746958	-0.108881	0.080220	-0.055727	0.340918	-0.006113	-0.104007	-0.342521	0.251626	-0.769610	0.741804	0.569083	-0.315061	0.165406	-0.514352	-0.291709	0.100829	0.424482	0.112908	0.335768	0.772966	0.423776	0.043326	-0.181185	0.249308	0.575959	0.276547	-0.277501	0.453194	-0.477703	-0.599469	-0.112467	0.178634	0.049285	0.143644	0.246404	-0.169221	0.755332	0.115041	-0.435156	0.640423	-0.303071	0.497570	-0.174843	-0.209487	-0.107685	0.488738	-0.246739	-0.159883	0.200385	-0.421967	-0.369318	-0.087927	0.770125	-0.183840	-0.082417	0.157618	-0.000014	-0.316904	-0.316424	-0.408438	-0.349102	-0.470621	-0.341458	-0.331849	-0.041897	-0.394363	-0.056791	-0.073654	0.604172	0.704197	0.524531	0.613194	-0.153976	0.003653	-0.060005	-0.036612	0.493400	0.624615	-0.222066	-0.328847	0.256532	-0.350559	0.585006	0.434434	-0.131262	-0.236221	-0.245566	0.723132	-0.415425	0.664261	0.342866	0.559976	-0.131357	-0.042500	0.589861	-0.065189	-0.001128	0.028325	0.118235	-0.087828	-0.424657	-0.233158	0.250283	0.035338	0.573382	-0.190167	-0.131136	-0.106435	0.686409	-0.332597	0.063425	-0.386660	-0.409062	-0.376638
Female_FB_FB_M2	-0.335844	1.000000	-0.571908	0.312511	-0.414272	0.593541	-0.297349	-0.381075	0.178310	-0.255465	-0.009852	-0.369811	0.265860	-0.458696	0.576192	0.204518	-0.360333	0.447572	0.601417	-0.165804	0.098447	-0.146234	0.209288	-0.304218	0.132903	0.285828	0.548419	0.077395	0.309274	0.224782	0.033167	-0.191530	0.157316	0.045405	-0.482313	0.257211	0.270178	-0.101665	-0.126988	0.742299	0.360965	0.296253	0.474063	0.039876	0.339258	-0.238251	-0.312045	0.414150	-0.434281	0.334125	-0.180576	0.241724	-0.065927	-0.087298	0.415399	0.499317	-0.046003	-0.161941	0.018011	0.363926	-0.622059	-0.271159	-0.018598	-0.290486	0.051210	-0.307384	0.237529	0.313369	-0.212913	-0.335072	0.268139	0.198370	-0.047931	-0.031543	0.139708	0.004991	-0.468855	0.043483	0.142335	0.122879	0.378472	-0.139357	0.069782	-0.160639	-0.081177	0.150715	-0.017782	0.095739	-0.091732	-0.076298	0.252620	-0.124286	-0.342701	-0.601252	-0.588517	-0.621086	-0.077138	0.320566	0.182636	-0.180081	-0.349000	-0.424377	0.128557	-0.100706	-0.181503	0.121656	-0.453619	-0.230939	-0.345140	0.281454	0.131115	-0.317648	0.136379	-0.414637	-0.241082	-0.224381	0.112182	-0.094705	-0.399889	0.471023	0.542148	0.305763	-0.037729	-0.205127	0.191854	0.356672	-0.003241	-0.365836	-0.323471	0.227826	0.110892	-0.103182	-0.466173	-0.032467	-0.079701	-0.080878	0.090654	-0.036872
Female_FB_FB_M3	0.761530	-0.571908	1.000000	-0.538005	0.861113	-0.645776	0.654334	0.572339	0.064877	0.463713	0.254905	0.476579	-0.452686	0.764822	-0.634032	-0.392712	0.554488	-0.755747	-0.312526	0.200900	0.142328	0.213444	0.175236	0.676176	-0.093644	0.082686	-0.268401	0.083679	-0.206089	-0.247385	-0.342251	0.088025	-0.488764	0.376424	0.637185	-0.456839	-0.081096	-0.205398	-0.203179	-0.208339	-0.003866	0.133025	0.036046	0.443021	-0.053985	0.101741	0.002283	0.013056	0.584705	-0.032722	-0.174467	0.207844	-0.307947	-0.304449	-0.220510	-0.031636	-0.052794	0.163089	0.135938	-0.189502	0.829828	0.061430	-0.093742	0.544987	-0.169106	0.478643	-0.243457	-0.283188	0.203578	0.472946	-0.270390	-0.164221	0.095776	-0.087437	-0.195115	0.032509	0.761722	-0.218476	-0.146950	0.063763	-0.255298	-0.001391	-0.126873	-0.033009	-0.027048	-0.282392	-0.006370	-0.059287	0.024126	-0.099689	0.003052	-0.065932	0.564397	0.794584	0.661459	0.687778	-0.134423	-0.156139	-0.042479	-0.016216	0.430981	0.654435	-0.069469	-0.276234	0.281179	-0.276186	0.664096	0.379902	0.055449	-0.280888	-0.232500	0.505527	-0.049273	0.714800	0.392198	0.455675	-0.156799	0.064677	0.618407	-0.403751	-0.351341	-0.132217	-0.013782	0.120898	-0.213057	-0.141295	0.051846	0.119921	0.503881	-0.167895	-0.151138	-0.200575	0.691227	-0.071481	-0.035883	-0.157900	-0.162166	-0.175809
Female_FB_FB_M4	-0.838475	0.312511	-0.538005	1.000000	-0.585711	0.039947	-0.818907	-0.675990	-0.230827	-0.529102	-0.288739	-0.690486	0.545308	-0.723998	0.398907	0.743116	-0.700307	0.613653	-0.098908	-0.020123	-0.574296	-0.609230	-0.498522	-0.529668	0.154977	0.073231	0.117197	-0.437537	0.068154	0.175258	0.228698	-0.209549	0.877030	-0.800519	-0.555391	0.357992	-0.253012	0.613200	0.306684	-0.131190	-0.507205	0.018278	-0.168909	-0.681236	-0.438089	0.039469	0.205768	-0.225565	-0.435730	-0.303852	0.237026	-0.441552	0.494803	0.730304	0.117057	-0.143431	-0.154052	-0.057112	-0.069591	0.215437	-0.639839	-0.221852	0.602899	-0.692692	0.249387	-0.399723	0.106947	0.158071	0.247346	-0.496370	0.328444	0.197662	-0.077174	0.591531	0.363939	0.025135	-0.661851	0.057278	-0.003719	-0.174641	-0.095979	0.462543	0.437997	0.499955	0.459141	0.496629	0.492974	0.510192	0.117767	0.539613	0.188128	0.102709	-0.518087	-0.618845	-0.559725	-0.580905	0.087864	-0.040997	0.036189	0.096541	-0.599944	-0.464416	0.226733	0.195338	-0.131821	0.289586	-0.539198	-0.488278	0.206510	0.230021	0.166335	-0.460904	0.546712	-0.549181	-0.192301	-0.651130	0.045327	0.137478	-0.587696	-0.052993	-0.010527	0.002057	-0.173510	0.212040	0.451189	0.371331	-0.144401	-0.046168	-0.509445	0.198609	0.212401	-0.044868	-0.630473	0.451083	-0.250658	0.426277	0.574622	0.464469
Female_FB_FB_M5	0.806597	-0.414272	0.861113	-0.585711	1.000000	-0.504104	0.744312	0.599544	0.215992	0.557017	0.384434	0.450912	-0.561347	0.809452	-0.528119	-0.476059	0.582997	-0.789308	-0.083315	0.127065	0.288401	0.293659	0.288347	0.831464	-0.093202	0.141885	-0.005734	0.330028	0.009273	-0.078392	-0.172463	0.064651	-0.554872	0.502623	0.642333	-0.408397	0.014133	-0.364325	-0.376944	0.008590	0.211123	0.265952	0.310553	0.607966	0.176893	0.009160	-0.177490	0.214956	0.594449	0.169203	-0.316520	0.415439	-0.416606	-0.383393	-0.154224	0.132498	-0.069465	0.110606	0.208067	-0.066866	0.887749	-0.064370	-0.135902	0.518895	-0.307448	0.545796	-0.184269	-0.194398	0.215995	0.381092	-0.163241	-0.125472	0.159033	-0.153173	-0.215712	0.066892	0.764280	-0.314592	-0.037957	0.156465	-0.087850	-0.028322	-0.116317	-0.180460	-0.133262	-0.361506	-0.092044	-0.088837	0.031108	-0.150594	0.092195	-0.108041	0.643489	0.693737	0.705719	0.850810	-0.173389	-0.076794	0.109847	-0.103080	0.388228	0.705919	-0.179479	-0.411647	0.306300	-0.319040	0.674250	0.272835	-0.106611	-0.272546	-0.239044	0.564995	-0.124461	0.850854	0.489580	0.425271	-0.202565	0.076443	0.683868	-0.234449	-0.163518	0.016493	0.097141	0.142613	-0.292871	-0.039080	0.066846	-0.051957	0.530870	-0.123493	-0.107782	-0.314113	0.663467	-0.160668	0.010662	-0.254786	-0.163185	-0.231781
Female_FB_FB_M6	-0.195675	0.593541	-0.645776	0.039947	-0.504104	1.000000	-0.235640	-0.138615	0.353812	-0.104465	0.036757	-0.148187	0.341240	-0.440474	0.716816	-0.011272	-0.153050	0.636254	0.668044	-0.312727	0.384375	0.276005	0.321954	-0.358042	-0.114596	-0.185376	0.268041	0.136991	0.099497	0.090262	-0.001432	0.089408	0.043333	0.162861	-0.493386	0.601371	0.392016	-0.254349	0.035659	0.442447	0.577819	0.061046	0.199901	0.165831	0.548217	-0.193306	-0.242215	0.393977	-0.449546	0.459324	-0.025481	0.207042	-0.138899	-0.203045	0.226790	0.291269	0.230840	-0.104140	0.037660	0.026426	-0.647002	0.037895	-0.223124	-0.312156	-0.152041	-0.306919	0.063325	0.087773	-0.245705	-0.421450	0.144496	0.145817	-0.045613	-0.175164	-0.063719	-0.154877	-0.565459	0.320830	0.135186	-0.068343	0.332707	-0.172810	-0.187483	-0.292957	-0.212093	0.042023	-0.285065	-0.133309	-0.036501	-0.126191	0.033341	0.045078	-0.359325	-0.599394	-0.675627	-0.579939	0.057480	0.262580	-0.021978	-0.023801	-0.251836	-0.541024	-0.197173	-0.019322	-0.391395	-0.048717	-0.632971	-0.298195	-0.198428	0.250409	-0.016516	-0.317820	-0.260002	-0.458861	-0.227910	-0.308841	0.011696	-0.093804	-0.669414	0.569081	0.475772	0.181200	0.235981	-0.231687	-0.108074	-0.141315	-0.251311	-0.241274	-0.325066	0.085198	0.209588	0.234729	-0.564773	-0.145844	0.122635	-0.107139	-0.159534	-0.102317
Female_FB_FB_M7	0.879622	-0.297349	0.654334	-0.818907	0.744312	-0.235640	1.000000	0.632733	0.213831	0.489905	0.270233	0.715962	-0.714901	0.874653	-0.571184	-0.826681	0.845115	-0.795742	0.122019	0.022189	0.572050	0.557544	0.555717	0.727948	0.104351	0.117128	0.060554	0.423974	0.090574	0.006493	-0.210156	0.299110	-0.767583	0.807618	0.589253	-0.434892	0.126599	-0.338099	-0.168037	0.023572	0.286687	-0.057401	0.363352	0.598527	0.405454	0.202541	0.000824	0.082201	0.647217	0.141151	-0.116279	0.302244	-0.313342	-0.480686	-0.069527	0.080475	0.085490	0.120370	0.225544	-0.051641	0.713478	0.081072	-0.524301	0.657815	-0.114844	0.599749	0.024135	-0.087654	-0.094907	0.542005	-0.125148	-0.111159	0.192309	-0.436427	-0.273101	0.006093	0.729312	-0.313509	0.035481	0.302861	0.111718	-0.397905	-0.306967	-0.521193	-0.524661	-0.559081	-0.351696	-0.360561	0.105286	-0.419844	-0.043938	-0.063168	0.668815	0.588281	0.481192	0.664193	-0.044740	0.021124	-0.151937	-0.069350	0.527403	0.625369	-0.062745	-0.161175	0.330926	-0.179414	0.584658	0.502981	-0.157546	-0.198157	-0.066333	0.551532	-0.453435	0.649956	0.481332	0.587728	-0.020997	0.001017	0.671379	-0.029574	0.066919	0.145347	0.192385	-0.034925	-0.275919	-0.108007	0.356662	0.034907	0.616650	-0.139244	-0.078373	-0.108364	0.691372	-0.365060	0.075106	-0.509749	-0.362885	-0.257779
Female_HFC_HFC_M1	0.751644	-0.381075	0.572339	-0.675990	0.599544	-0.138615	0.632733	1.000000	0.687707	0.879362	0.490927	0.496855	-0.097160	0.560435	-0.238533	-0.450069	0.534841	-0.359997	-0.151138	0.238036	0.410021	0.465014	0.460478	0.586409	-0.195217	0.053899	-0.088613	0.203776	-0.053481	-0.025925	-0.260757	0.347292	-0.488889	0.521837	0.601786	0.067002	0.102503	-0.606117	-0.207531	0.032421	0.409103	0.105263	0.054537	0.712472	0.209971	-0.021472	-0.135846	0.237487	0.348392	0.322825	-0.107469	0.419145	-0.301200	-0.528519	-0.139466	0.077827	0.078112	0.087584	0.469452	-0.228442	0.550336	0.189528	-0.300987	0.443068	-0.542181	0.269404	-0.285243	-0.465262	-0.138905	0.327037	-0.251538	0.019090	0.217812	-0.320627	-0.285137	-0.071203	0.514861	0.076845	-0.113012	-0.047720	-0.070366	-0.184498	-0.292085	-0.222835	-0.111133	-0.281792	-0.188167	-0.265251	-0.103612	-0.220982	-0.086012	-0.134393	0.354665	0.541919	0.427634	0.433275	0.061342	-0.019215	-0.269038	-0.246370	0.268032	0.475417	-0.431201	-0.444862	0.003193	-0.414598	0.406850	0.357434	-0.261813	0.002349	-0.383723	0.440461	-0.298909	0.420639	0.159362	0.385702	-0.450370	-0.193677	0.360988	0.049636	-0.121151	-0.106904	0.166306	-0.049257	-0.392293	-0.316149	0.222091	0.019570	0.331745	-0.036436	0.021872	-0.141930	0.429439	-0.256638	0.259304	-0.200317	-0.334395	-0.395657
Female_HFC_HFC_M2	0.360915	0.178310	0.064877	-0.230827	0.215992	0.353812	0.213831	0.687707	1.000000	0.702835	0.596807	0.135490	0.263651	0.112969	0.257766	-0.224611	0.247615	0.087290	0.396760	-0.051538	0.508997	0.406030	0.610071	0.333752	-0.050439	0.054387	0.160409	0.156284	0.094366	0.008213	-0.122065	0.353531	-0.174556	0.383139	0.144236	0.453949	0.074161	-0.480078	-0.198036	0.441526	0.591721	0.257980	0.354937	0.636005	0.520401	-0.022094	-0.330436	0.518273	-0.015604	0.546491	-0.064647	0.468575	-0.237234	-0.351873	-0.031758	0.185039	0.012165	0.038925	0.424355	-0.041185	0.116968	0.080528	-0.233202	0.029659	-0.585942	-0.023457	-0.177637	-0.366270	-0.224651	-0.049291	-0.022900	0.159705	0.202157	-0.287231	-0.217127	-0.171097	0.022207	0.195086	-0.071487	-0.143813	0.126719	-0.186695	-0.181085	-0.289486	-0.154479	-0.185215	-0.154567	-0.220625	-0.136597	-0.242668	0.126566	-0.085628	0.018287	-0.049167	-0.283989	-0.202051	0.068891	0.085442	-0.124104	-0.365283	-0.270666	0.071357	-0.439115	-0.518329	-0.021499	-0.348951	-0.051578	0.048860	-0.392497	0.333582	-0.363473	0.235757	-0.235228	0.109651	-0.030337	0.060710	-0.328103	-0.128651	-0.190574	0.323596	0.169742	0.020055	0.112189	-0.165855	-0.259431	-0.071442	0.078982	-0.143864	-0.021949	0.111282	0.101928	-0.067383	-0.052347	-0.161617	0.105565	-0.238755	-0.172049	-0.291822
Female_HFC_HFC_M3	0.650109	-0.255465	0.463713	-0.529102	0.557017	-0.104465	0.489905	0.879362	0.702835	1.000000	0.716507	0.246584	-0.021223	0.426102	-0.144445	-0.321532	0.361830	-0.272248	-0.051499	0.234475	0.355533	0.396760	0.375453	0.507745	-0.074308	0.081062	0.039912	0.203297	0.102405	0.067260	-0.115994	0.211769	-0.383025	0.425814	0.622691	0.135724	0.153770	-0.602123	-0.344754	0.100776	0.436062	0.287963	0.197768	0.698406	0.265347	-0.127996	-0.302093	0.325333	0.221317	0.396629	-0.253792	0.531129	-0.231595	-0.480851	-0.052483	0.136330	-0.005381	-0.141613	0.444243	-0.138411	0.489355	-0.046910	-0.192286	0.321124	-0.564806	0.191246	-0.293386	-0.394581	-0.073621	0.210359	-0.217232	-0.097808	0.241393	-0.254281	-0.259226	-0.064199	0.418382	-0.052591	-0.083061	-0.059042	-0.057729	-0.126039	-0.135425	-0.196414	-0.095825	-0.260846	-0.153351	-0.218421	-0.172944	-0.134915	-0.120268	-0.192583	0.286590	0.410217	0.435604	0.306176	-0.027685	0.058635	-0.135783	-0.406097	0.103326	0.456663	-0.393519	-0.542103	-0.047083	-0.423403	0.373638	0.252720	-0.360050	-0.108058	-0.394191	0.501594	-0.233169	0.419164	0.144997	0.315625	-0.572200	-0.204271	0.377669	0.103802	-0.134924	-0.081256	0.126141	-0.175382	-0.392979	-0.194762	0.181207	-0.187940	0.272934	-0.151884	-0.016898	-0.374491	0.342671	-0.222546	0.137428	-0.116545	-0.295701	-0.334620
