	Female_FB_FB_M1	Female_FB_FB_M2	Female_FB_FB_M3	Female_FB_FB_M4	Female_FB_FB_M5	Female_FB_FB_M6	Female_FB_FB_M7	Female_HFC_HFC_M1	Female_HFC_HFC_M2	Female_HFC_HFC_M3	Female_HFC_HFC_M4	Female_KC_Channel_KC_Channel_M1	Female_KC_Channel_KC_Channel_M2	Female_KC_KC_M1	Female_KC_KC_M2	Female_KC_KC_M3	Female_KC_KC_M4	Female_KC_KC_M5	Female_KC_KC_M6	Female_LC_LC_M1	Female_LC_LC_M2	Female_LC_LC_M3	Female_LC_LC_M4	Female_MEL_MEL_M1	Female_Mac-DC_Mac-DC_M1	Female_Mac-DC_Mac-DC_M2	Female_Mast_Mast_M1	Female_Mast_Mast_M2	Female_Mast_Mast_M3	Female_Mast_Mast_M4	Female_Mast_Mast_M5	Female_Mast_Mast_M6	Female_Pc-vSMC_Pc-vSMC_M1	Female_Pc-vSMC_Pc-vSMC_M2	Female_SGC_SGC_M1	Female_SGC_SGC_M2	Female_Schwann_Schwann_M1	Male_FB_FB_M1	Male_FB_FB_M2	Male_FB_FB_M3	Male_FB_FB_M4	Male_FB_FB_M5	Male_FB_FB_M6	Male_FB_FB_M7	Male_FB_FB_M8	Male_KC_KC_M1	Male_KC_KC_M2	Male_KC_KC_M3	Male_KC_KC_M4	Male_KC_KC_M5	Male_MEL_MEL_M1	Male_MEL_MEL_M2	Male_Mac-DC_Mac-DC_M1	Male_Pc-vSMC_Pc-vSMC_M1	Male_Schwann_Schwann_M1	Male_Schwann_Schwann_M2	Male_Schwann_Schwann_M3	Male_Schwann_Schwann_M4	Male_Schwann_Schwann_M5	FB	HFC	KC	KC_Channel	LC	LEC	Lymphocyte	Mac-DC	Mast	MEC	MEL	Pc-vSMC	Schwann	Sebocyte	SGC	VEC	arteriole.ECs	Basal.Ker.ADGRL3	Basal.Ker.COL17A1	capillary.ECs	cDC1	cDC2	Channel-ATPase_1	Channel-ATPase_2	Channel-ATPase_3	Channel-gap_1	Channel-gap_2	Clear.cell.CA2	Clear.cell.WFDC2	cytotoxic T cells	Dark.cell.MUCL1	EMT.ECs	Granular.Ker	helper T cells	HF-MFCs	HF-MSCs	HF-PCs	Hillock-Club.Epi	ILC3	IRS	KC.Mel	LC1	LC2	LEC1	LEC2	M1	M2	Mel_1	Mel_2	Memory B cells	Merkel	Mesenchymal.Fb	Mesenchymal.Fb.COCH	Mesenchymal.Fb.FGFBP2	Mesenchymal.Fb.INHBA	MigDC	MigLC	Monocytes	NKT cells	ORS	Papillary.Fb	Pc1	Pc2	Pc3	Plasma cells	post-capillary-venule.ECs	Pro-inflammatory.Fb	Progenitor.Mel	Proliferating.Ker	Regulatory T cells	SCs_1	SCs_2	Spinous.Ker	Spinous.Ker.ADGRL3	Sweat_gland_duct_cell	Transitional.Ker	venule.ECs	vSMC1	vSMC2
Female_FB_FB_M1	0.000000	0.004478	0.000000	0.000000	0.000000	0.104505	0.000000	0.000000	0.008574	0.000000	0.000790	0.000000	0.000002	0.000000	0.000058	0.000000	0.000000	0.000000	0.410809	0.622266	0.000001	0.000001	0.000001	0.000000	0.369594	0.509160	0.646806	0.003877	0.959942	0.391530	0.003702	0.035616	0.000000	0.000000	0.000006	0.019135	0.174388	0.000005	0.014277	0.406240	0.000250	0.352046	0.004488	0.000000	0.000257	0.721744	0.133340	0.037408	0.000000	0.020477	0.020029	0.000082	0.000029	0.000000	0.357533	0.141946	0.687566	0.238989	0.041253	0.161382	0.000000	0.342963	0.000365	0.000000	0.010763	0.000012	0.147706	0.081771	0.461440	0.000018	0.039479	0.189423	0.297291	0.001649	0.001653	0.469181	0.000000	0.127649	0.497587	0.217303	0.999911	0.011388	0.014623	0.002925	0.004694	0.000169	0.012339	0.015202	0.730562	0.003170	0.643009	0.547537	0.000000	0.000000	0.001450	0.000010	0.213477	0.978684	0.761650	0.822532	0.000053	0.000002	0.064656	0.005443	0.125364	0.002928	0.000000	0.000171	0.514005	0.193048	0.040458	0.000000	0.000427	0.000000	0.013777	0.000001	0.445079	0.751419	0.000025	0.591848	0.992826	0.815947	0.329642	0.663116	0.000248	0.052080	0.409525	0.771492	0.000000	0.123221	0.301661	0.384061	0.000000	0.010744	0.604638	0.000945	0.000483	0.001311
Female_FB_FB_M2	0.004478	0.000000	0.000000	0.008441	0.000363	0.000000	0.012426	0.005317	0.205971	0.067570	0.944738	0.002633	0.033726	0.000065	0.000000	0.089448	0.002183	0.000102	0.000000	0.170140	0.417475	0.227062	0.082067	0.010454	0.272730	0.016457	0.000001	0.524234	0.009182	0.061370	0.785183	0.112207	0.193389	0.708970	0.000192	0.057994	0.024755	0.402339	0.294834	0.000000	0.002141	0.012768	0.000034	0.743104	0.004065	0.047015	0.008544	0.000365	0.000172	0.004700	0.134671	0.043800	0.587651	0.472380	0.000386	0.000013	0.707401	0.183716	0.883222	0.001955	0.000001	0.023174	0.884966	0.014709	0.673745	0.009641	0.047708	0.008254	0.141882	0.004577	0.024814	0.102266	0.804984	0.822592	0.248706	0.967294	0.000055	0.720775	0.239830	0.337339	0.001235	0.276027	0.599462	0.260131	0.523691	0.254530	0.899432	0.495279	0.450093	0.583451	0.036244	0.308920	0.003683	0.000005	0.000251	0.000007	0.534966	0.016008	0.352260	0.266164	0.005840	0.002374	0.288858	0.406819	0.282328	0.315737	0.000102	0.054420	0.077871	0.118633	0.279291	0.016050	0.267452	0.000486	0.088339	0.067937	0.514789	0.479479	0.007157	0.000039	0.000003	0.010050	0.756491	0.304701	0.111592	0.002439	0.991617	0.001843	0.007130	0.063710	0.383020	0.398843	0.000070	0.808824	0.515056	0.505680	0.458817	0.761861
Female_FB_FB_M3	0.000000	0.000000	0.000000	0.000002	0.000000	0.000000	0.000000	0.000009	0.647713	0.000536	0.068194	0.000069	0.000173	0.000000	0.000000	0.000772	0.000001	0.000000	0.008438	0.095388	0.239852	0.076038	0.146784	0.000000	0.440665	0.496180	0.024668	0.491006	0.086962	0.038950	0.003731	0.468685	0.000018	0.001320	0.000000	0.000455	0.507704	0.088049	0.091612	0.083497	0.974663	0.272285	0.767040	0.000123	0.657145	0.401986	0.985035	0.914576	0.000000	0.787994	0.148592	0.084249	0.009502	0.010393	0.068651	0.796365	0.666592	0.180586	0.265392	0.116134	0.000000	0.613431	0.464923	0.000001	0.161672	0.000028	0.042265	0.017525	0.160616	0.000036	0.023583	0.177536	0.621152	0.533569	0.105522	0.789343	0.000000	0.069216	0.224770	0.619559	0.032925	0.991368	0.338285	0.818129	0.831986	0.030235	0.963896	0.673245	0.842850	0.473244	0.980145	0.590402	0.000000	0.000000	0.000021	0.000000	0.278133	0.250494	0.830059	0.920889	0.000526	0.000000	0.567699	0.020626	0.091825	0.020649	0.000000	0.001179	0.783546	0.119408	0.052765	0.000060	0.689877	0.000000	0.004421	0.000107	0.361105	0.629558	0.000008	0.000528	0.003821	0.275233	0.909840	0.548047	0.076584	0.243317	0.866418	0.322743	0.000012	0.174438	0.233207	0.098433	0.000000	0.593883	0.769737	0.191720	0.183099	0.145447
Female_FB_FB_M4	0.000000	0.008441	0.000002	0.000000	0.000000	0.742660	0.000000	0.000000	0.099687	0.000055	0.037898	0.000000	0.000003	0.000000	0.000625	0.000000	0.000000	0.000000	0.415290	0.868674	0.000000	0.000000	0.000011	0.000002	0.200179	0.546859	0.333934	0.000152	0.575067	0.146734	0.056872	0.081677	0.000000	0.000000	0.000011	0.007285	0.035945	0.000000	0.009816	0.279012	0.000007	0.880619	0.162169	0.000000	0.000149	0.745633	0.087466	0.060448	0.000163	0.010552	0.048195	0.000130	0.000013	0.000000	0.338122	0.239696	0.206290	0.641126	0.569905	0.073274	0.000000	0.064921	0.000000	0.000000	0.037345	0.000608	0.378207	0.191233	0.086627	0.000012	0.005504	0.103522	0.690698	0.000003	0.001955	0.836368	0.000000	0.637655	0.975621	0.171012	0.429304	0.000135	0.000522	0.000187	0.000136	0.000063	0.000177	0.000095	0.331573	0.000025	0.121617	0.401018	0.000004	0.000002	0.000578	0.000036	0.479548	0.764177	0.854935	0.553445	0.000000	0.000775	0.059095	0.105117	0.436734	0.015033	0.000002	0.000018	0.301381	0.205337	0.168758	0.000309	0.000001	0.000001	0.176402	0.000000	0.792937	0.303430	0.000027	0.663059	0.933145	0.986515	0.150868	0.288330	0.000089	0.001552	0.637880	0.704302	0.000009	0.107138	0.091989	0.714306	0.000000	0.000380	0.037767	0.000234	0.000000	0.000051
Female_FB_FB_M5	0.000000	0.000363	0.000000	0.000000	0.000000	0.000009	0.000000	0.000003	0.124075	0.000018	0.004896	0.000185	0.000001	0.000000	0.000003	0.000031	0.000000	0.000000	0.492898	0.294540	0.015470	0.013611	0.015491	0.000000	0.442832	0.241333	0.962428	0.005269	0.939267	0.518891	0.153386	0.594916	0.000001	0.000009	0.000000	0.001966	0.908242	0.001931	0.001298	0.943733	0.079360	0.026062	0.008883	0.000000	0.142942	0.940007	0.141576	0.073934	0.000000	0.161428	0.007596	0.000348	0.000334	0.001053	0.205776	0.277791	0.570602	0.365595	0.086236	0.582328	0.000000	0.596521	0.288226	0.000004	0.009625	0.000001	0.126747	0.106834	0.136068	0.001135	0.176934	0.304292	0.409932	0.273515	0.072899	0.582182	0.000000	0.007993	0.755068	0.220729	0.469572	0.825605	0.380315	0.205073	0.293820	0.004905	0.512141	0.527012	0.798223	0.277058	0.451181	0.376884	0.000000	0.000000	0.000003	0.000000	0.160559	0.573747	0.577908	0.526765	0.001990	0.000000	0.137097	0.000399	0.065212	0.007103	0.000000	0.022304	0.596621	0.131261	0.046264	0.000005	0.311899	0.000000	0.000266	0.000334	0.236086	0.568453	0.000000	0.050755	0.189556	0.892207	0.423710	0.477945	0.013877	0.748057	0.828230	0.669259	0.000003	0.319429	0.396587	0.008578	0.000000	0.228271	0.930710	0.033290	0.180325	0.053523
Female_FB_FB_M6	0.104505	0.000000	0.000000	0.742660	0.000009	0.000000	0.049559	0.327082	0.010077	0.461114	0.795864	0.242565	0.005789	0.000136	0.000000	0.926212	0.205900	0.000000	0.000000	0.008393	0.001019	0.020735	0.006569	0.002341	0.344845	0.124443	0.024869	0.258118	0.412501	0.457417	0.990615	0.461704	0.721701	0.177957	0.000129	0.000001	0.000865	0.033603	0.769474	0.000126	0.000000	0.615651	0.097081	0.170070	0.000001	0.108856	0.043360	0.000740	0.000095	0.000063	0.834150	0.085480	0.251484	0.091830	0.060939	0.015175	0.056349	0.394455	0.758677	0.828091	0.000000	0.755455	0.078788	0.008520	0.208942	0.009757	0.602509	0.469963	0.088806	0.000280	0.232695	0.231883	0.814247	0.209648	0.600244	0.200474	0.000001	0.006771	0.264503	0.594575	0.004890	0.175613	0.155051	0.036953	0.092472	0.751990	0.038550	0.341291	0.764184	0.363217	0.785647	0.713031	0.002251	0.000005	0.000012	0.000037	0.644066	0.050570	0.911612	0.884096	0.050243	0.000060	0.101824	0.873858	0.016598	0.688790	0.000000	0.012166	0.321107	0.166878	0.892053	0.015989	0.032253	0.000094	0.107725	0.010994	0.946025	0.483689	0.000001	0.000000	0.000054	0.133308	0.049220	0.244901	0.373173	0.243248	0.407540	0.044207	0.006836	0.493026	0.096478	0.052209	0.000001	0.274661	0.315444	0.377349	0.190403	0.399312
Female_FB_FB_M7	0.000000	0.012426	0.000000	0.000000	0.000000	0.049559	0.000000	0.000000	0.127975	0.000228	0.052682	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.314287	0.855329	0.000000	0.000001	0.000001	0.000000	0.389957	0.334221	0.618507	0.000255	0.455858	0.957454	0.080778	0.011892	0.000000	0.000000	0.000002	0.000907	0.299935	0.004202	0.164380	0.846414	0.016122	0.636929	0.001990	0.000000	0.000498	0.092656	0.994598	0.498720	0.000000	0.243802	0.337761	0.010990	0.008259	0.000025	0.570257	0.510967	0.484903	0.324532	0.062411	0.671153	0.000000	0.504653	0.000010	0.000000	0.343797	0.000000	0.842791	0.470571	0.516554	0.000001	0.301942	0.363188	0.317586	0.001087	0.022169	0.960077	0.000000	0.008223	0.770592	0.015834	0.357176	0.001240	0.018039	0.000088	0.000009	0.000004	0.009811	0.007997	0.385699	0.001575	0.719983	0.606102	0.000000	0.000009	0.003964	0.000001	0.719222	0.877190	0.440223	0.670682	0.000013	0.000002	0.605843	0.182552	0.045433	0.137240	0.000000	0.000009	0.432560	0.276961	0.585346	0.000009	0.000103	0.000000	0.000349	0.000000	0.903256	0.993954	0.000001	0.807978	0.593436	0.229925	0.110584	0.862699	0.020777	0.373471	0.231604	0.774200	0.000000	0.261098	0.538176	0.375451	0.000000	0.004838	0.539649	0.000007	0.002181	0.031204
Female_HFC_HFC_M1	0.000000	0.005317	0.000009	0.000000	0.000003	0.327082	0.000000	0.000000	0.000000	0.000000	0.000220	0.000208	0.497601	0.000016	0.088577	0.000815	0.000044	0.008757	0.284828	0.089263	0.002538	0.000514	0.000593	0.000005	0.165474	0.704319	0.532173	0.147342	0.706505	0.855240	0.061890	0.011651	0.000236	0.000073	0.000010	0.658184	0.474141	0.000002	0.139870	0.819514	0.002601	0.457676	0.700982	0.000000	0.135169	0.879905	0.336932	0.090026	0.011372	0.019585	0.448254	0.001983	0.030018	0.000056	0.329027	0.587240	0.585865	0.541104	0.000510	0.103336	0.000024	0.178395	0.033671	0.001004	0.000033	0.053440	0.040392	0.000510	0.386418	0.017960	0.072048	0.894224	0.265520	0.033842	0.040470	0.615944	0.000111	0.588186	0.425052	0.744727	0.620108	0.199617	0.046350	0.161395	0.437525	0.052335	0.221258	0.081834	0.464799	0.144625	0.548416	0.347095	0.009885	0.000058	0.011645	0.003305	0.668933	0.902661	0.166240	0.189378	0.068524	0.003386	0.001416	0.000952	0.986886	0.002244	0.002761	0.009285	0.239196	0.991515	0.004982	0.001730	0.034978	0.001903	0.307370	0.005186	0.018404	0.213344	0.016067	0.726757	0.406979	0.450658	0.238667	0.823388	0.004023	0.022414	0.487833	0.890474	0.017398	0.801651	0.883982	0.320468	0.001858	0.081624	0.066142	0.154483	0.016469	0.003693
Female_HFC_HFC_M2	0.008574	0.205971	0.647713	0.099687	0.124075	0.010077	0.127975	0.000000	0.000000	0.000000	0.000003	0.343138	0.061569	0.425229	0.065051	0.109410	0.076753	0.538334	0.003590	0.716714	0.000117	0.002821	0.000002	0.015606	0.722509	0.701764	0.255964	0.268553	0.505775	0.953918	0.388655	0.010141	0.215837	0.005054	0.338898	0.001531	0.605019	0.000316	0.159330	0.001051	0.000004	0.064821	0.009825	0.000000	0.000077	0.876452	0.016733	0.000083	0.912570	0.000028	0.648880	0.000459	0.090379	0.010525	0.824912	0.193621	0.932479	0.786243	0.001913	0.771898	0.408916	0.570372	0.103136	0.834665	0.000005	0.868898	0.207718	0.007574	0.157918	0.728580	0.871980	0.262947	0.302240	0.058694	0.122062	0.225216	0.877076	0.165763	0.614534	0.324212	0.370689	0.194222	0.223175	0.066384	0.279091	0.207555	0.316439	0.150113	0.334241	0.108236	0.376144	0.550212	0.897613	0.737259	0.103589	0.188415	0.630976	0.585913	0.529222	0.047154	0.065747	0.679195	0.001127	0.000083	0.911859	0.011232	0.716502	0.730865	0.070791	0.119820	0.008083	0.106712	0.100092	0.439038	0.846867	0.672152	0.094758	0.410971	0.215298	0.019278	0.243611	0.887780	0.428451	0.449459	0.063276	0.614757	0.807237	0.308913	0.878494	0.441672	0.495399	0.638486	0.718075	0.277785	0.460966	0.088272	0.227338	0.035805
Female_HFC_HFC_M3	0.000000	0.067570	0.000536	0.000055	0.000018	0.461114	0.000228	0.000000	0.000000	0.000000	0.000000	0.081098	0.882482	0.001635	0.306942	0.020107	0.008396	0.050874	0.716920	0.094301	0.009693	0.003590	0.006093	0.000122	0.600595	0.567811	0.778766	0.148316	0.470045	0.635668	0.412855	0.131781	0.005069	0.001648	0.000004	0.368461	0.281331	0.000002	0.012319	0.477173	0.001232	0.038440	0.159908	0.000000	0.057280	0.365844	0.029510	0.018603	0.114848	0.003602	0.069450	0.000051	0.098534	0.000308	0.714540	0.340124	0.970108	0.321562	0.001092	0.327799	0.000232	0.741226	0.180962	0.020275	0.000013	0.174419	0.034781	0.003796	0.647351	0.134432	0.121878	0.494726	0.215902	0.095782	0.063493	0.651155	0.002249	0.711178	0.558268	0.686966	0.684370	0.383115	0.364082	0.218398	0.503555	0.073341	0.320307	0.154332	0.220175	0.376902	0.400546	0.175758	0.039416	0.003418	0.010023	0.043248	0.847082	0.708788	0.490863	0.025966	0.489472	0.005116	0.003900	0.000033	0.808369	0.001763	0.006364	0.070676	0.099774	0.623591	0.003834	0.000281	0.103186	0.001982	0.353558	0.024061	0.001817	0.188871	0.011490	0.463980	0.355317	0.566884	0.372891	0.423462	0.003953	0.166481	0.573016	0.182127	0.052649	0.292368	0.910241	0.006781	0.014850	0.132700	0.336212	0.410623	0.035140	0.015322
